,ALLL3,AMBV4,BRML3,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VALE5
2012-01-31,9.86,60.65,10.741225242614746,2.3793699741363525,7.895,14.3192138671875,13.705439567565918,8.480998039245605,32.13603973388672,5.46,8.160455703735352,4.671502590179443,16.2,23.2,29.158,6.700406551361084,2.03,4.510196685791016,14.137804985046388,10.802186012268066,15.477201461791992,5.151113510131836,9.520633697509766,12.963,29.08,11.125240325927734,7.289546012878418,11.776610374450684,225.7494201660156,12.0906982421875,13.96831226348877,12.020000457763672,8.346940994262695,3.5124382972717285,10.35959243774414,4.956098556518555,1.0880300998687744,19.259960174560547,34.91408157348633,6.052943229675293,3.513,7.864689826965332,5.999496936798096,1230.3779296875,6.952516555786133,14.72,1655.0,93.1291961669922,69.7,3120.5693359375,13.394631385803224,11.211573600769045,31.5,224.0361785888672,8.224542617797852,10.52862548828125,19.39,27.911,7.377614498138428,15.005241394042969,9.841279983520508,24.282716751098636,32.34
2012-02-01,10.13,61.68,10.983426094055176,2.498446226119995,7.867,14.473932266235352,13.85161304473877,8.59487247467041,32.841922760009766,5.74,8.610087394714355,4.684701919555664,16.37,23.56,29.489,6.7068400382995605,2.002,4.605921268463135,14.099449157714844,11.342960357666016,15.965471267700195,5.36157751083374,9.430468559265137,12.818,29.46,11.4573392868042,7.164172172546387,11.826196670532228,239.23757934570312,12.635326385498049,14.633466720581056,12.06999969482422,8.511992454528809,3.579986572265625,10.534281730651855,5.1422438621521,1.0719112157821655,19.16169166564941,36.38106155395508,6.223837852478027,3.55,7.828695774078369,6.208955764770508,1288.8245849609375,7.117928981781006,15.19,1749.0,94.29853057861328,71.43,3314.5029296875,13.538982391357422,11.384974479675291,31.399999618530277,243.4969482421875,8.427618026733398,10.684391021728516,20.36,27.602,7.210289001464844,15.344825744628906,9.900057792663574,24.77162742614746,33.01
2012-02-02,10.06,61.61,11.377700805664062,2.5287561416625977,7.895,14.62049674987793,13.811286926269531,8.29662799835205,32.4146842956543,5.82,8.690617561340332,4.662253379821777,16.285,24.36,29.324,6.946279525756836,1.993,4.562845230102539,14.083008766174316,11.43642807006836,15.753578186035156,5.340531349182129,9.266045570373535,12.725,29.8,11.023763656616213,7.164172172546387,12.008009910583496,253.4356689453125,12.816864967346191,14.733241081237791,12.8100004196167,8.818522453308105,3.5922656059265137,10.534281730651855,5.002635002136231,1.0423595905303955,18.88093376159668,35.403076171875,6.061384677886963,3.529,7.965997695922852,6.051860809326172,1267.84375,7.278174877166748,15.33,1703.0,95.21728515625,71.12,3318.91064453125,13.33987808227539,11.193323135375977,32.0,253.46466064453125,8.615459442138672,10.488242149353027,20.25,27.301,7.309166431427002,15.408495903015137,9.832881927490234,24.755332946777344,33.1
2012-02-03,10.12,61.91,11.608633995056152,2.5633974075317383,7.977,14.697856903076172,13.760886192321776,8.540644645690918,32.191776275634766,5.96,8.576533317565918,4.655646324157715,16.454,24.89,29.363,7.077583312988281,2.002,4.60273027420044,14.028209686279297,11.730184555053713,16.07602310180664,5.429978847503662,9.35621166229248,12.725,29.47,11.134466171264648,7.164172172546387,12.545188903808594,242.0772247314453,13.187214851379396,15.192198753356934,13.029999732971191,8.959991455078125,3.601476192474365,10.575589179992676,5.11897611618042,1.0423595905303955,18.635272979736328,35.9898681640625,6.2132887840271,3.554,8.108627319335938,6.134148597717285,1293.3204345703125,7.381557941436768,15.62,1730.0,94.13148498535156,71.28,3437.91552734375,13.369747161865234,11.229827880859377,32.099998474121094,256.07525634765625,8.869301795959473,10.759389877319336,20.24,27.236,7.248317241668701,15.450946807861328,10.07639503479004,24.91830062866211,33.21
2012-02-06,10.05,61.37,11.490351676940918,2.5633974075317383,7.977,14.693784713745115,13.685275077819824,8.426769256591797,31.72738075256348,5.9,8.791281700134277,4.700557708740234,16.505,25.37,29.158,6.947567939758301,2.009,4.594754219055176,14.247401237487791,11.79026985168457,15.891769409179688,5.272130012512207,9.44107723236084,12.921,29.31,11.300515174865724,6.9456658363342285,12.64436149597168,242.7870941162109,13.216261863708496,15.172245979309082,12.649999618530272,8.802802085876465,3.607618808746338,10.640507698059082,5.173267841339111,1.0289270877838137,18.50893211364746,36.38106155395508,6.392617702484131,3.587,8.131295204162598,6.074303150177002,1306.8082275390625,7.490110874176025,15.45,1726.0,92.54452514648438,70.65,3459.953369140625,13.52902603149414,11.343904495239258,32.040000915527344,250.14208984375,8.737305641174316,10.684391021728516,19.9,27.423,7.240715026855469,15.366052627563477,10.042807579040527,24.90744400024414,33.28
2012-02-07,10.01,60.93,11.366437911987305,2.578553438186645,7.997,14.697856903076172,13.73568344116211,8.871426582336426,31.411590576171875,5.82,8.90536880493164,4.683380126953125,17.224,25.21,29.139,7.241073131561279,2.038,4.62666130065918,14.493990898132324,11.883737564086914,15.891769409179688,5.256345748901367,9.504722595214844,12.938,29.46,11.392760276794434,7.083576679229736,12.875761032104492,246.33663940429688,13.28887939453125,15.192198753356934,12.890000343322754,9.077887535095217,3.644460201263428,10.74083423614502,5.429215908050537,1.0410164594650269,19.070446014404297,37.16344833374024,6.4432549476623535,3.636,8.025981903076172,6.19399356842041,1341.2767333984375,7.335036754608154,15.75,1746.0,93.54681396484376,70.17,3407.062255859375,13.812747955322266,11.6815767288208,35.400001525878906,256.07525634765625,8.701766014099121,10.736312866210938,20.11,27.696,7.331982135772705,15.535840034484863,10.219143867492676,24.90200424194336,33.32
2012-02-08,10.11,60.3,11.653696060180664,2.6153576374053955,7.963,14.738570213317873,13.811286926269531,8.909383773803711,30.557106018066406,5.81,8.851679801940918,4.728292942047119,17.588,25.37,29.187,7.203739166259766,2.04,4.647401809692383,14.3569974899292,11.937145233154297,15.753578186035156,5.240560531616211,9.600194931030272,12.98,29.32,11.162138938903809,6.994024753570557,13.181538581848145,244.9167938232422,13.252568244934082,15.005956649780272,12.550000190734863,9.195780754089355,3.715079545974731,10.976896286010742,5.506776809692383,1.0665380954742432,19.288036346435547,37.065650939941406,6.280802249908447,3.616,7.834031581878662,6.253839015960693,1281.3314208984375,7.17479133605957,16.06,1731.0,93.1291961669922,69.95,3442.32275390625,13.733107566833496,11.604005813598633,36.400001525878906,252.51535034179688,8.909919738769531,10.626701354980469,19.83,27.301,7.202683448791504,15.281156539916992,10.21074676513672,24.728168487548828,33.09
2012-02-09,10.06,60.79,11.546676635742188,2.5742228031158447,7.908,14.710068702697754,13.50381851196289,8.57318115234375,30.975053787231445,5.67,8.690617561340332,4.833959579467773,17.681,25.53,29.041,7.208890438079834,2.054,4.680904865264893,14.548789978027344,11.52322006225586,15.33901023864746,5.103758811950684,9.679754257202148,13.099,29.23,11.088340759277344,7.106859683990479,13.074103355407717,242.0772247314453,13.325190544128418,15.185545921325684,12.710000038146973,9.447291374206545,3.699728727340698,10.903131484985352,5.421460151672363,1.0719112157821655,18.937084197998047,35.79426956176758,6.314555644989014,3.583,7.919342517852783,6.403452396392822,1296.3177490234375,6.988702297210693,16.11,1730.0,92.79508972167967,70.63,3332.133544921875,13.703242301940918,11.635948181152344,36.09999847412109,243.9716033935547,8.970841407775879,10.644007682800291,19.75,27.348,7.096203327178955,15.493395805358888,10.412275314331056,24.50001335144043,32.88
2012-02-10,9.92,60.75,11.46218967437744,2.511436939239502,7.758,14.669353485107422,13.145933151245115,8.242401123046875,31.439453125,5.51,8.589954376220703,4.926398754119873,18.129,25.17,28.963,7.080161094665527,2.054,4.653783798217773,14.50495147705078,11.176054954528809,15.200820922851562,5.0879740715026855,10.07224941253662,13.593,29.51,11.263614654541016,7.119399070739746,12.834439277648926,234.26828002929688,12.780558586120604,14.5802583694458,12.380000114440918,9.384411811828612,3.647533416748047,10.711325645446776,5.530045032501221,1.0799705982208252,18.81776428222656,35.30527877807617,6.329325199127197,3.599,7.975327014923096,6.38101053237915,1243.8656005859375,6.988702297210693,16.01,1682.0,91.87633514404295,70.65,3239.573974609375,12.568354606628418,10.723321914672852,36.09999847412109,235.6651763916016,8.879460334777832,10.31516933441162,19.77,27.48,7.141837120056152,15.2387113571167,9.950441360473633,24.081716537475582,32.32
2012-02-13,9.86,61.65,11.439661026000977,2.634843111038208,7.86,14.913640975952148,13.302190780639648,8.318316459655762,31.578771591186523,5.81,8.704041481018066,4.972630977630615,17.791,25.33,29.567,7.080161094665527,2.04,4.7064313888549805,14.751543045043944,11.716830253601074,14.878378868103027,5.2510833740234375,9.987383842468262,13.525,29.56,11.503460884094238,7.119399070739746,12.834439277648926,234.26828002929688,12.780558586120604,14.5802583694458,13.600000381469728,9.384411811828612,3.647533416748047,10.711325645446776,5.762724876403809,1.0799705982208252,18.81776428222656,35.30527877807617,6.329325199127197,3.689,7.975327014923096,6.38101053237915,1243.8656005859375,6.988702297210693,16.31,1682.0,91.87633514404295,70.18,3239.573974609375,12.568354606628418,10.723321914672852,36.09999847412109,235.6651763916016,8.879460334777832,10.31516933441162,19.85,27.668,7.141837120056152,15.217483520507812,10.235937118530272,24.690147399902344,33.14
