,VIVO4,AMBV4,ARCZ6,BMEF3,BOVH3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,ENBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,RENT3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,POSI3,RDCD3,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2008-05-12,38.17,20.86,14.24,18.95,27.24,7.341,19.22740364074707,12.393027305603027,52.0,23.42,6.949678897857666,4.587120532989502,2.952024221420288,14.085,1.296,4.303134441375732,8.494998931884766,16.96194839477539,35.14,11.023225784301758,10.495,14.706650733947754,4.452314376831055,785.1497802734375,17.484251022338867,29.618328094482425,26.08574104309082,2.7040090560913086,9.539047241210938,6.0295515060424805,0.8646007776260376,12.906692504882812,4.240833759307861,2.569,4.7582597732543945,6.4,23.63,23.23,64.45,24.84789657592773,18.70036125183105,17.469926834106445,35.25,425.5586242675781,9.771538734436035,12.4,20.85489654541016,6.48,33.89,53.75,39.28,25.9,64.38,4.8,23.65,34.661956787109375,32.237640380859375,33.07345199584961,36.11,23.11
2008-05-13,37.22,21.1,14.24,18.93,27.31,7.245,19.34253692626953,12.14080810546875,52.0,23.91,6.792919158935547,4.618189334869385,2.916926622390747,13.705,1.278,4.324459075927734,8.494998931884766,17.25604820251465,33.62,11.245783805847168,10.495,14.578986167907717,4.452314376831055,785.1497802734375,17.484251022338867,29.618328094482425,25.92252540588379,2.7040090560913086,9.355181694030762,6.0295515060424805,0.8546916246414185,13.084189414978027,4.240833759307861,2.511,4.654553413391113,6.34,23.59,23.43,66.07,25.445131301879883,18.70036125183105,17.469926834106445,32.72999954223633,422.1936645507813,9.771538734436035,12.3,20.85489654541016,6.61,33.83,54.45,38.61,26.07,63.09,4.77,23.19,34.661956787109375,32.78181076049805,33.166805267333984,36.31,23.67
2008-05-14,37.58,21.16,14.15,18.35,26.45,7.156,19.035512924194336,12.36738395690918,52.0,24.01,6.871298789978027,4.630901336669922,2.883491039276123,13.205,1.291,4.246774673461914,8.302223205566406,16.834077835083008,32.38,11.049409866333008,10.29,14.553455352783203,4.393924713134766,751.9791259765625,17.484251022338867,28.896657943725582,25.864919662475582,2.627873659133911,9.2743558883667,5.828824520111084,0.842304527759552,13.59132957458496,4.080421447753906,2.516,4.575249195098877,6.51,23.8,23.47,66.23,25.046972274780277,18.92517852783203,15.216931343078612,32.5,417.2583618164063,9.698965072631836,12.41,20.72634506225586,6.89,33.19,54.7,37.9,26.26,63.8,4.7,23.34,34.763465881347656,32.65422439575195,33.04889678955078,36.12,23.51
2008-05-15,38.96,21.31,14.13,17.98,25.94,7.231,19.035512924194336,12.611047744750977,52.01,24.06,7.08031177520752,4.582882881164551,2.883491039276123,13.535,1.301,4.249821186065674,8.417888641357422,17.19850730895996,33.42,11.171597480773926,10.41,14.723669052124023,4.612889289855957,773.8717651367188,17.484251022338867,30.156570434570312,26.498580932617188,2.701552152633667,9.486513137817385,5.828824520111084,0.8608847260475159,13.707972526550291,4.110498428344727,2.61,4.80096435546875,6.77,24.4,24.35,64.77,25.51750946044922,19.256267547607425,14.781107902526855,32.5,410.752685546875,9.92521858215332,12.3,21.30353355407715,6.93,34.8,55.15,36.72,26.22,64.73,4.69,23.82,35.58325958251953,32.65422439575195,34.19866180419922,37.17,23.51
2008-05-16,39.54,21.24,14.17,18.6,26.94,7.259,20.685768127441406,12.782052040100098,52.0,24.56,6.981029510498047,4.4331793785095215,3.0924463272094727,14.06,1.361,4.249821186065674,8.619233131408691,17.454246520996094,33.67,11.34615421295166,10.495,14.706650733947754,4.6523051261901855,795.764404296875,17.484251022338867,31.813396453857425,26.05693817138672,2.679448366165161,9.49257469177246,6.091315269470215,0.8757490515708923,13.5152587890625,4.150599479675293,2.63,4.880264759063721,6.94,25.17,25.44,61.99,26.1961612701416,19.681367874145508,13.67307949066162,32.400001525878906,349.50994873046875,9.809955596923828,12.99,21.85448837280273,7.15,33.67,53.95,36.86,26.45,63.63,4.77,24.01,37.129173278808594,34.977272033691406,35.42215347290039,38.33,23.04
2008-05-19,38.31,20.76,14.62,18.58,26.8,7.375,20.766359329223636,12.888923645019531,52.01,24.5,6.970579624176025,4.300425052642822,3.1509456634521484,14.898,1.324,4.188890933990479,8.439309120178223,17.646053314208984,33.05,11.607988357543944,10.631,14.732182502746582,4.744269371032715,781.8326416015625,17.484251022338867,32.847774505615234,25.92252540588379,2.6966392993927,9.690590858459473,6.330644607543945,0.8683168888092041,12.982763290405272,4.333066940307617,2.594,4.672852516174316,6.87,25.79,25.63,61.99,27.006032943725582,20.43755531311035,13.037809371948242,33.29999923706055,330.8903503417969,9.788613319396973,12.8,22.135210037231445,7.04,33.28,53.99,36.0,26.42,62.8,4.73,23.92,37.74596786499024,35.502685546875,35.13225555419922,38.39,23.11
2008-05-20,37.76,20.66,14.24,18.41,26.6,7.32,20.766359329223636,12.867547988891602,53.02,24.06,6.93922758102417,4.399285316467285,3.1509456634521484,14.686,1.336,4.166043281555176,8.364339828491211,17.230478286743164,33.24,11.586170196533203,10.699,14.621541976928713,4.788063049316406,760.9351806640625,17.484251022338867,33.118404388427734,25.42327690124512,2.6450657844543457,9.537029266357422,6.44644832611084,0.8584069013595581,12.855975151062012,4.29095983505249,2.598,4.721658229827881,6.84,24.66,26.16,61.99,27.824951171875,21.116090774536133,13.074742317199709,33.20000076293945,349.7342834472656,9.724579811096191,12.78,22.0250186920166,7.04,32.57,52.35,36.36,26.39,62.99,4.69,23.58,36.46551132202149,35.502685546875,35.13225555419922,38.31,22.69
2008-05-21,36.51,20.1,14.0,18.26,26.4,7.15,20.05253219604492,12.46142864227295,53.21,24.2,6.751116752624512,4.2721781730651855,3.051486015319824,14.238,1.314,4.158426761627197,8.216546058654785,16.814895629882812,32.71,11.520710945129396,10.529,14.170464515686035,4.627488613128662,726.10595703125,17.484251022338867,33.046241760253906,23.82952117919922,2.615594387054444,9.29455852508545,6.6394548416137695,0.8670780062675476,12.881335258483888,4.180678367614746,2.557,4.581350326538086,6.42,23.02,26.33,61.31,28.18689727783203,21.463518142700195,12.557662010192873,33.9900016784668,351.0802917480469,9.496193885803224,12.54,21.40847396850586,6.83,31.14,52.3,35.87,26.39,63.04,4.62,22.97,34.68537902832031,33.325984954833984,34.00212097167969,37.22,22.62
2008-05-23,36.32,19.53,14.05,18.1,26.12,7.142,19.57280731201172,12.11088752746582,53.0,24.56,6.641385078430176,4.296188831329346,2.9796066284179688,14.238,1.314,4.006103515625,8.192983627319336,16.4632568359375,32.47,11.367974281311035,10.435,13.27683925628662,4.510705947875977,710.18408203125,17.62331199645996,32.72865676879883,23.33987236022949,2.5787553787231445,9.264252662658691,6.562252998352051,0.8546916246414185,12.7799072265625,4.0503458976745605,2.557,4.70335865020752,6.24,23.0,34.64,60.34,27.123668670654297,20.66646194458008,12.262188911437988,33.099998474121094,363.4185485839844,9.444966316223145,13.1,21.43733024597168,6.94,30.81,53.13,36.5,26.39,62.04,4.64,22.63,34.8220100402832,33.28845977783203,33.535335540771484,36.71,22.6
2008-05-26,36.1,19.67,14.45,18.0,26.05,7.047,19.57280731201172,12.119440078735352,53.15,25.41,6.704087734222412,4.25099515914917,2.9796066284179688,14.195,1.336,3.96040678024292,8.267949104309082,16.16275978088379,32.58,11.25887393951416,10.35,13.378965377807615,4.496108055114746,714.16455078125,17.62331199645996,33.270057678222656,22.955835342407227,2.6033122539520264,9.2743558883667,6.531371593475342,0.8447816967964172,12.67848014831543,4.19070291519165,2.548,4.582571029663086,6.26,23.3,35.6,60.41,27.91543197631836,21.079294204711918,12.336055755615234,,357.81024169921875,9.30409336090088,13.3,21.64459609985352,6.83,30.35,53.3,35.78,26.39,62.37,4.62,22.43,34.93912887573242,33.28845977783203,33.166805267333984,36.49,21.97
