,VIVO4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,LREN3,NATU3,NETC4,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,SUBA3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2006-08-29,22.68,15.65,10.75,35.9,4.279,7.080750942230225,6.754391193389893,22.22,11.66,6.369687557220459,2.93615198135376,2.477109670639038,0.935,5.712679862976074,5.588260173797607,5.722179889678955,10.229986190795898,8.171,16.45822525024414,10.13675594329834,10.858781814575195,67.5882797241211,16.08,2.224527359008789,6.465784072875977,,7.911372184753418,1.695,3.041407823562622,8.27,20.48,46.28,10.894710540771484,8.349942207336426,234.63885498046875,5.32268762588501,5.49,5.464786529541016,4.52,39.6,59.26,31.9,36.36,17.63,28.46,5.09,14.14,11.013211250305176,11.184088706970217,13.46,17.81
2006-08-30,23.14,15.52,10.91,35.81,4.32,7.051965713500977,6.797146320343018,20.63,11.54,6.766241073608398,2.8951964378356934,2.4666571617126465,0.955,5.488692283630371,5.6767659187316895,5.730172157287598,9.993826866149902,7.967,17.448766708374023,10.117496490478516,10.858781814575195,68.8841323852539,16.17,2.231868028640747,6.506199359893799,,8.053369522094727,1.838,3.0174570083618164,8.41,20.27,46.29,10.860779762268066,8.254295349121094,233.19664001464844,5.34575891494751,5.51,5.43315315246582,4.55,39.97,60.63,32.45,35.63,17.2,28.2,5.27,14.26,11.01156234741211,11.257265090942385,13.42,18.06
2006-08-31,23.35,15.65,10.6,35.81,4.279,7.21027660369873,6.839888572692871,20.58,11.5,6.914950370788574,2.950274705886841,2.461430788040161,0.968,5.649682521820068,5.639717102050781,6.041853427886963,10.04750156402588,8.026,17.77048110961914,10.021198272705078,10.830501556396484,68.99600219726562,16.43,2.229421138763428,6.517308235168457,,7.977298259735107,1.883,3.055536985397339,8.21,20.32,46.39,10.74992847442627,8.244729995727539,244.0688018798828,5.34575891494751,5.66,5.351934432983398,4.4,39.26,60.99,31.67,36.3,16.9,27.5,5.33,14.18,11.082456588745115,11.220674514770508,13.2,17.93
2006-09-01,24.27,15.93,10.99,36.57,4.422,7.27168083190918,7.082135200500488,22.23,11.79,6.865381717681885,3.0434865951538086,2.4666571617126465,0.99,5.701179027557373,5.763214588165283,5.993902683258057,10.476880073547363,8.239,17.94827651977539,9.934536933898926,10.74566650390625,69.4994125366211,16.43,2.2147371768951416,6.748661994934082,,8.418510437011719,1.842,3.1144490242004395,8.27,20.67,48.14,10.964838027954102,8.225601196289062,262.9286499023437,5.41549015045166,5.86,5.634064674377441,4.56,40.51,61.82,31.74,38.55,17.41,28.32,5.44,14.91,11.285244941711426,11.657310485839844,13.69,17.34
2006-09-04,22.93,15.76,10.99,36.67,4.436,7.289910793304443,7.2289137840271,23.1,11.9,6.98930549621582,3.1070399284362797,2.5502727031707764,1.024,5.969664573669434,5.8599534034729,6.0898051261901855,10.582077026367188,8.375,18.49856948852539,10.428855895996094,11.311230659484863,70.38504028320312,17.07,2.288154363632202,6.744617462158203,,8.388082504272461,1.826,3.1733615398406982,8.5,20.58,50.3,11.080212593078612,8.393938064575195,266.2568359375,5.663830280303955,6.08,5.813603401184082,4.56,41.43,63.6,31.94,38.56,17.12,27.82,5.45,15.01,11.705658912658691,11.767077445983888,13.85,17.97
2006-09-05,22.57,15.79,11.18,37.1,4.354,7.311018466949463,7.018014430999756,23.19,11.71,6.8009419441223145,3.092916965484619,2.6391143798828125,1.03,5.797173976898193,5.824964046478272,6.137756824493408,10.41247272491455,8.256,17.999074935913086,10.512310028076172,11.339505195617676,69.5926513671875,17.02,2.305285692214966,6.647631645202637,,8.71772289276123,1.814,3.1012768745422363,8.39,20.58,48.7,10.876614570617676,8.449414253234863,269.5850830078125,5.898946285247803,5.99,5.728963851928711,4.49,41.95,61.91,32.16,37.86,17.02,27.64,5.44,14.69,11.623225212097168,11.78171157836914,14.0,17.31
2006-09-06,21.64,15.45,11.15,37.14,4.279,7.258247375488281,6.955314159393311,22.61,11.44,6.850511074066162,3.080206155776977,2.597306728363037,1.029,5.699680805206299,5.87642240524292,5.913984775543213,10.144109725952148,8.026,17.94827651977539,10.460951805114746,11.311230659484863,67.86797332763672,17.1,2.2808125019073486,6.49709939956665,,8.75322151184082,1.826,2.993511438369751,8.34,20.76,49.01,10.505614280700684,8.342290878295898,257.38165283203125,5.668495178222656,5.88,5.616965770721436,4.4,42.49,61.0,32.04,36.71,16.53,26.62,5.3,14.38,11.408894538879396,11.537784576416016,13.7,17.31
2006-09-08,22.44,15.55,10.91,37.06,4.333,7.195883750915527,6.953889846801758,23.18,11.6,6.939736366271973,3.1070399284362797,2.5920801162719727,1.013,5.699680805206299,5.804379463195801,5.94595193862915,10.09043788909912,8.035,19.05733871459961,10.210583686828612,11.085003852844238,68.07305145263672,17.13,2.236762762069702,6.485987663269043,,8.895220756530762,1.871,3.065354824066162,8.6,21.14,49.8,10.252248764038086,8.10317611694336,257.38165283203125,5.599281311035156,5.88,5.439993381500244,4.41,42.58,61.82,31.4,37.65,16.57,27.17,5.3,14.45,11.309975624084473,11.369474411010742,13.56,17.58
2006-09-11,23.27,15.48,10.85,36.47,4.306,6.983844757080078,6.87693977355957,22.61,11.45,7.038875102996826,3.092916965484619,2.529369354248047,1.018,5.459693908691406,5.680883407592773,5.640663623809815,9.81134033203125,7.771,19.006540298461918,9.725892066955566,10.54771900177002,67.57897186279297,17.02,2.173134088516236,6.386980056762695,,8.62136459350586,1.818,3.02919340133667,8.12,20.48,48.05,9.883511543273926,7.607726573944092,254.05340576171875,5.530068397521973,5.63,5.257891654968262,4.45,40.86,61.64,31.8,37.53,16.34,26.35,5.58,14.32,10.937369346618652,10.952356338500977,12.97,17.31
2006-09-12,24.27,15.55,10.79,35.46,4.477,6.860075950622559,6.9467644691467285,22.81,11.67,7.336292743682861,2.9658102989196777,2.4875614643096924,0.996,5.473193168640137,5.660299777984619,5.674228668212891,9.98309326171875,7.847,18.769487380981445,9.806140899658203,10.604273796081545,69.8257064819336,17.4,2.2489984035491943,6.666825771331787,,8.372868537902832,1.785,3.063199758529663,8.05,21.2,47.98,9.79754638671875,7.613466262817383,260.7098083496094,5.5648040771484375,5.73,5.3177361488342285,4.45,41.23,62.2,31.8,38.51,16.66,26.87,5.67,14.75,11.277000427246094,10.859664916992188,12.99,17.67
2006-09-13,23.76,15.73,10.82,35.12,4.497,6.869670867919922,6.982389450073242,23.41,11.74,7.405690193176269,2.881073474884033,2.4875614643096924,1.002,5.6546831130981445,5.680883407592773,5.882016658782959,10.079702377319336,7.899,18.79488945007324,9.76120376586914,10.689111709594728,72.24954986572266,17.32,2.487358570098877,6.778968334197998,,8.46922492980957,1.785,3.2102417945861816,8.26,21.29,48.09,10.173072814941406,7.787538528442383,266.2568359375,5.5648040771484375,5.81,5.38698673248291,4.41,41.41,63.4,31.84,41.08,17.09,27.5,5.73,15.05,11.17807960510254,11.074321746826172,13.22,17.8
2006-09-14,23.23,15.76,10.77,34.65,4.436,6.754536151885986,6.825642108917236,24.08,11.69,7.252023696899414,2.9234418869018555,2.424849510192871,0.986,5.4446940422058105,5.639717102050781,5.94595193862915,9.789871215820312,7.677,18.667896270751957,9.645644187927246,10.437435150146484,72.88347625732422,17.21,2.22697377204895,6.688039302825928,,8.418510437011719,1.781,3.161147117614746,8.48,21.11,47.75,9.822433471679688,7.594335556030273,266.2568359375,5.599281311035156,5.9,5.283538341522217,4.38,40.52,65.88,31.44,43.11,17.38,27.75,5.6,15.03,10.945613861083984,11.001139640808104,13.02,17.48
2006-09-15,23.2,15.76,10.71,35.56,4.477,6.888859272003174,6.86839485168457,24.26,11.6,7.276809215545654,3.033599853515625,2.424849510192871,0.992,5.36969804763794,5.742630958557129,6.233658790588379,9.725464820861816,7.788,18.54090118408203,9.50120449066162,10.462886810302734,74.46830749511719,16.93,2.266129493713379,6.757752895355225,,8.504722595214844,1.801,3.161147117614746,8.55,21.67,47.52,9.682173728942873,7.527379989624023,264.0380554199219,5.530068397521973,5.96,5.266440391540527,4.4,39.88,66.38,30.91,41.93,17.56,28.46,5.55,14.88,10.813721656799316,10.976752281188965,12.96,17.67
