,ALLL3,AMBV4,BRML3,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ELET3,ELET6,ELPL4,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,PCAR4,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,TAMM4,TNLP4,VIVT3,TIMS3,UGPA3,USIM3,USIM5,VALE3,VALE5
2011-05-25,12.14,45.56,10.251195907592772,2.3358347415924072,7.382,15.541969299316406,13.111818313598633,12.634732246398926,26.792055130004883,7.32,7.96057653427124,3.891704797744751,14.914,24.302,5.131197929382324,2.088,3.709419488906861,12.300556182861328,10.91568088531494,20.41817092895508,6.202966690063477,11.464791297912598,13.491,25.09,11.393481254577637,19.206205368041992,394.7065124511719,12.200148582458496,13.89528751373291,19.850000381469727,12.583288192749023,3.369346857070923,10.034272193908691,3.9555723667144775,18.85972595214844,46.16091537475586,5.391501903533936,3.102,7.279250144958496,10.472936630249023,1366.7535400390625,7.691707611083984,16.53,1500.0,62.69,4116.68310546875,13.074110984802246,10.623801231384276,23.450000762939453,325.1372375488281,8.566213607788086,12.60550594329834,15.11,34.96,28.88,18.60929298400879,6.647459030151367,8.423166275024414,18.623273849487305,12.133660316467283,25.821409225463867,31.78
2011-05-26,12.41,45.32,10.335685729980469,2.3232316970825195,7.587,15.860862731933594,13.520818710327148,12.688959121704102,26.792055130004883,7.35,7.941123962402344,3.841001749038696,14.889,24.477,5.054037570953369,2.08,3.7140960693359375,12.18969440460205,10.94238567352295,20.09770965576172,6.274975299835205,11.403757095336914,13.448,25.67,11.384400367736816,19.421077728271484,401.0956726074219,12.214452743530272,13.86919403076172,19.600000381469727,12.457533836364746,3.473245859146118,10.357683181762695,4.126204490661621,19.10888290405273,45.47632598876953,5.506659984588623,3.156,7.603212833404541,10.472936630249023,1368.252197265625,7.552140712738037,16.08,1551.0,62.58,4231.28076171875,13.210148811340332,10.757156372070312,23.149999618530277,317.0681457519531,8.757115364074707,12.692042350769045,15.34,34.8,28.6,18.904396057128903,6.845212459564209,8.423166275024414,18.580463409423828,12.511524200439451,26.224876403808597,32.32
2011-05-27,12.55,45.58,10.617310523986816,2.350538969039917,7.573,16.060171127319336,13.65554141998291,12.79741096496582,26.537755966186523,7.37,8.007584571838379,3.834660768508911,14.923,24.35,5.054037570953369,2.068,3.676690578460693,12.102587699890137,10.94238567352295,20.436485290527344,6.434419631958008,11.317285537719728,13.338,25.37,11.42979335784912,19.702062606811523,401.8055725097656,12.26451301574707,13.94747257232666,19.520000457763672,11.97023582458496,3.455434560775757,10.30859375,4.203765392303467,18.9497013092041,45.67192459106445,5.695102214813232,3.119,7.828002452850342,10.472936630249023,1366.7535400390625,7.583155632019043,16.05,1585.0,63.87,4222.46533203125,13.258731842041016,10.797161102294922,23.01000022888184,322.0520324707031,8.74732780456543,12.663199424743652,15.8,34.66,28.25,18.980403900146484,6.784366130828857,8.423166275024414,19.068523406982425,12.528319358825684,26.382062911987305,32.42
2011-05-30,12.52,45.21,10.701799392700195,2.340036153793335,7.532,16.012331008911133,13.61705207824707,12.85163688659668,26.129070281982425,7.31,7.958956718444824,3.790286302566528,14.813,24.35,5.0154523849487305,2.034,3.70162844657898,12.062995910644531,10.929033279418944,20.50973320007324,6.424134731292725,11.317285537719728,13.312,25.63,11.193753242492676,,403.2253723144531,12.178698539733888,13.862668991088867,20.13999938964844,11.97023582458496,3.434654474258423,10.265284538269045,4.304593563079834,18.72822952270508,,5.517128944396973,3.115,7.821395397186279,10.547743797302246,1357.76171875,7.505618095397949,15.99,,63.12,4196.01953125,13.108120918273926,10.703811645507812,,322.76397705078125,8.664114952087402,12.5651216506958,15.8,34.51,27.75,18.868627548217773,6.617037773132324,8.423166275024414,18.96577453613281,12.427555084228516,26.272035598754883,32.32
2011-05-31,12.9,45.12,10.284990310668944,2.377846002578736,7.567,16.143875122070312,13.496746063232422,13.393903732299805,26.59225082397461,7.36,8.005962371826172,3.752265691757202,15.016,24.886,5.0540313720703125,2.004,3.763971090316773,11.96004581451416,11.282875061035156,20.50973320007324,6.604153633117676,11.393582344055176,13.448,26.13,11.35716724395752,20.19791984558105,411.7442321777344,12.378931999206545,14.1953706741333,19.940000534057617,11.6715726852417,3.5059027671813965,10.349021911621094,4.389909744262695,18.790515899658203,46.74770736694336,5.506659984588623,3.226,7.913952827453613,10.697357177734377,1416.2083740234375,7.521124839782715,16.28,1606.0,60.35,4363.5078125,13.035243034362791,10.708258628845217,23.799999237060547,332.2570495605469,8.737537384033203,12.715118408203123,16.47,34.37,27.65,19.00275993347168,6.693096160888672,8.423166275024414,19.907638549804688,12.721449851989746,26.329668045043945,32.34
2011-06-01,12.61,44.74,10.448334693908691,2.3211300373077397,7.457,15.87281608581543,13.285049438476562,13.041431427001951,26.42877578735352,7.25,7.61206579208374,3.701549530029297,14.728,24.963,5.079752445220947,1.986,3.6049964427948,11.928374290466309,10.80885887145996,20.46395301818848,6.609299182891846,11.337631225585938,13.397,25.43,11.302695274353027,19.503719329833984,394.7065124511719,12.02136516571045,13.764811515808104,19.790000915527344,11.71086883544922,3.459535598754883,10.231171607971191,4.164984226226807,18.79743766784668,44.693939208984375,5.548537254333496,3.144,7.669328689575195,10.398130416870115,1351.7672119140625,7.350543022155762,15.91,1512.0,59.49,4235.68798828125,13.020670890808104,10.668251037597656,23.399999618530277,325.1372375488281,8.552876472473145,12.461278915405272,15.89,33.26,27.5,18.618242263793945,6.647459030151367,8.423166275024414,19.265453338623047,12.419157028198242,26.07815933227539,32.09
2011-06-02,12.9,44.69,10.853877067565918,2.352638959884644,7.505,15.864846229553224,13.18399715423584,13.24206829071045,25.974672317504883,7.61,7.764440536499023,3.7585935592651367,14.906,24.671,5.138909339904785,2.014,3.779557943344116,12.168578147888184,11.062557220458984,20.26251602172852,6.8304643630981445,11.347804069519045,13.602,25.83,11.348085403442385,19.635948181152344,399.67584228515625,12.064275741577148,13.777860641479492,20.540000915527344,12.300339698791504,3.4922304153442383,10.329380989074709,4.335617065429688,18.99814987182617,46.16091537475586,5.548537254333496,3.156,7.8015594482421875,10.570185661315918,1393.7288818359375,7.583155632019043,16.05,1558.0,63.31,4359.10009765625,12.91378402709961,10.646023750305176,23.8700008392334,336.7662353515625,8.70569133758545,12.51896858215332,16.32,34.37,27.31,19.21738052368164,6.776758193969727,8.423166275024414,19.419578552246094,12.839007377624512,26.12007522583008,32.28
2011-06-03,13.06,45.67,10.95526123046875,2.377846002578736,7.525,15.864846229553224,13.18399715423584,13.45897388458252,25.538732528686523,7.83,7.668802261352539,3.913251638412476,14.999,25.236,5.144052505493164,2.036,3.865278482437134,12.144820213317873,11.309579849243164,20.024457931518555,6.727595806121826,11.32237434387207,13.551,26.63,11.030339241027832,19.371492385864254,409.6145324707031,12.014215469360352,13.660435676574709,20.649999618530277,12.339640617370604,3.4922304153442383,10.355376243591309,4.366641521453857,19.41340446472168,47.1389045715332,5.561099052429199,3.246,8.122878074645996,10.570185661315918,1395.2275390625,7.650354385375977,15.93,1578.0,62.92,4367.91552734375,12.792322158813477,10.570460319519045,23.799999237060547,341.7500915527344,8.685978889465332,12.41512393951416,16.17,34.13,27.3,19.18160629272461,6.807182788848877,8.423166275024414,19.137020111083984,12.654273986816406,25.90000915527344,32.1
2011-06-06,12.9,45.34,10.758124351501465,2.3358347415924072,7.43,15.681486129760742,13.150309562683104,13.317984580993652,25.384336471557617,7.44,7.553714275360107,3.891704797744751,14.762,24.866,5.111902236938477,1.983,3.834107160568237,11.944211959838867,10.882298469543455,20.32661247253418,6.681303977966309,11.240988731384276,13.465,26.21,11.075732231140137,18.842575073242188,397.546142578125,11.678102493286133,13.373393058776855,20.01000022888184,12.033114433288574,3.4208977222442627,10.115633010864258,4.157228469848633,19.240381240844727,45.574127197265625,5.569474220275879,3.205,8.079238891601562,10.398130416870115,1371.2493896484375,7.40740442276001,15.83,1518.0,62.52,4222.46533203125,12.52024745941162,10.312644004821776,23.75,327.5105285644531,8.488792419433594,11.970901489257812,15.85,33.43,26.65,19.069826126098636,6.7235188484191895,8.423166275024414,18.452028274536133,12.133660316467283,25.700899124145508,31.79
2011-06-07,13.0,45.48,10.95526123046875,2.3211300373077397,7.56,15.705401420593262,13.381271362304688,13.556578636169434,25.33892822265625,7.53,7.63314151763916,3.8756237030029297,14.695,24.924,5.092613220214844,1.953,3.771764039993286,12.142179489135742,10.882298469543455,20.46395301818848,6.532146453857422,10.986668586730955,13.253,26.21,10.894163131713867,18.80125617980957,399.67584228515625,11.828279495239258,13.406015396118164,20.100000381469727,12.331777572631836,3.4625093936920166,10.268723487854004,4.087423801422119,19.378803253173828,47.04110336303711,5.6762566566467285,3.32,8.002548217773438,10.570185661315918,1362.257568359375,7.598662376403809,15.77,1551.0,63.21,4262.13330078125,12.398788452148438,10.223740577697754,23.479999542236328,321.5773620605469,8.621894836425781,11.89590549468994,15.8,33.0,26.85,19.628734588623047,5.871670246124268,8.423166275024414,18.580463409423828,11.974116325378418,25.653738021850582,31.8
