,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2003-08-21,8.09,6.42,1.216,2.222965240478516,16.23,2684.73486328125,0.38,34.59,4.626572608947754,4.196,5.47,9.185789108276367,13.4,2.66,2.61,2.439192771911621,0.7146204710006714,2.2226130962371826,3.5273208618164062,2.6426186561584477,2.577484130859375,2.693066120147705,54.69,2.64,23.3,15.56,16.0,18.34,22.24,26.9,7.762486934661865,9.99,2.14,2.984118700027466,4.6346282958984375,5.79
2003-08-22,8.11,6.38,1.223,2.230088949203491,16.04,2665.0478515625,0.365,34.78,4.583635330200195,4.162,5.61,9.143460273742676,13.55,2.63,2.56,2.512068271636963,0.7146204710006714,2.212510108947754,3.5290184020996094,2.6357898712158203,2.5922601222991943,2.727264165878296,55.35,2.63,22.98,15.82,15.77,18.13,22.29,26.06,7.76571798324585,10.13,2.14,2.9758756160736084,4.500467777252197,5.61
2003-08-25,8.01,6.21,1.209,2.2158403396606445,15.85,2631.041259765625,0.345,34.83,4.482730388641357,4.102,5.5,9.109593391418455,13.64,2.54,2.54,2.583738088607788,0.7119336724281311,2.172098398208618,3.483774423599243,2.6002821922302246,2.5875933170318604,2.7785604000091557,57.81,2.63,22.68,15.26,15.46,17.91,21.74,26.31,7.636346340179443,9.91,2.14,2.933008909225464,4.451681137084961,5.55
2003-08-26,7.91,6.29,1.237,2.24861478805542,16.27,2718.742431640625,0.364,36.22,4.64804220199585,4.238,6.0,9.355117797851562,13.71,2.68,2.67,2.7192482948303223,0.7280533909797668,2.212409257888794,3.517706155776977,2.6266860961914062,2.76438570022583,2.836268424987793,58.75,2.67,23.4,15.71,16.2,18.78,22.55,27.39,7.85951566696167,10.23,2.21,2.959388017654419,4.4362335205078125,5.52
2003-08-27,8.15,6.42,1.271,2.251464605331421,16.85,2769.752197265625,0.376,35.91,4.7339186668396,4.281,6.37,9.37204647064209,14.09,2.72,2.72,2.6801013946533203,0.7441721558570862,2.333742380142212,3.596318244934082,2.697246551513672,2.898665189743042,2.737950563430786,57.36,2.68,23.54,15.8,16.77,19.21,23.16,28.32,8.247640609741211,10.19,2.24,2.8571701049804688,4.4272894859313965,5.55
2003-08-28,8.35,6.34,1.244,2.207289934158325,16.63,2832.396240234375,0.361,36.22,4.744652271270752,4.264,6.47,9.583699226379396,14.2,2.66,2.64,2.578317642211914,0.7710380554199219,2.303433895111084,3.647781848907471,2.697246551513672,2.9494731426239014,2.7358126640319824,54.86,2.67,23.23,15.15,16.74,19.34,23.42,27.39,8.490217208862305,9.87,2.2,2.728572368621826,4.48420524597168,5.72
2003-08-29,8.66,6.62,1.237,2.194466114044189,16.58,2898.619384765625,0.365,36.8,4.723183155059815,4.298,6.49,9.947742462158203,14.92,2.64,2.6,2.672271490097046,0.760291576385498,2.2680752277374268,3.7156479358673096,2.767807006835937,3.064570188522339,2.836268424987793,54.5,2.61,24.08,15.47,17.03,19.47,23.51,27.65,8.415831565856934,9.95,2.21,2.802763700485229,4.5045318603515625,5.74
2003-09-01,9.0,6.77,1.257,2.251464605331421,16.71,2975.58154296875,0.373,36.73,4.787590026855469,4.366,6.39,9.710694313049316,14.53,2.69,2.71,2.652998924255371,0.7683517932891846,2.303433895111084,3.6653151512146,2.735940933227539,2.9956157207489014,2.836268424987793,54.97,2.68,24.46,15.44,17.04,19.85,23.74,27.06,8.765137672424316,9.99,2.2,2.852223396301269,4.593973636627197,5.87
2003-09-02,8.94,6.83,1.264,2.305612564086914,17.11,3025.697509765625,0.371,38.17,4.826236248016357,4.366,6.31,9.99007511138916,14.95,2.68,2.7,2.6951582431793213,0.7656646966934204,2.2731258869171143,3.659092903137207,2.7313883304595947,3.0370917320251465,2.821307182312012,54.27,2.76,24.72,15.71,17.42,20.1,23.79,27.65,8.894511222839355,10.16,2.24,2.918171167373657,4.553318023681641,5.79
2003-09-03,9.04,6.69,1.257,2.515085458755493,17.49,2966.63330078125,0.365,38.67,4.766121864318848,4.281,6.99,10.311792373657228,15.95,2.64,2.61,2.734304666519165,0.7790970206260681,2.333742380142212,3.7891695499420166,2.8019490242004395,2.966582059860229,2.949548721313477,55.97,2.82,24.73,15.94,17.79,20.35,23.89,28.32,9.379669189453123,10.25,2.32,3.017091751098633,4.57364559173584,5.79
2003-09-04,9.3,6.44,1.257,2.436710834503174,17.3,3018.537109375,0.365,38.34,4.8648786544799805,4.409,6.6,10.455716133117676,16.25,2.64,2.66,2.710214138031006,0.7764105796813965,2.3943607807159424,3.9141550064086914,2.886622905731201,2.937548875808716,2.953823566436768,57.52,2.87,23.37,15.94,17.5,19.89,23.94,28.66,9.221181869506836,10.19,2.39,3.017091751098633,4.593973636627197,5.82
