,ALLL3,ABEV3,AEDU3,BRML3,BBSE3,B3SA3,BRPR3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,YDUQ3,EVEN3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,COGN3,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MRVE3,NATU3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,QUAL3,RSID3,SBSP3,SANB11,CSNA3,CRUZ3,VIVT4,TIMS3,EGIE3,UGPA3,USIM5,VALE3,VALE5
2014-02-25,6.64,12.144302368164062,11.57,9.939053535461426,13.003917694091797,2.293168067932129,4.210423946380615,7.81546688079834,7.826,9.18150806427002,11.891371726989746,9.40846824645996,38.14233016967773,1.47,11.25701141357422,3.7918343544006343,12.199,21.49,17.859,12.62767219543457,1.306,5.998759746551514,9.691304206848145,9.236809730529783,13.96923828125,6.570667266845703,9.09259796142578,3.592096328735352,5.685,7.43,18.90233421325684,5.068899631500244,15.69975757598877,5.898345470428467,20.677248001098636,164.30319213867188,11.261556625366213,12.86440658569336,11.229999542236328,11.775222778320312,3.417616128921509,10.963702201843262,5.781482696533203,1.6722218990325928,9.192688941955566,12.44820785522461,9.09526538848877,8.466348648071289,3.763,7.989620685577393,2.887537717819214,4.4386420249938965,15.29,36.900001525878906,92.71,680.6993408203125,6.756100177764893,6.697678089141846,13.040986061096191,42.0,17.02578353881836,7.072005748748779,7.511661052703857,17.88,28.127,8.876227378845215,15.123250007629396,22.54838180541992,8.450798034667969,19.25033950805664,24.67
2014-02-26,6.8,12.217461585998535,12.68,10.05475902557373,12.976248741149902,2.26697301864624,4.121381759643555,7.829225063323975,7.771,9.203336715698242,11.717118263244627,9.374481201171877,38.132808685302734,1.46,11.640687942504885,3.803609609603882,12.165,21.51,18.248,12.61783504486084,1.338,5.973794460296631,9.98204231262207,9.07247829437256,13.978525161743164,6.630948066711426,9.09259796142578,3.561974048614502,5.702,7.24,19.689537048339844,5.120858669281006,16.013004302978516,5.743767261505127,21.04914093017578,168.4107666015625,11.141752243041992,12.644500732421877,11.1899995803833,11.87050437927246,3.3689098358154297,10.921343803405762,5.757980823516846,1.653593897819519,9.278604507446287,12.640829086303713,8.997467041015625,8.397216796875,3.85,8.144702911376953,2.84265398979187,4.404801845550537,15.33,36.29999923706055,93.37,676.161376953125,6.562778472900391,6.470959663391113,12.95975112915039,41.25,16.861095428466797,7.053775787353516,7.462702751159668,18.0,28.972,8.766837120056152,15.118680953979492,22.848100662231445,8.40854263305664,19.25626564025879,24.67
2014-02-27,7.0,12.356462478637695,12.48,10.581217765808104,13.031582832336426,2.3979434967041016,4.230775833129883,8.035616874694824,7.977,9.391071319580078,12.19180679321289,9.516088485717772,38.94211959838867,1.49,12.017130851745604,3.918424367904663,12.529,21.79,18.52,12.726101875305176,1.397,5.957149505615234,10.32123851776123,9.277892112731934,13.978525161743164,6.751512050628662,9.41497802734375,3.7652993202209473,5.966,7.48,20.059423446655277,5.23632287979126,16.18454933166504,6.012243747711182,20.79294776916504,181.55502319335935,11.089338302612305,12.57578182220459,11.369999885559082,12.005485534667969,3.450086832046509,11.094307899475098,5.993000507354736,1.6836854219436646,9.364516258239746,13.162513732910156,9.38866138458252,8.410506248474121,3.891,8.282872200012207,3.0670742988586426,4.574000835418701,15.52,36.400001525878906,94.88,712.46533203125,6.78153657913208,6.631551742553711,13.353419303894045,44.75,17.51984977722168,7.102384090423584,7.686512470245361,18.9,29.16,9.07938003540039,15.306008338928224,23.16591453552246,8.552206993103027,19.54640769958496,24.94
2014-02-28,6.75,12.34914493560791,13.04,10.390303611755373,12.893244743347168,2.3979434967041016,4.324906826019287,8.02185344696045,7.935,9.303753852844238,12.43817138671875,9.147905349731444,40.865421295166016,1.47,11.640687942504885,3.953751564025879,12.359,21.79,18.248,12.499727249145508,1.377,5.774057865142822,10.175869941711426,8.94237995147705,13.987812042236328,6.552584648132324,9.048636436462402,3.7652993202209473,5.966,7.37,19.86974334716797,5.155498504638672,16.482879638671875,5.808853149414063,20.49543190002441,180.73350524902344,10.81229305267334,12.307775497436523,11.079999923706056,11.53701877593994,3.4379100799560547,11.016648292541504,5.875490665435791,1.6621917486190796,9.38599681854248,13.242773056030272,8.997467041015625,8.28553295135498,3.85,8.134834289550781,3.0670742988586426,4.5796403884887695,15.27,35.900001525878906,95.01,685.2373657226562,6.608565330505371,6.419003009796143,13.272188186645508,42.75,16.861095428466797,6.956569671630859,6.945139408111572,18.58,28.625,8.954363822937012,15.168943405151367,22.79439163208008,8.256429672241211,19.540489196777344,24.74
2014-03-05,6.95,12.290620803833008,13.21,10.448155403137209,12.965182304382324,2.3812742233276367,4.33762788772583,7.85123348236084,7.847,8.875894546508789,12.43817138671875,8.8363676071167,42.56021118164063,1.45,11.74927806854248,3.959640502929688,12.156,21.74,18.238,12.749725341796877,1.36,5.634240627288818,9.873014450073242,8.798592567443848,13.987812042236328,6.456132888793945,9.231806755065918,3.689993143081665,5.881,7.27,19.63262939453125,5.011166572570801,16.572378158569336,5.686817646026611,20.24750518798828,184.8410797119141,10.744903564453123,12.149717330932615,10.770000457763672,11.433796882629396,3.3748857975006104,10.852432250976562,5.883324146270752,1.6306670904159546,9.57071018218994,13.3792142868042,8.899667739868164,8.157899856567383,3.821,8.143295288085938,3.0072290897369385,4.500680923461914,15.61,35.400001525878906,93.28,662.54736328125,6.466117858886719,6.277303695678711,12.928508758544922,40.75,16.853248596191406,6.901887893676758,6.888575077056885,18.9,29.075,8.985616683959961,14.89480209350586,22.56710433959961,8.104314804077148,18.85953140258789,23.92
2014-03-06,7.11,12.341830253601074,13.34,10.685351371765137,13.014984130859377,2.428900718688965,4.3656110763549805,8.162088394165039,8.154,8.836602210998535,12.167777061462402,8.932662963867188,42.13175582885742,1.44,12.234305381774902,3.9743611812591553,12.3,22.13,18.783,12.911133766174316,1.418,5.792366981506348,10.242496490478516,8.928686141967773,13.99710178375244,6.630948066711426,9.605474472045898,3.689993143081665,5.873,7.32,19.35758399963379,4.982300281524658,16.408296585083008,5.816987991333008,20.53675651550293,183.19805908203125,10.865296363830566,12.122102737426758,10.520000457763672,11.529080390930176,3.44807505607605,11.15261459350586,6.008667469024658,1.6120389699935913,9.34948444366455,13.53973388671875,8.80186939239502,8.205763816833496,3.854,8.220834732055664,2.9623448848724365,4.737559795379639,15.8,35.400001525878906,93.95,662.54736328125,6.57804012298584,6.343428134918213,13.30967903137207,41.0,16.861095428466797,7.005171775817871,6.946220874786377,18.88,29.441,9.00124454498291,15.14609718322754,22.838096618652344,8.138118743896484,18.800317764282227,23.92
2014-03-07,7.09,12.261354446411133,13.01,10.558077812194824,12.837907791137695,2.4455690383911133,4.192615509033203,8.046427726745605,8.031,8.42184066772461,11.945456504821776,8.54748821258545,41.66520690917969,1.41,11.770997047424316,3.847769975662232,11.666,22.03,18.715,12.913101196289062,1.359,5.625919818878174,9.891186714172363,8.764354705810547,13.99710178375244,6.3958516120910645,9.378341674804688,3.5167901515960693,5.626,7.09,19.39552116394043,4.73405122756958,16.102508544921875,5.67868185043335,20.61113548278809,178.2689666748047,10.4890718460083,11.852875709533691,10.199999809265137,11.87050437927246,3.3748857975006104,10.930127143859863,5.828486442565918,1.584813356399536,9.128254890441896,12.737139701843262,8.410675048828125,8.016973495483398,3.796,8.155984878540039,2.9773058891296387,4.669880390167236,15.78,35.5,93.92,648.9334106445312,6.46103048324585,6.2914719581604,13.028488159179688,40.0,16.42192268371582,6.980869770050049,6.593142986297607,18.87,29.845,9.07938003540039,14.616096496582031,22.72882652282715,7.681775093078613,18.08975601196289,23.04
2014-03-10,6.93,12.210142135620115,12.88,10.384519577026367,12.62209701538086,2.393181085586548,4.197704315185547,7.881202697753906,7.84,8.164251327514648,11.837299346923828,8.54182243347168,41.77946853637695,1.42,11.459708213806152,3.762394428253174,11.395,21.93,18.559,13.17884635925293,1.351,5.742432117462158,9.564106941223145,8.552091598510742,14.006388664245604,6.239119052886963,9.14388370513916,3.486668109893799,5.634,7.12,19.25325584411621,4.757144927978516,16.057756423950195,5.499698162078857,19.759912490844727,170.05380249023438,10.270864486694336,11.514616012573242,10.260000228881836,11.775222778320312,3.3545541763305664,10.788867950439451,5.640470504760742,1.501704216003418,9.175509452819824,12.600699424743652,7.921681880950928,7.987722396850586,3.788,8.078441619873047,2.9249415397644043,4.495041370391846,15.87,34.29999923706055,92.08,653.4713745117188,6.349106311798096,6.145049095153809,12.841026306152344,38.0,16.265071868896484,6.999095916748047,6.376976490020752,18.85,29.929,8.790277481079102,14.255148887634276,22.68948554992676,7.369095802307129,17.78776741027832,22.43
2014-03-11,6.75,12.217461585998535,13.07,10.419229507446287,12.478226661682127,2.3550798892974854,4.174806594848633,7.850905895233154,7.881,8.199178695678711,12.107694625854492,8.609795570373535,41.73186111450195,1.45,11.71308422088623,3.8271615505218506,11.31,21.63,19.202,13.480019569396973,1.377,5.762406349182129,9.933587074279783,8.634259223937988,14.01567840576172,6.299402236938477,9.561514854431152,3.539381980895996,5.711,6.94,19.21531867980957,4.826423645019531,16.326257705688477,5.589190483093262,19.685535430908203,172.51834106445312,10.376205444335938,11.528427124023438,10.050000190734863,11.997547149658203,3.391150951385498,10.905407905578612,5.71881103515625,1.5174661874771118,9.450429916381836,12.897658348083496,7.823884010314941,8.070152282714844,3.833,8.144702911376953,2.8950188159942627,4.607840538024902,15.87,34.5,91.85,639.857421875,6.349106311798096,6.192282676696777,12.766045570373535,37.25,16.578765869140625,7.023400783538818,6.2328643798828125,19.43,30.699,8.90748119354248,14.437910079956056,22.50591087341309,7.411348819732666,17.49761962890625,22.21
2014-03-12,6.65,12.232090950012209,12.86,10.384519577026367,12.384153366088867,2.357461929321289,4.215511798858643,7.878456115722656,7.929,8.251568794250488,11.750378608703612,8.6947603225708,41.64617156982422,1.45,11.727560997009276,3.909592390060425,11.624,21.79,19.367,13.35601043701172,1.393,5.730781078338623,10.20615577697754,8.695886611938477,14.006388664245604,6.365711212158203,9.561514854431152,3.727646827697754,5.966,7.07,19.22480010986328,5.091990470886231,16.09505271911621,5.629868507385254,19.94172477722168,173.33985900878906,10.50411891937256,11.776942253112791,9.920000076293944,12.053128242492676,3.3667526245117188,10.771207809448242,5.781482696533203,1.541826248168945,9.51486587524414,13.30698013305664,7.823884010314941,8.056859016418457,3.845,8.170080184936523,2.932422161102295,4.709359169006348,15.7,34.29999923706055,89.97,635.3193969726562,6.399980068206787,6.2914719581604,12.503600120544434,36.75,16.531713485717773,6.950493335723877,6.290507793426514,19.53,30.051,9.00124454498291,14.355666160583496,22.444711685180664,7.200079441070557,17.8292179107666,22.51
2014-03-13,6.79,12.13698673248291,12.59,10.095256805419922,12.290083885192873,2.345555305480957,4.172262668609619,7.751779079437256,7.765,8.033273696899414,11.677127838134766,8.598466873168945,41.23675537109375,1.43,11.65516757965088,4.039127826690674,11.894,21.79,19.474,13.271363258361816,1.424,5.649222373962402,10.690719604492188,8.58633041381836,15.557496070861816,6.377767086029053,9.576167106628418,3.810483455657959,6.069,7.3,18.58934783935547,5.265188694000244,16.087594985961914,5.6135969161987305,20.032634735107425,171.6968231201172,10.406302452087402,11.507715225219728,9.81999969482422,12.31515407562256,3.3301589488983154,10.626415252685549,5.7971510887146,1.5260636806488037,9.486944198608398,13.884846687316896,8.01948070526123,8.096742630004883,3.886,8.124966621398926,2.932422161102295,4.743198394775391,15.51,34.0,90.99,608.0914306640625,6.3134942054748535,6.154496192932129,12.71605396270752,36.5,16.225860595703125,6.8593597412109375,6.20404052734375,19.14,29.638,8.766837120056152,14.849115371704102,22.156234741210938,7.250783920288086,17.349584579467773,22.04
2014-03-14,7.14,11.96872329711914,12.39,10.124180793762209,12.378620147705078,2.331267833709717,4.197704315185547,7.674673557281494,7.662,8.06820297241211,11.50011157989502,8.524829864501953,41.70329284667969,1.46,11.63344955444336,3.797723054885864,11.936,21.58,19.134,12.956411361694336,1.373,5.492761611938477,10.242496490478516,8.394609451293945,14.043540954589844,6.245149612426758,9.422304153442385,3.682463169097901,5.941,7.09,18.447084426879883,5.224776744842529,16.020465850830078,5.459019660949707,19.94172477722168,166.7677459716797,10.639562606811523,11.756231307983398,9.65999984741211,12.148409843444824,3.2569692134857178,10.343891143798828,5.640470504760742,1.5403929948806765,9.471908569335938,13.692225456237791,7.823884010314941,8.242989540100098,3.886,8.147525787353516,2.9174606800079346,4.145364284515381,15.64,33.0,89.72,599.0154418945312,6.15578556060791,6.036413192749023,12.65356731414795,36.5,15.73963451385498,6.6710124015808105,6.92460298538208,19.03,29.441,8.774651527404785,14.392223358154297,21.87649345397949,7.631070613861084,17.32590103149414,22.21
2014-03-17,7.1,12.195513725280762,12.62,10.297739028930664,12.395224571228027,2.390799760818481,4.197704315185547,7.795841693878174,7.826,8.072566986083984,11.414657592773438,8.689096450805664,41.79851150512695,1.45,11.720321655273438,3.824218034744263,11.877,21.54,19.211,13.376338958740234,1.363,5.459472179412842,10.121355056762695,8.394609451293945,13.41195297241211,6.341597080230713,9.53220558166504,3.742708206176758,5.924,6.98,18.655738830566406,5.034260272979736,15.930968284606934,5.434612274169922,20.01610565185547,164.30319213867188,10.541744232177734,11.67339038848877,10.020000457763672,12.148409843444824,3.2935619354248047,10.55931568145752,5.640470504760742,1.5332282781600952,9.622254371643066,13.39526653289795,7.530488014221191,8.256284713745117,3.96,8.212376594543457,2.790289640426636,3.9197652339935294,15.75,32.599998474121094,91.13,576.325439453125,6.115086555480957,5.937224864959717,12.49109935760498,35.25,15.8651123046875,6.756073474884033,6.939014911651611,19.23,29.544,8.73558235168457,14.483598709106444,22.090673446655277,7.529661655426025,17.355504989624023,22.12
2014-03-18,7.1,12.28330421447754,12.43,10.58700180053711,12.887710571289062,2.4479501247406006,4.235864162445068,7.972075939178467,7.922,8.356351852416992,11.567255020141602,9.062942504882812,42.23649215698242,1.46,12.161911964416504,3.959640502929688,12.08,21.4,19.795,13.839248657226562,1.414,5.492761611938477,10.29701042175293,8.552091598510742,13.254056930541992,6.389822959899902,9.52487850189209,3.9234421253204346,6.171,7.1,19.00666618347168,5.167044162750244,16.63950538635254,5.556647777557373,20.239240646362305,166.7677459716797,10.692231178283691,11.873584747314451,10.239999771118164,12.616878509521484,3.346423625946045,10.757083892822266,5.985166549682617,1.573350191116333,10.049674987792969,13.50762939453125,8.117280006408691,8.333395004272461,4.059,8.37169075012207,2.909980058670044,4.060764789581299,16.34,34.599998474121094,93.34,589.939453125,6.2931437492370605,6.126157283782959,12.728551864624023,37.25,16.44544792175293,6.950493335723877,7.068716526031494,19.56,30.295,8.899667739868164,14.963336944580078,22.6938591003418,7.842340469360352,17.651573181152344,22.58
2014-03-19,7.1,12.26867389678955,12.37,10.413443565368652,13.186522483825684,2.4789068698883057,4.309642314910889,8.079475402832031,7.997,8.312692642211914,12.098312377929688,9.357488632202148,41.72233963012695,1.48,12.161911964416504,3.971416473388672,12.605,22.06,19.659,13.977527618408203,1.446,5.516064643859863,10.266725540161133,8.483622550964355,12.984703063964844,6.540526390075684,9.312400817871094,4.164421558380127,6.341,7.27,18.89284896850586,5.369108200073242,16.60967254638672,5.638003826141357,20.528493881225582,172.51834106445312,10.707280158996582,11.86668300628662,10.5600004196167,12.68833827972412,3.35862135887146,10.806523323059082,6.126177787780762,1.6091735363006592,10.138660430908203,14.005237579345703,9.38866138458252,8.45571231842041,4.051,8.406355857849121,2.9623448848724365,3.9761648178100586,15.64,34.599998474121094,92.62,585.4014282226562,6.511906147003174,6.300919055938721,13.24719524383545,37.75,16.625822067260742,7.102384090423584,6.953425884246826,19.54,30.408,8.821532249450684,14.95419692993164,23.01293563842773,8.14656925201416,17.53314781188965,22.6
