,ALLL3,AMBV4,BRML3,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ELET3,ELET6,ELPL4,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,PCAR4,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,VIVT4,TNLP4,TIMS3,UGPA3,USIM3,USIM5,VALE3,VALE5
2012-03-05,9.88,66.57,12.915380477905272,2.598038673400879,7.942,14.534997940063477,14.52279567718506,8.567757606506348,32.50756072998047,5.95,9.146960258483888,5.388661861419678,18.265,32.837,8.236157417297363,2.221,4.995198726654053,15.496790885925291,12.711593627929688,14.924442291259766,5.07570219039917,10.07224941253662,13.423,30.19,11.807881355285645,12.884024620056152,239.94749450683597,13.16030216217041,15.70854949951172,14.380000114440918,9.22722053527832,3.8048946857452393,11.087606430053713,6.259110450744629,19.070446014404297,36.96785354614258,6.80402421951294,3.657,8.531190872192383,7.802338123321533,1432.693359375,7.567648410797119,16.54,1726.0,77.65,3345.356201171875,12.852078437805176,11.220701217651367,35.79999923706055,252.2780303955078,9.503915786743164,10.395936012268066,23.65,29.61,18.85,7.826356887817383,16.834070205688477,13.7940673828125,10.513038635253906,23.44069480895996,31.87
2012-03-06,9.74,66.12,12.746405601501465,2.533087491989136,7.723,14.042359352111816,14.2693452835083,8.090564727783203,32.13603973388672,5.87,9.395261764526367,5.213005542755127,17.918,32.574,8.180804252624512,2.196,4.979245662689209,15.666664123535156,12.20419979095459,14.694127082824709,5.02831506729126,9.860087394714355,13.099,30.11,11.411211013793944,12.47907543182373,232.8484649658203,12.51834201812744,14.872991561889648,14.100000381469728,8.936415672302246,3.6960954666137695,10.71453094482422,6.305647850036621,18.796707153320312,35.50087356567383,6.645793914794922,3.562,8.524523735046387,7.74249267578125,1348.7698974609375,7.314359664916992,16.48,1691.0,76.52,3239.573974609375,12.364276885986328,10.83739948272705,35.900001525878906,242.78497314453125,9.189146041870115,10.09017276763916,23.21,29.16,18.74,7.582973003387451,16.569236755371094,13.271758079528809,10.202349662780762,22.305334091186523,30.44
2012-03-07,9.76,68.07,13.067459106445312,2.6088640689849854,7.908,13.741070747375488,14.472111701965332,8.090564727783203,32.72117614746094,6.04,9.610011100769045,5.1769328117370605,18.07,33.324,7.991568565368652,2.192,5.025510787963867,15.370755195617676,12.765002250671388,14.555938720703123,5.080967426300049,9.955560684204102,13.278,30.31,11.540360450744627,12.56171703338623,241.3673095703125,12.474567413330078,14.832880973815918,14.100000381469728,9.195780754089355,3.755157232284546,10.938379287719728,6.390962600708008,18.67036819458008,36.38106155395508,6.704866886138916,3.583,8.711143493652344,8.393310546875,1335.2822265625,7.660692691802978,16.93,1711.0,76.71,3385.0244140625,12.468805313110352,10.942352294921877,35.79999923706055,259.8724975585937,9.35668659210205,10.05555820465088,23.19,29.695,18.95,7.803543090820312,16.7016544342041,13.494382858276367,9.975631713867188,22.27273750305176,30.42
2012-03-08,9.51,69.09,13.518059730529783,2.6608235836029053,8.038,13.700353622436523,14.512659072875977,8.155638694763184,33.52921676635742,6.41,9.824762344360352,5.302816390991211,18.078,34.394,7.951662063598633,2.208,5.031892776489258,15.50775146484375,12.951939582824709,14.509875297546388,5.265252113342285,9.791138648986816,13.082,30.23,11.789432525634766,12.56171703338623,246.33663940429688,12.693419456481934,15.060160636901855,14.75,9.368695259094238,3.845307111740112,11.287559509277344,6.406475067138672,18.459796905517575,37.652442932128906,7.04664945602417,3.739,8.9310884475708,8.378348350524902,1416.2083740234375,7.65552282333374,16.94,1699.0,82.39,3459.953369140625,12.48373794555664,10.992548942565918,35.939998626708984,278.3839416503906,9.549607276916504,10.19401741027832,23.43,30.417,18.58,8.024109840393066,16.898149490356445,13.871129035949709,10.084792137145996,22.354223251342773,30.39
2012-03-09,9.6,70.69,13.518059730529783,2.7084548473358154,8.188,13.700353622436523,14.563344955444336,8.215287208557129,33.90073776245117,6.07,9.683833122253418,5.4639506340026855,18.501,33.859,7.960673809051514,2.196,5.033489227294922,15.96257209777832,12.351075172424316,14.25192165374756,5.349495887756348,9.706274032592772,13.006,30.19,12.001608848571776,12.867496490478516,246.33663940429688,13.02899169921875,15.401066780090332,14.460000038146973,8.999292373657227,3.882609605789185,11.46664047241211,6.359939098358154,18.66334724426269,37.16344833374024,7.099391460418701,3.661,8.831111907958984,8.460636138916016,1369.750732421875,7.495278358459473,16.73,1683.0,82.6,3336.540771484375,12.379209518432615,10.819147109985352,35.65999984741211,267.94158935546875,9.498834609985352,10.349781036376951,23.92,31.346,18.6,8.191436767578125,17.000661849975586,14.205063819885254,10.084792137145996,22.332489013671875,30.27
2012-03-12,9.46,71.59,13.658876419067385,2.706289052963257,8.134,13.59449863433838,14.624175071716309,8.079721450805664,34.36513137817383,6.13,9.569746971130373,5.457343578338623,18.586,33.47,7.9104695320129395,2.158,5.138784885406494,16.05572509765625,12.51798152923584,14.049243927001951,5.275782585144043,9.722187042236328,13.082,30.13,12.176880836486816,12.768324851989746,246.33663940429688,13.036287307739258,15.594916343688965,14.25,9.219362258911133,3.8328723907470703,11.284574508666992,6.305647850036621,18.52998733520508,36.67445755004883,7.122601509094238,3.673,8.737808227539062,8.655133247375488,1336.7808837890625,7.412572860717773,16.55,1667.0,80.4,3327.725830078125,12.284635543823242,10.691381454467772,35.5,264.8563232421875,9.407453536987305,10.27478313446045,24.37,31.196,18.3,7.917624950408935,17.04337501525879,14.46193504333496,10.219143867492676,22.06630516052246,29.92
2012-03-13,9.69,72.24,13.658876419067385,2.738765001296997,8.284,14.115640640258787,15.009425163269045,8.372542381286621,34.829524993896484,6.31,9.643567085266112,5.639606475830078,18.772,34.024,7.891161918640137,2.229,5.216958999633789,16.039287567138672,13.00535011291504,14.371685028076172,5.686471939086914,9.91843318939209,13.261,30.22,12.361379623413086,12.950139999389648,253.4356689453125,13.714727401733398,16.350263595581055,14.84000015258789,9.816694259643556,3.870176315307617,11.415902137756348,6.359939098358154,19.0564079284668,39.60841369628906,7.179562091827393,3.751,8.83778190612793,9.171300888061523,1410.2138671875,7.645185947418213,17.03,1713.0,80.2,3407.062255859375,12.767460823059082,11.147692680358888,35.29999923706055,275.0613708496094,9.569912910461426,10.70169734954834,24.4,31.778,19.08,8.008895874023438,17.368013381958008,15.198305130004885,10.680978775024414,23.19624137878418,31.52
2012-03-14,9.71,71.92,13.461736679077148,2.706289052963257,8.264,14.148213386535645,14.700214385986328,8.394232749938965,35.47967529296875,6.0,9.650276184082031,5.636964321136475,18.595,33.878,7.879575252532959,2.233,5.328638076782227,15.957093238830566,12.571391105651855,14.417749404907228,5.797041893005371,9.716880798339844,12.878,30.83,12.76727294921875,12.76006031036377,253.4356689453125,13.948175430297852,16.350263595581055,14.84000015258789,9.816694259643556,3.885718107223511,11.460663795471191,6.197063446044922,19.000253677368164,38.14143753051758,7.128928661346436,3.636,8.7977876663208,9.14137840270996,1456.6715087890625,7.495278358459473,17.0,1707.0,80.2,3301.2802734375,12.827189445495604,11.330219268798828,35.58000183105469,265.8056335449219,9.590217590332031,11.019001007080078,24.4,31.703,19.05,8.15340805053711,17.385099411010742,15.45517635345459,11.24357795715332,22.978946685791016,31.16
2012-03-15,9.7,71.0,13.180110931396484,2.649998664855957,8.325,14.241856575012209,14.497450828552246,8.367120742797852,35.526119232177734,6.02,9.66369915008545,5.584137439727783,18.349,33.44,7.807484149932861,2.214,5.440316200256348,15.75434112548828,12.184168815612791,14.233494758605955,5.844429969787598,9.292564392089844,12.299,30.93,12.730375289916992,12.503868103027344,246.33663940429688,13.95546817779541,16.330209732055664,15.149999618530272,9.777393341064451,3.891937017440796,11.481558799743652,6.204818248748779,18.9160270690918,38.82602691650391,7.02766227722168,3.538,8.550661087036133,8.827189445495605,1447.6796875,7.402233123779297,16.83,1700.0,80.6,3226.3515625,12.493693351745604,11.051864624023438,35.5,258.6858215332031,9.43283748626709,11.105536460876465,23.89,31.253,19.27,8.221860885620117,17.222780227661133,15.506552696228027,11.361136436462402,23.19624137878418,31.41
2012-03-16,9.62,70.34,13.095621109008787,2.632678508758545,8.325,14.392497062683104,14.639385223388672,8.415923118591309,35.061729431152344,5.79,9.730809211730955,5.50622034072876,18.045,32.905,7.826241493225098,2.195,5.4084086418151855,15.661184310913086,11.823650360107422,14.095307350158691,5.949735164642334,9.494115829467772,12.223,31.24,12.758047103881836,12.38816738128662,242.0772247314453,13.984646797180176,16.176464080810547,14.56999969482422,9.53374481201172,3.910587072372437,11.520357131958008,6.476278781890869,18.71950340270996,38.337032318115234,7.216464996337891,3.517,8.514585494995117,8.572847366333008,1419.2056884765625,7.428079605102539,16.28,1701.0,82.14,3138.19970703125,12.543468475341797,11.11118507385254,35.45000076293945,251.0914001464844,9.574991226196287,11.209380149841309,23.52,31.731,19.8,8.450034141540527,17.06046485900879,16.07166862487793,11.428312301635742,23.342912673950195,31.75
2012-03-19,9.59,71.64,13.180110931396484,2.6456685066223145,8.25,14.510567665100098,14.568418502807615,8.291204452514648,35.46110916137695,5.73,9.7979154586792,5.605266571044922,18.205,33.071,7.87616491317749,2.205,5.376499176025391,15.529667854309082,11.803624153137209,13.68073844909668,5.844429969787598,9.414557456970217,12.155,31.08,12.748825073242188,12.38816738128662,242.0772247314453,13.970050811767578,16.176464080810547,14.56999969482422,9.53374481201172,3.910587072372437,11.520357131958008,6.421987056732178,18.71950340270996,38.337032318115234,7.216464996337891,3.595,8.514585494995117,8.572847366333008,1419.2056884765625,7.428079605102539,16.33,1701.0,80.5,3138.19970703125,12.568354606628418,11.11118507385254,35.45000076293945,251.0914001464844,9.574991226196287,11.209380149841309,23.72,32.135,20.23,8.450034141540527,17.06046485900879,16.268606185913086,11.428312301635742,23.342912673950195,31.78
2012-03-20,9.39,72.42,12.954809188842772,2.591543197631836,8.127,14.286640167236328,14.527868270874023,8.199020385742188,34.59732818603516,5.64,9.764364242553713,5.59999418258667,18.4,32.983,7.87616491317749,2.175,5.357354640960693,15.343358993530272,12.197525024414062,13.708375930786133,5.718062877655029,9.35621166229248,12.155,31.15,12.592000961303713,12.264204025268556,238.52769470214844,13.663663864135742,16.09625244140625,14.399999618530272,9.934588432312012,3.842198848724365,11.317413330078123,6.328914165496826,19.266979217529297,38.53263092041016,7.125547885894775,3.591,8.461141586303711,8.595288276672363,1401.2220458984375,7.422910213470459,15.97,1702.0,80.2,3076.493408203125,12.445501327514648,11.131550788879396,35.4900016784668,250.61672973632807,9.290682792663574,11.105536460876465,23.68,31.9,20.12,8.480456352233887,16.76572608947754,16.40511703491211,11.526887893676758,23.147348403930664,31.53
2012-03-21,9.42,72.67,12.92664623260498,2.5742228031158447,8.154,14.21335792541504,14.2693452835083,8.171906471252441,34.17008972167969,5.61,9.99924373626709,5.622218132019043,18.256,32.418,7.744786739349365,2.178,5.518491268157959,15.480348587036133,12.117405891418455,13.57018756866455,5.596962928771973,9.181180000305176,11.789,31.08,13.099373817443848,12.173295021057127,234.26828002929688,13.481283187866213,15.795449256896973,13.869999885559082,10.19395923614502,3.8048946857452393,11.251754760742188,6.344427108764648,18.838823318481445,38.53263092041016,7.104403972625732,3.538,8.335555076599121,8.490558624267578,1362.257568359375,7.335036754608154,15.99,1719.0,80.48,3005.97216796875,12.380475997924805,11.05816650390625,35.40999984741211,244.44625854492188,9.062223434448242,10.695929527282717,23.33,31.956,21.15,8.647785186767578,17.2185115814209,16.11278533935547,11.070544242858888,23.06043815612793,31.42
2012-03-22,9.32,73.89,12.92664623260498,2.5742228031158447,8.121,14.21335792541504,13.808056831359863,8.025494575500488,33.94717788696289,5.41,9.952268600463867,5.619800090789795,18.29,32.273,7.744786739349365,2.192,5.4084086418151855,15.480348587036133,11.69012451171875,13.31223201751709,5.596962928771973,9.1493558883667,11.967,31.34,12.988669395446776,12.173295021057127,234.26828002929688,13.481283187866213,15.795449256896973,13.529999732971191,10.19395923614502,3.8048946857452393,10.938379287719728,6.344427108764648,18.86689758300781,37.652442932128906,7.104403972625732,3.513,8.372970581054688,8.490558624267578,1362.257568359375,7.335036754608154,16.31,1719.0,79.26,3005.97216796875,12.175382614135742,11.05816650390625,35.400001525878906,239.69973754882807,9.062223434448242,10.695929527282717,23.54,31.431,21.21,8.647785186767578,17.2185115814209,16.11278533935547,10.9268798828125,22.582380294799805,30.77
