,ALLL3,AMBV4,AEDU3,BRML3,BBSE3,B3SA3,BRPR3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,YDUQ3,EVEN3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,PRIO3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,COGN3,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,QUAL3,RSID3,SBSP3,SANB11,CSNA3,CRUZ3,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VALE5
2013-03-18,9.92,85.09,12.48,14.458392143249512,,3.0475640296936035,5.865993022918701,8.914661407470703,9.344,11.376359939575195,14.284995079040527,8.150984764099121,40.22759246826172,2.78,13.41475772857666,4.628036022186279,10.422,21.19,26.822,9.251771926879885,1.531,7.7330498695373535,12.219099044799805,11.187082290649414,10.804605484008787,8.454357147216797,11.417187690734863,3.928877115249634,6.605,10.28,16.282588958740234,7.239977836608887,11.062875747680664,7.560807228088379,18.45415496826172,181.0254669189453,11.187201499938965,12.966327667236328,14.75,3.799999952316284,13.212060928344728,3.7527050971984863,11.193573951721191,5.336143970489502,1.9346742630004885,5.187643527984619,15.66225242614746,23.17825698852539,7.934735298156738,4.728,9.8986177444458,7.144039154052734,473.9990539550781,5.478336334228516,20.26,61.90449142456055,101.29,1302.40478515625,8.906256675720215,8.897286415100098,13.272188186645508,82.0,23.4222412109375,8.013650894165039,6.129652976989746,26.87,32.642,6.403801918029785,21.703493118286133,8.890239715576172,20.118194580078125,27.07
2013-03-19,10.01,84.85,12.24,14.186233520507812,,3.0745131969451904,5.818767547607422,8.878225326538086,9.241,11.01115894317627,14.521791458129885,8.071682929992676,40.23695373535156,2.7,13.616219520568848,4.624450206756592,10.422,21.01,26.9,9.221186637878418,1.521,7.516019821166992,12.201666831970217,11.15307903289795,10.619911193847656,8.486543655395508,11.512274742126465,3.91154408454895,6.613,10.16,16.095428466796875,7.319722175598144,11.062875747680664,7.434266567230225,18.05746841430664,181.73538208007807,10.96537971496582,12.73587417602539,14.010000228881836,3.7699999809265137,13.133461952209473,3.720628023147583,11.06079387664795,5.328388690948486,1.919386625289917,5.301333904266357,15.555028915405272,23.17825698852539,7.859917640686035,4.695,10.016982078552246,6.807409286499023,473.9990539550781,5.1706862449646,20.75,61.90449142456055,100.26,1275.1767578125,8.82542896270752,8.850945472717285,13.24719524383545,80.75,22.69579124450684,7.840802669525146,5.728415489196777,26.64,32.811,6.403801918029785,21.897851943969727,8.771927833557129,19.301973342895508,26.03
2013-03-20,9.97,84.95,12.03,14.16922664642334,,3.022859811782837,5.716858863830566,8.93895149230957,9.31,11.147049903869627,14.769603729248049,8.037696838378906,40.37731552124024,2.58,13.616219520568848,3.97916841506958,10.321,21.01,26.628,9.216357231140137,1.474,7.387111186981201,11.951825141906738,11.057869911193848,10.453686714172363,8.486543655395508,11.478313446044922,3.767100095748901,6.332,9.74,16.37616729736328,7.114657402038574,11.11231803894043,7.434266567230225,18.21449089050293,183.86509704589844,11.00974464416504,12.627423286437988,13.18000030517578,3.7200000286102295,13.259215354919434,3.7491378784179688,11.156511306762695,5.243072032928467,1.8901985883712769,5.143431186676025,14.590020179748535,21.8090763092041,7.74876594543457,4.654,9.806400299072266,6.844811916351318,427.4991455078125,4.895419597625732,21.1,61.038692474365234,102.02,1247.9488525390625,8.714290618896484,8.73509693145752,13.12221622467041,78.25,22.60912704467773,7.882704734802246,5.814836502075195,26.38,32.595,6.357787132263184,21.77691650390625,8.70432186126709,19.744569778442383,26.56
2013-03-21,9.8,84.59,11.97,13.936758041381836,,2.9397647380828857,5.614948749542236,8.936524391174316,9.241,11.185267448425291,14.758590698242188,7.760144233703613,40.47088241577149,2.67,13.51201343536377,4.032946586608887,10.245,20.85,26.657,9.256600379943848,1.456,7.442590713500977,11.823997497558594,10.915056228637695,10.435216903686523,8.406076431274414,11.485106468200684,3.657322645187378,6.332,9.51,16.37616729736328,7.091873645782471,11.038153648376465,7.355178356170654,18.140113830566406,182.4452972412109,10.935806274414062,12.539315223693848,12.84000015258789,3.670000076293945,13.031291007995604,3.7063746452331534,11.033001899719238,5.258584022521973,1.8790799379348757,5.1703925132751465,14.398550033569336,21.124486923217773,7.796599388122559,4.588,9.758230209350586,6.657795429229736,397.4992065429688,4.787472724914551,20.63,60.77894973754883,100.71,1293.3287353515625,8.562738418579102,8.586806297302246,12.872269630432127,78.75,22.660106658935547,7.81985330581665,5.629650592803955,25.84,32.66,6.426809310913086,21.595516204833984,8.70432186126709,19.91126251220703,26.64
2013-03-22,9.75,84.04,11.62,13.692949295043944,,2.9599766731262207,5.46829891204834,8.844225883483887,9.213,11.1895112991333,14.648449897766112,7.703500747680664,40.41474151611328,2.52,13.31054973602295,4.077757835388184,10.135,20.65,26.861,9.143913269042969,1.455,7.253303050994873,11.725224494934082,11.323094367980955,10.389041900634766,8.513364791870117,11.410393714904783,3.686211347579956,6.273,9.59,16.304908752441406,7.091873645782471,10.778576850891112,7.355178356170654,18.24754905700684,178.89576721191406,11.061500549316406,12.695209503173828,12.5,3.509999990463257,13.062726020812988,3.663608312606812,10.897133827209473,5.3128767013549805,1.904097437858581,4.998682975769043,14.09219741821289,18.77732276916504,7.839438438415527,4.547,9.908252716064451,6.672756195068359,364.499267578125,4.6957173347473145,20.75,56.86375045776367,98.63,1293.3287353515625,8.593048095703125,8.633149147033691,12.65356731414795,76.5,23.25401306152344,7.709863185882568,5.740761280059815,25.79,33.045,6.518839359283447,21.362281799316406,8.628263473510742,19.95150184631348,26.66
2013-03-25,9.74,82.37,11.91,14.021808624267578,,2.9689595699310303,5.6671462059021,8.788345336914062,9.104,10.9899263381958,14.560341835021973,7.561892032623291,40.5083236694336,2.38,13.685690879821776,4.009653091430664,10.033,20.5,26.063,9.214743614196776,1.446,7.305519580841064,11.82980728149414,11.323094367980955,10.435216903686523,8.309515953063965,11.485106468200684,3.6977670192718506,6.273,9.57,16.183015823364258,7.057695388793945,10.973877906799316,7.276090145111084,18.338455200195312,186.7047119140625,10.950590133666992,12.57320499420166,11.770000457763672,3.4800000190734863,12.661883354187012,3.635097980499268,10.807579040527344,5.181024074554443,1.8554534912109373,5.272148132324219,14.306644439697266,19.75530815124512,7.7109222412109375,4.519,9.957796096801758,6.523142814636231,356.9992980957031,4.641743183135986,19.87,54.71618270874024,99.05,1288.790771484375,8.532424926757812,8.614611625671387,12.791034698486328,76.25,23.998300552368164,7.489880561828613,5.59261417388916,25.67,32.801,6.465155124664307,21.712133407592773,8.467700004577637,19.68709373474121,26.22
2013-03-26,9.91,83.23,10.96,13.99345874786377,,3.000401258468628,5.580150604248047,8.916369438171387,9.234,11.121569633483888,14.675989151000977,7.930074691772461,41.68735504150391,2.54,13.782949447631836,4.0974836349487305,10.414,20.66,26.414,9.335484504699709,1.529,7.449117660522461,12.085458755493164,11.289091110229492,10.564504623413086,8.336337089538574,11.61415195465088,3.663100242614746,6.103,9.43,16.876840591430664,7.22288703918457,10.753856658935549,7.49753475189209,18.59464836120605,183.86509704589844,11.423812866210938,13.142560005187988,12.130000114440918,3.549999952316284,13.047006607055664,3.663608312606812,10.921833038330078,5.343899726867676,1.8971484899520876,5.257307529449463,14.781488418579102,21.124486923217773,7.818021774291992,4.592,10.315645217895508,6.844811916351318,356.9992980957031,4.6957173347473145,20.14,55.64990615844727,100.26,1347.7847900390625,8.53747844696045,8.614611625671387,12.40361785888672,76.75,23.947322845458984,7.568445682525635,5.672860622406006,25.72,33.308,6.7719244956970215,21.81146812438965,8.847984313964844,19.802051544189453,26.51
2013-03-27,9.94,83.05,10.93,14.089845657348633,,3.029596328735352,5.6920013427734375,9.082026481628418,9.419,11.231980323791504,14.813664436340332,7.78846549987793,41.63121032714844,2.49,13.935783386230469,4.1405029296875,10.371,20.46,26.18,9.448171615600586,1.573,7.535600662231445,12.143564224243164,11.255087852478027,10.582972526550291,8.583100318908691,11.648112297058104,3.6110999584198,6.026,9.23,16.64244270324707,7.262762546539307,11.013433456420898,7.473809719085693,19.46239852905273,185.9947967529297,11.364654541015623,13.128999710083008,11.75,3.470000028610229,12.968411445617676,3.6778624057769775,10.946538925170898,5.289608955383301,1.9305051565170288,5.426898956298828,14.881054878234863,21.417882919311523,7.839438438415527,4.617,10.43814182281494,6.657795429229736,347.9992980957031,4.582373142242432,20.09,56.7703742980957,100.82,1420.3927001953125,8.53747844696045,8.535834312438965,12.247403144836426,75.25,23.96006774902344,7.495115280151367,5.611132621765137,26.06,33.308,6.764254093170166,21.93672561645508,9.093057632446287,20.19291877746582,27.01
2013-03-28,10.01,83.69,10.79,14.265618324279783,,3.0632846355438232,5.567721843719482,9.082026481628418,9.665,11.231980323791504,14.813664436340332,7.78846549987793,41.63121032714844,2.5,13.935783386230469,4.2336955070495605,10.448,20.66,25.761,9.583399772644045,1.599,7.535600662231445,12.259770393371582,11.255087852478027,10.582972526550291,8.744034767150879,11.811116218566896,4.038654327392578,6.996,9.08,16.64244270324707,7.188709259033203,10.852742195129396,7.750617980957031,20.16486167907715,190.96414184570312,11.364654541015623,13.128999710083008,11.75,3.470000028610229,12.488975524902344,3.6778624057769775,10.946538925170898,5.274096012115479,1.9305051565170288,5.501095771789551,14.881054878234863,21.417882919311523,7.73234224319458,4.629,10.43814182281494,6.31368350982666,331.49932861328125,4.528398513793945,20.75,56.7703742980957,101.98,1411.316650390625,8.53747844696045,8.535834312438965,12.691058158874512,75.25,23.972814559936523,7.652248382568359,5.635822772979736,26.48,33.636,6.840948581695557,22.070615768432617,9.093057632446287,20.19291877746582,26.7
2013-04-01,9.9,84.12,10.34,14.288297653198242,,3.0834949016571045,5.6920013427734375,9.245014190673828,9.556,10.900750160217283,15.17712116241455,7.71483039855957,42.7728157043457,2.43,14.144198417663574,4.249833583831787,10.363,20.54,24.963,9.49324893951416,1.616,7.374054431915283,12.248148918151855,11.82634449005127,10.619911193847656,8.626018524169922,11.70923900604248,4.003988265991211,7.03,9.07,16.26740837097168,7.177315711975098,10.605525970458984,7.608260154724121,19.759912490844727,186.7047119140625,11.31290054321289,13.081555366516112,11.739999771118164,3.920000076293945,12.35536003112793,3.692118883132935,10.932636260986328,5.258584022521973,1.9263345003128047,5.429019451141357,15.340585708618164,20.928890228271484,7.668086528778076,4.555,10.30050277709961,6.208955764770508,335.99932861328125,4.506809234619141,20.3,57.79747009277344,100.82,1388.626708984375,8.360666275024414,8.355109214782715,12.97225284576416,76.25,24.25905990600586,7.630764007568359,5.932120323181152,26.24,33.308,6.6952314376831055,22.083576202392575,9.6170072555542,19.54338836669922,26.04
2013-04-02,9.75,83.66,10.61,13.863049507141112,,3.0116302967071533,5.510553359985352,9.225234031677246,9.446,10.730890274047852,15.182631492614746,7.6865081787109375,42.30494689941406,2.21,14.102511405944824,4.213988304138184,10.312,20.41,24.905,9.514177322387695,1.612,7.279410362243652,12.166808128356934,11.642725944519045,10.592206954956056,8.508000373840332,11.851868629455566,3.865322113037109,6.758,8.77,16.314285278320312,7.063391208648682,10.778576850891112,7.363086700439453,19.08224105834961,177.4759521484375,11.061500549316406,12.695209503173828,10.859999656677246,3.809999942779541,12.127429008483888,3.627969026565552,10.738018989562988,5.05692720413208,1.904097437858581,5.4820170402526855,15.003594398498535,19.950904846191406,7.625243663787842,4.49,10.084424018859863,5.984534740447998,319.4993591308594,4.576974868774414,19.95,57.51735305786133,102.48,1311.480712890625,8.16364860534668,8.202186584472656,13.12221622467041,77.75,24.25905990600586,7.493842601776123,5.6826252937316895,27.01,32.923,6.572525024414063,22.264976501464844,9.211368560791016,19.112285614013672,25.58
2013-04-03,9.85,81.87,10.79,13.834698677062988,,3.085743188858032,5.542866230010986,9.48987865447998,9.556,11.291427612304688,14.896265983581545,7.992382526397705,42.48273468017578,2.26,14.512389183044434,4.197848320007324,10.287,20.41,26.092,9.557641983032228,1.652,7.300623416900635,12.381787300109863,11.88074779510498,10.536798477172852,8.577735900878906,11.736405372619627,3.819100141525269,6.664,8.79,15.84547996520996,7.120354175567627,10.840381622314451,7.529172420501709,19.916933059692383,189.54432678222656,11.061500549316406,12.81043529510498,11.260000228881836,4.0,12.103848457336426,3.627969026565552,10.756555557250977,5.041415691375732,1.95691180229187,5.448099136352539,15.440146446228027,20.537696838378903,7.582407474517822,4.601,10.10231590270996,6.006976127624512,307.4993896484375,4.690319538116455,20.38,55.83665084838867,103.34,1238.872802734375,8.385926246643066,8.341206550598145,12.809783935546877,84.75,24.311342239379883,7.578101634979248,5.714729309082031,27.31,32.848,6.633877754211426,22.24338722229004,9.388835906982422,20.31937599182129,27.07
2013-04-04,9.77,82.58,10.72,13.551201820373535,,3.072267532348633,5.503096580505371,9.310775756835938,9.412,10.930477142333984,14.560341835021973,8.015039443969727,42.0897216796875,2.25,14.241454124450684,4.185314655303955,10.422,20.41,26.501,9.522226333618164,1.638,7.295730113983154,12.294632911682127,11.969157218933104,10.55526638031006,8.534823417663574,11.519065856933594,3.7266557216644287,6.554,8.51,15.751721382141112,6.966554164886475,10.731607437133787,7.544989109039307,19.97478485107422,190.2542266845703,10.92841339111328,12.607096672058104,10.859999656677246,4.440000057220459,12.025253295898438,3.5353105068206787,10.450725555419922,5.002635002136231,1.9235557317733765,5.405699729919434,15.66225242614746,19.75530815124512,7.625243663787842,4.56,9.865583419799805,5.849883079528809,286.4994201660156,4.852241039276123,19.95,56.21014022827149,101.78,1216.182861328125,8.224271774291992,8.206819534301758,12.37237548828125,85.0,24.311342239379883,7.446447372436523,5.534940719604492,27.08,32.66,6.526510238647461,22.06629943847656,9.304327011108398,19.652603149414062,26.0
2013-04-05,9.9,82.27,10.25,13.471819877624512,,3.079005241394043,5.443442344665527,9.174440383911133,9.412,11.040886878967283,14.637439727783203,8.213292121887207,41.6499252319336,2.34,14.081673622131348,4.185314655303955,11.268,20.71,27.757,9.66550064086914,1.774,7.245141506195068,12.341115951538086,12.329588890075684,10.758429527282717,8.744034767150879,11.464729309082031,3.7382116317749023,6.588,8.9,16.070505142211914,7.137443542480469,10.828020095825195,7.711073875427246,19.916933059692383,200.19288635253903,11.201987266540527,13.02733039855957,11.149999618530272,4.389999866485596,12.221744537353516,3.542438268661499,10.447635650634766,4.971611022949219,1.9860987663269043,5.467177391052246,15.202722549438477,19.950904846191406,7.6038289070129395,4.683,10.09543228149414,5.924689769744873,287.9994201660156,5.030354022979736,20.38,55.36978912353516,101.68,1306.9427490234375,8.244478225708008,8.24852466583252,12.30988883972168,90.0,24.60673713684082,7.430645942687988,5.412940502166748,27.99,31.788,6.549517154693604,21.68189811706543,9.388835906982422,19.865280151367188,26.19
2013-04-08,9.91,81.38,10.46,13.211003303527832,,3.0318431854248047,5.445928573608398,9.099589347839355,9.296,11.019654273986816,14.87974739074707,8.30392074584961,42.85702896118164,2.48,14.338714599609377,4.1405029296875,11.285,20.66,27.903,9.773361206054688,1.738,7.245141506195068,12.43407917022705,12.479206085205078,10.67531967163086,8.626018524169922,11.61415195465088,3.6399893760681152,6.332,8.73,16.379915237426758,7.177315711975098,10.92443561553955,7.798070430755615,20.090482711791992,214.39096069335935,10.92841339111328,12.661317825317385,11.539999961853027,4.510000228881836,12.449674606323242,3.5388741493225098,10.441458702087402,5.188780307769775,2.0041675567626958,5.458697319030762,15.164430618286133,18.875120162963867,7.623102188110352,4.736,10.253713607788086,5.70775032043457,308.9993896484375,5.035752773284912,20.66,54.529441833496094,103.13,1320.5567626953125,8.082820892333984,8.049263954162598,12.2723970413208,89.25,24.350555419921875,7.409584999084473,5.348730564117432,27.93,32.257,6.5648579597473145,21.595516204833984,9.431089401245115,19.94575309753418,26.27
