,VIVO4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,LREN3,NATU3,NETC4,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,SUBA3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2006-12-18,28.49,16.76,12.47,40.31,5.065,9.77584743499756,8.891860961914062,30.75,15.42,7.608924865722656,3.93323016166687,2.822023630142212,11.488,1.013,6.689623832702637,6.205746173858643,6.259232521057129,29.37,10.841854095458984,8.835,19.522979736328125,11.20651149749756,12.50792407989502,62.46760559082031,19.53,2.559795379638672,7.566983699798584,,11.633771896362305,2.216,3.6281354427337646,9.09,24.38,60.13,11.786012649536133,9.282946586608888,301.2030334472656,6.578636646270752,7.21,5.499840259552002,4.92,60.55,63.76,38.08,37.02,19.48,31.94,6.3,17.6,12.90920066833496,15.391839981079102,17.42,20.09
2006-12-19,29.25,16.75,12.47,40.9,5.003,9.78640365600586,8.906111717224121,32.43,16.11,7.410646438598633,3.9191064834594727,2.822023630142212,11.327,1.004,6.674625396728516,6.141939640045166,6.137756824493408,29.53,10.766712188720703,8.86,19.34518814086914,11.209754943847656,12.387432098388672,60.18244171142578,19.22,2.826543092727661,7.546774864196777,,11.572917938232422,2.236,3.6760315895080566,9.41,24.46,60.05,11.842568397521973,9.351491928100586,297.3201599121094,6.578636646270752,7.11,5.535747528076172,4.87,59.36,61.91,38.08,36.83,19.57,32.26,6.16,17.56,12.942173957824709,15.416237831115724,17.5,20.46
2006-12-20,28.83,16.76,12.42,40.9,5.099,9.787360191345217,8.941737174987793,33.8,15.63,7.202454566955566,3.954413890838623,2.8167974948883057,11.505,1.0,6.457136154174805,6.174871921539307,6.3359551429748535,29.96,10.841854095458984,8.886,18.625566482543945,11.209754943847656,12.384566307067873,57.73029327392578,19.06,2.564691066741944,7.617501735687256,,11.375134468078612,2.257,3.6520845890045166,9.26,24.19,60.55,12.05747413635254,9.408283233642578,293.991943359375,6.6592559814453125,7.07,5.481884956359863,4.9,59.14,59.6,38.71,36.23,19.57,31.04,6.16,17.57,12.777305603027344,15.340620994567873,17.38,20.17
2006-12-21,28.3,16.75,12.55,41.05,5.105,9.7844820022583,8.987333297729492,32.24,15.35,7.336292743682861,3.926167488098145,2.8533785343170166,11.454,0.988,6.334146022796631,6.010210037231445,6.406284332275391,30.43,10.476880073547363,8.58,18.625566482543945,10.93080711364746,12.163668632507324,55.93766403198242,19.22,2.554900646209717,7.637704372406006,,11.05563259124756,2.236,3.6041860580444336,9.23,24.12,59.97,11.987346649169922,9.46899700164795,293.991943359375,6.866377830505371,7.03,5.445977687835693,4.79,59.36,57.33,38.6,35.44,19.28,31.91,6.2,17.6,12.942173957824709,15.269878387451172,17.4,20.35
2006-12-22,28.59,16.75,12.5,40.64,5.051,9.65015983581543,8.834861755371094,33.31,15.34,7.356120586395264,3.926167488098145,2.858604431152344,11.514,0.995,6.374643325805664,6.022558689117432,6.393496990203857,30.98,10.360946655273438,8.503,18.24458885192871,10.972970962524414,12.192358016967772,55.84381103515625,19.12,2.5524544715881348,7.556885242462158,,11.172276496887209,2.257,3.6161606311798096,9.02,23.69,59.29,11.887811660766602,9.43374252319336,290.5528259277344,6.84356689453125,6.95,5.466495037078857,4.78,59.36,57.33,38.58,35.58,19.34,31.94,6.12,17.47,13.008119583129885,15.294273376464844,17.57,20.25
2006-12-26,28.69,16.62,12.53,40.87,5.099,9.689496040344238,8.891860961914062,33.8,15.66,7.361078262329102,4.07445764541626,2.858604431152344,11.53,0.995,6.419640064239502,6.030791282653809,6.393496990203857,30.77,10.466145515441896,8.486,18.24458885192871,11.037840843200684,12.321453094482422,56.97007369995117,19.62,2.826543092727661,7.637704372406006,,11.334562301635742,2.269,3.634122610092163,9.04,23.89,59.11,12.037117004394531,9.514039993286133,291.5512390136719,6.84356689453125,6.94,5.488725185394287,4.78,59.62,57.47,39.35,35.63,19.48,31.77,6.24,17.6,13.024606704711914,15.32110595703125,17.53,20.67
2006-12-27,29.19,16.78,12.72,41.31,5.188,9.853564262390137,9.062857627868652,33.92,16.16,7.63370943069458,4.102704048156738,2.9369940757751465,11.835,1.029,6.49463415145874,6.113123416900635,6.4893999099731445,30.66,10.730215072631836,8.656,18.625566482543945,11.34922695159912,12.493582725524902,59.11935806274414,19.68,2.6185295581817627,7.7791428565979,,11.603344917297363,2.36,3.6880056858062735,9.28,24.5,59.98,12.283696174621582,9.73338222503662,299.5389404296875,6.8780436515808105,7.19,5.608417510986328,4.8,60.94,60.4,40.14,36.69,19.66,32.26,6.54,18.59,13.238936424255373,15.684558868408203,17.85,21.39
2006-12-28,29.36,16.82,12.59,41.31,5.256,9.690457344055176,9.119857788085938,32.98,15.93,7.435431480407715,4.07445764541626,2.9265425205230717,12.055,1.029,6.704623699188232,6.174871921539307,6.518168926239014,30.7,10.96851921081543,8.843,18.667896270751957,11.32327651977539,12.608331680297852,59.54170227050781,19.53,2.67236852645874,7.819552421569824,,11.669273376464844,2.409,3.6760315895080566,9.4,24.57,59.95,12.32667350769043,9.752967834472656,302.8671569824219,6.75128173828125,7.05,5.514373779296875,4.63,62.01,61.0,39.28,36.83,19.45,31.68,6.56,18.91,13.271907806396484,15.538201332092283,17.7,21.83
2007-01-02,29.56,16.88,13.11,41.52,5.44,9.834372520446776,9.366378784179688,33.86,16.54,7.584140777587891,4.236871719360352,2.952672481536865,12.114,1.039,7.072103023529053,6.216039180755615,6.553335666656494,31.43,11.09304141998291,8.98,18.54090118408203,11.806567192077637,13.00995922088623,60.44270706176758,19.53,2.696840763092041,7.908459663391113,,12.06991195678711,2.507,3.831695795059204,9.64,25.76,60.89,12.611711502075195,9.94466781616211,306.3063049316406,6.829049110412598,7.28,5.6323561668396,4.84,64.23,62.39,40.79,37.32,19.42,31.62,6.48,19.43,13.321368217468262,15.952877044677734,18.08,22.04
2007-01-03,28.62,16.82,12.85,41.02,5.4,9.544620513916016,9.19823169708252,32.98,15.92,7.584140777587891,4.215688228607178,2.942220687866211,12.038,1.041,6.809618949890137,6.071958065032959,6.745140075683594,30.98,10.755976676940918,8.767,18.625566482543945,11.53411102294922,12.68292236328125,59.12873458862305,19.6,2.7237606048583984,7.955949306488037,,12.019200325012209,2.516,3.813732385635376,9.45,25.3,58.86,12.12534236907959,9.64229679107666,293.991943359375,6.809089183807373,7.35,5.451962471008301,4.92,63.34,61.2,40.34,37.88,19.41,31.46,6.35,19.08,12.85973834991455,15.172306060791016,17.33,22.18
