,VIVO4,AMBV4,ARCZ6,B3SA3,BBDC4,BRAP4,BBAS3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,RDCD3,RSID3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2008-07-22,29.28,15.32,11.07,10.56864070892334,6.472,13.405451774597168,10.259836196899414,23.81,7.106438159942627,4.201565265655518,3.382465124130249,14.246,1.486,4.50115442276001,8.032337188720703,13.809954643249512,27.53,13.048076629638672,11.142,10.376043319702148,560.5844116210938,17.62331199645996,28.06782341003418,14.823843955993652,2.5351457595825195,8.660608291625977,6.523651123046875,2.216,3.599196672439575,6.2,19.5,40.51,60.36,20.594985961914062,15.299554824829102,27.399999618530277,247.6629943847656,11.55,16.266246795654297,5.94,29.56,39.73,27.81,23.77,3.93,20.47,26.12822532653809,26.51442146301269,22.55834197998047,26.08,19.87
2008-07-23,28.35,15.9,11.32,11.208610534667969,6.446,13.33637237548828,10.60183048248291,23.67,7.273648262023926,4.236871719360352,3.281334161758423,14.153,1.416,4.508771896362305,7.925239562988281,14.57717227935791,27.26,13.178993225097656,11.048,10.47036838531494,591.4329833984375,17.62331199645996,26.84590721130371,16.206377029418945,2.5203933715820312,8.66313362121582,6.469610214233398,2.257,3.654099464416504,6.11,19.99,41.3,59.87,19.91180419921875,14.755916595458984,28.520000457763672,251.2523498535156,12.0,15.817609786987305,5.93,30.9,41.74,28.07,23.7,3.97,20.77,26.108701705932617,26.169160842895508,22.538694381713867,26.17,20.07
2008-07-24,27.45,15.47,10.82,11.15375518798828,6.22,12.687783241271973,10.57190990447998,23.52,7.137791156768799,4.194504261016846,3.2128005027771,13.975,1.407,4.493538856506348,7.837417125701904,14.41733455657959,26.16,12.921523094177246,10.844,10.213112831115724,579.4916381835938,17.62331199645996,25.61794662475586,15.831941604614258,2.488426923751831,8.309542655944824,6.253441333770752,2.216,3.745604276657105,6.09,19.6,40.72,57.96,18.94357681274414,14.10191535949707,28.5,255.29031372070312,11.9,15.009544372558594,5.82,30.26,38.99,27.02,22.83,3.75,19.78,24.789215087890625,24.41278839111328,21.4871826171875,24.86,19.58
2008-07-25,27.98,15.16,10.37,11.214707374572754,6.117,12.687783241271973,10.366713523864746,22.92,7.158691883087158,4.176143646240234,3.2128005027771,13.992,1.427,4.493538856506348,7.839559555053711,14.289464950561523,26.26,12.873520851135254,10.784,10.161663055419922,597.0720825195312,17.62331199645996,25.248950958251957,16.43680191040039,2.434330701828003,8.107483863830566,6.10675573348999,2.314,3.902991771697998,6.29,19.95,40.56,58.0,18.87120056152344,14.10191535949707,29.0,254.61734008789065,11.75,14.783916473388672,5.81,31.73,37.41,26.68,22.12,3.75,19.73,23.500957489013672,24.41278839111328,21.37416648864746,24.83,19.6
2008-07-28,26.97,14.96,10.29,11.403646469116213,6.042,12.588000297546388,9.86227035522461,22.72,7.08031177520752,4.207213878631592,3.2520782947540283,13.95,1.43,4.554468631744385,7.753881931304932,13.74601936340332,26.24,13.078624725341797,10.75,10.050182342529297,574.84765625,17.62331199645996,25.327585220336918,15.457505226135254,2.382694721221924,7.981196403503418,6.1762375831604,2.257,3.7700042724609375,6.13,19.51,39.75,58.35,19.03859519958496,14.244972229003906,27.600000381469727,254.39300537109372,11.34,15.062017440795898,6.01,29.59,37.3,26.98,22.29,3.61,19.44,23.42288017272949,23.62467193603516,21.61493682861328,24.95,18.93
2008-07-29,27.51,15.1,10.39,11.42192840576172,6.192,12.848969459533691,10.430835723876951,23.43,7.210944652557373,4.454364776611328,3.192742824554444,14.085,1.432,4.645862102508545,7.850269794464111,14.32143211364746,26.74,13.274998664855955,11.108,10.478948593139648,609.34521484375,21.77476501464844,26.555553436279297,16.177576065063477,2.4662973880767822,8.259033203125,6.214839935302734,2.347,3.741943120956421,6.38,19.15,40.32,58.56,19.24671745300293,14.224542617797852,28.479999542236328,259.1039428710937,11.06,15.741525650024414,6.07,30.47,37.48,27.74,23.2,3.69,20.19,24.32075881958008,24.506607055664062,22.135778427124023,25.51,19.76
2008-07-30,29.72,15.43,10.64,11.87905502319336,6.336,13.931233406066896,10.807031631469728,24.0,7.210944652557373,4.547575950622559,3.108323097229004,14.162,1.412,4.755533695220947,7.888824939727783,14.832911491394045,28.08,13.17026710510254,11.039,10.530396461486816,623.608642578125,23.267112731933597,28.49126434326172,15.966355323791504,2.5277717113494877,8.43582820892334,6.600854396820068,2.355,3.709002494812012,6.24,19.24,40.23,58.4,20.183263778686523,14.91941738128662,29.700000762939453,280.19122314453125,11.51,16.633548736572266,6.26,30.0,37.41,28.43,23.6,3.87,20.78,26.54593086242676,26.57072257995605,23.634424209594727,27.21,20.27
2008-07-31,30.34,15.52,10.79,12.061907768249512,6.295,13.700961112976074,10.730085372924805,23.81,7.210944652557373,4.499558925628662,3.1049790382385254,14.043,1.435,4.690035820007324,7.786010265350342,14.57717227935791,27.17,13.26627254486084,11.005,10.24741554260254,597.0720825195312,23.267112731933597,28.42472648620605,15.323092460632324,2.5351457595825195,8.461081504821777,6.485050201416016,2.397,3.829789161682129,6.41,19.42,40.27,58.08,19.880128860473636,14.67416763305664,29.200000762939453,281.5372009277344,11.45,16.082592010498047,6.02,29.43,38.13,28.79,24.23,3.81,20.37,26.09699440002441,25.89518928527832,23.260990142822266,26.71,20.53
2008-08-01,29.48,15.16,10.58,11.397555351257324,6.117,12.86048412322998,10.178619384765623,23.2,6.944453239440918,4.335731506347656,3.090773820877075,14.331,1.389,4.6915602684021,7.743172645568848,13.803561210632324,27.26,13.091716766357422,10.954,9.921554565429688,576.1744995117188,22.385272979736328,27.37218475341797,14.881449699401855,2.503180503845215,8.296910285949707,6.253441333770752,2.282,3.818808317184448,6.14,18.4,39.45,57.91,19.12908172607422,14.10600471496582,30.0,273.685546875,11.52,15.557880401611328,6.04,28.68,37.01,28.43,23.13,3.72,20.1,24.867292404174805,24.48784637451172,21.81148338317871,25.16,19.54
2008-08-04,28.59,15.61,10.05,10.312654495239258,5.769,11.927898406982422,9.652802467346191,22.3,6.860848426818848,4.3159589767456055,3.091609477996826,14.661,1.389,4.524002552032471,7.668203830718994,13.20256805419922,25.59,13.15717315673828,10.98,9.99873161315918,541.6770629882812,21.211746215820312,25.84780502319336,15.783937454223633,2.4441659450531006,8.031709671020508,5.720740795135498,2.273,3.749265432357788,6.27,18.76,38.79,58.25,18.147294998168945,13.44382381439209,28.600000381469727,269.1989440917969,11.45,14.77079963684082,5.9,29.35,35.61,28.2,22.57,3.64,19.16,22.99346351623535,22.855321884155277,20.23912811279297,23.33,18.86
2008-08-05,30.47,16.6,10.39,10.48331356048584,5.933,11.897194862365724,9.832345962524414,22.43,6.892199993133545,4.293363094329834,3.125871419906616,14.695,1.418,4.265052795410156,7.711042404174805,13.937824249267578,26.99,13.637203216552734,11.337,10.376043319702148,562.5745849609375,21.49664688110352,26.3256893157959,18.337785720825195,2.5425238609313965,8.38531494140625,5.496851921081543,2.314,3.7700042724609375,6.34,19.0,40.02,59.89,17.93916893005371,13.161789894104004,30.549999237060547,277.050537109375,11.95,14.797033309936523,6.03,31.45,36.52,29.17,23.46,3.74,19.83,23.184743881225582,23.08049774169922,20.455326080322266,23.55,19.87
2008-08-06,30.47,17.18,10.38,10.57473373413086,6.083,12.05070686340332,10.323962211608888,23.02,7.095987319946289,4.455776214599609,3.0506486892700195,14.584,1.425,4.332075595855713,7.711042404174805,14.257495880126951,27.65,13.309911727905272,11.193,10.204538345336914,584.7988891601562,21.788333892822266,26.422468185424805,17.809734344482422,2.5646536350250244,8.539377212524414,5.327004909515381,2.392,3.911532878875733,6.41,19.5,41.0,60.36,18.41875457763672,13.611412048339844,31.350000381469727,294.5484619140625,12.06,15.190577507019045,6.06,31.97,39.8,30.18,24.54,3.72,20.66,23.30576515197754,22.967912673950195,20.735401153564453,24.0,20.18
2008-08-07,29.15,16.77,10.44,10.385793685913086,6.07,12.150487899780272,10.174341201782228,22.72,6.829496383666992,4.406346321105957,3.021404504776001,14.094,1.441,4.266577243804932,7.646782875061035,14.065690994262695,27.03,12.89097785949707,10.844,9.827226638793944,582.80859375,21.476293563842773,26.011137008666992,15.323092460632324,2.503180503845215,8.38531494140625,5.20348072052002,2.355,4.00181770324707,6.4,19.6,39.75,59.54,18.69474220275879,13.840313911437988,31.299999237060547,280.639892578125,11.91,14.65273666381836,6.07,30.3,39.99,29.37,24.34,3.49,19.94,22.642120361328125,22.94914436340332,20.83367729187012,24.05,20.25
2008-08-08,30.03,17.12,10.68,10.300461769104004,6.008,11.839628219604492,10.00334358215332,22.71,6.970579624176025,4.406346321105957,3.017223358154297,13.848,1.425,4.2955169677734375,7.68962287902832,14.385366439819336,26.74,12.93898105621338,10.844,10.204538345336914,595.4135131835938,20.655500411987305,24.922290802001957,16.10076904296875,2.4564614295959477,8.261553764343262,5.327004909515381,2.245,4.007917881011963,6.44,19.19,39.75,57.32,18.549959182739254,13.713600158691406,30.559999465942383,286.92120361328125,11.98,14.453346252441406,6.08,31.41,40.05,29.57,24.7,3.61,19.59,22.48596572875977,22.55133438110352,20.484804153442383,23.68,19.68
2008-08-11,29.39,17.08,9.8,9.93476676940918,5.83,11.175686836242676,9.64852523803711,21.45,6.766791820526123,4.180379867553711,2.841704130172729,12.52,1.336,4.371679782867432,7.35333776473999,14.289464950561523,25.69,12.349851608276367,10.29,10.333168983459473,595.081787109375,19.610862731933597,23.59150505065918,15.707130432128906,2.3728578090667725,8.06706714630127,5.419649600982666,2.228,3.9530138969421382,6.3,19.14,37.82,56.87,18.034183502197266,13.36616039276123,29.8700008392334,274.35858154296875,11.78,13.88664722442627,5.93,31.28,37.3,28.43,24.2,3.47,19.04,21.56856918334961,21.6356201171875,19.72811508178711,22.62,18.68
2008-08-12,28.14,16.55,9.65,9.294795989990234,5.755,11.24476718902588,9.319353103637695,21.25,6.740665912628174,4.260772705078125,2.841704130172729,13.307,1.302,4.316843509674072,7.224818229675293,14.097660064697266,24.26,12.131659507751465,10.137,10.967733383178713,572.8574829101562,19.00713539123535,22.744617462158203,15.515110969543455,2.610145568847656,7.993824005126953,5.6821393966674805,2.146,3.788306951522827,6.46,19.0,39.08,57.8,18.188013076782227,13.5173978805542,28.309999465942383,285.12652587890625,11.95,13.54033660888672,5.86,31.36,36.5,29.03,24.52,3.47,18.78,21.17818832397461,21.6356201171875,19.61510467529297,22.62,18.39
2008-08-13,28.78,16.51,9.35,9.02052402496338,5.741,11.736004829406738,9.062857627868652,20.6,6.766791820526123,4.228615760803223,2.942001342773437,12.791,1.301,4.204123497009277,7.325490474700928,13.554213523864746,23.15,12.044378280639648,10.044,11.027758598327637,551.6282348632812,19.346309661865234,23.168066024780277,14.64142608642578,2.3236799240112305,7.834711074829102,5.674419403076172,2.105,3.6601994037628174,6.53,18.49,38.67,56.11,18.66307258605957,13.7953519821167,27.809999465942383,292.9781799316406,11.45,14.009957313537598,6.02,31.41,36.0,28.39,23.68,3.47,18.66,21.23674774169922,21.13272857666016,20.514284133911133,23.24,18.34
2008-08-14,28.94,16.77,9.44,9.105850219726562,5.817,11.839628219604492,9.319353103637695,21.34,6.8556227684021,4.323625087738037,2.9461817741394043,12.63,1.324,4.3183674812316895,7.576098442077637,13.68208122253418,23.29,12.28439235687256,10.078,11.36219596862793,563.9013671875,19.787229537963867,23.712478637695312,15.131073951721191,2.382694721221924,8.031709671020508,5.59721565246582,2.072,3.449127435684204,6.59,18.49,39.66,57.6,18.504718780517575,13.66864013671875,29.0,279.9669189453125,11.51,14.217222213745115,6.06,30.86,36.08,29.38,24.49,3.57,19.39,21.07278633117676,21.01639175415039,20.735401153564453,23.86,18.16
2008-08-15,27.72,16.78,9.33,8.782818794250488,5.721,11.770547866821287,9.52882480621338,20.8,6.62570858001709,4.2110748291015625,2.980442762374878,13.036,1.319,4.127962589263916,7.434730529785156,13.285688400268556,23.23,11.996376991271973,9.992,11.447948455810549,535.04296875,19.237775802612305,23.27695083618164,14.62222385406494,2.3605639934539795,7.905427932739258,5.620377063751221,2.093,3.410085201263428,6.45,18.3,38.69,56.94,18.12014389038086,13.353900909423828,28.56999969482422,271.6665954589844,11.07,13.68200969696045,5.95,31.59,35.95,29.42,24.37,3.46,19.0,20.10073471069336,20.22826766967773,20.34231185913086,23.33,18.61
2008-08-18,27.58,16.48,9.43,8.685301780700684,5.557,11.413631439208984,9.537376403808594,20.59,6.53165340423584,4.155531883239746,2.936148405075073,13.451,1.283,4.15690279006958,7.531118392944336,13.234538078308104,22.36,12.218934059143066,9.959,11.456522941589355,525.0917358398438,19.48512077331543,23.09259414672852,14.430205345153809,2.3209478855133057,7.673069953918457,5.396488189697266,2.052,3.3917856216430664,6.44,17.8,38.78,55.87,17.59984016418457,12.949237823486328,27.799999237060547,255.73899841308597,10.86,13.382917404174805,5.88,31.28,34.73,29.53,24.66,3.38,18.52,19.96800994873047,19.77791976928711,19.8902587890625,22.83,18.53
2008-08-19,26.75,16.42,9.21,9.374031066894531,5.522,11.413631439208984,9.490352630615234,20.77,6.5891313552856445,4.22422981262207,2.936148405075073,13.425,1.288,4.210216522216797,7.681053638458252,12.850929260253906,21.64,12.328033447265623,10.112,11.19069004058838,508.5063781738281,19.48512077331543,22.82835578918457,14.094172477722168,2.308601856231689,7.637704372406006,5.257523536682129,2.039,3.5381929874420166,6.57,17.6,39.17,56.53,18.11562156677246,13.337552070617676,28.01000022888184,242.2790069580078,10.54,13.39604377746582,5.9,30.08,34.81,30.01,24.47,3.36,18.46,19.831378936767575,19.77791976928711,20.194904327392575,23.19,18.46
2008-08-20,27.03,16.6,9.22,7.216414928436279,5.68,12.434489250183104,9.68272304534912,21.06,6.468948841094971,4.216922283172607,3.0782315731048584,13.299,1.324,4.249821186065674,7.826106071472168,13.592573165893556,23.34,12.458949089050291,10.273,11.379345893859863,524.0965576171875,19.48512077331543,24.309282302856445,13.729336738586426,2.375266790390014,7.955949306488037,5.411928653717041,2.023,3.5979764461517334,6.75,17.66,39.65,56.45,19.00240135192871,13.983376502990724,29.1299991607666,243.17637634277344,10.83,14.11490535736084,5.98,30.0,35.27,30.03,25.15,3.39,18.88,20.78390312194824,21.05767059326172,21.30537986755371,24.76,18.68
2008-08-21,26.22,16.65,9.12,6.990906715393066,5.727,12.799079895019531,9.960597038269045,21.34,6.30173921585083,4.254925727844238,3.0339362621307373,13.239,1.319,4.188890933990479,7.6241278648376465,13.899462699890137,23.19,12.82988166809082,10.197,11.233570098876951,534.0477294921875,19.48512077331543,24.92992401123047,13.268491744995115,2.3802051544189453,7.897850513458252,5.303844451904297,2.048,3.585776329040528,7.0,17.14,38.93,55.45,19.5950927734375,14.46570110321045,28.799999237060547,247.43869018554688,10.65,14.485723495483398,5.9,28.98,35.38,29.45,24.9,3.29,18.67,21.49238967895508,21.649303436279297,21.718116760253903,25.36,18.68
2008-08-22,27.17,16.86,8.96,6.996999740600586,5.755,12.545784950256348,10.050368309020996,21.17,6.30173921585083,4.238847255706787,3.0205681324005127,13.341,1.291,4.120346546173096,7.701812267303467,13.41994857788086,24.93,13.06989574432373,10.29,11.59372901916504,509.5014953613281,19.48512077331543,24.757869720458984,13.537318229675291,2.404895782470703,7.968578815460205,5.327004909515381,2.06,3.6235971450805664,6.69,17.47,38.48,55.7,19.504613876342773,14.42483139038086,28.959999084472656,237.7924041748047,10.75,14.614778518676758,6.02,29.43,34.56,29.56,25.06,3.25,18.93,21.310283660888672,21.32560920715332,21.36433982849121,24.92,18.79
2008-08-25,26.98,16.76,8.88,6.8324360847473145,5.646,12.031516075134276,9.738298416137695,20.31,6.16588020324707,4.262234687805176,2.9679105281829834,13.079,1.269,4.112730503082275,7.588615894317627,13.170602798461914,26.0,13.004438400268556,10.35,11.29359531402588,501.8722534179688,19.48512077331543,23.793119430541992,13.729336738586426,2.318478584289551,7.716000080108643,5.172598838806152,1.986,3.5381929874420166,6.71,17.55,37.33,54.3,18.84404563903809,13.819873809814451,28.200000762939453,228.59475708007807,10.48,14.066953659057615,5.95,30.0,33.95,29.41,24.59,3.18,18.41,20.649158477783203,20.94479751586914,20.715747833251957,24.28,18.2
2008-08-26,27.03,16.55,8.94,6.749567985534668,5.502,11.993141174316406,9.490352630615234,20.27,6.19200611114502,4.276851654052734,3.008861780166626,12.579,1.296,4.134056091308594,7.655200958251953,12.786993980407717,26.35,12.803696632385254,10.163,11.533699989318848,489.267333984375,19.48512077331543,24.00819206237793,13.614126205444336,2.2814414501190186,7.627599239349365,5.025914192199707,2.015,3.574795722961426,6.63,17.87,36.25,54.98,19.00692176818848,13.975200653076172,28.100000381469727,226.3514404296875,10.09,14.222345352172852,6.06,29.2,33.8,28.38,24.0,3.2,18.46,20.70458221435547,20.62110710144043,20.735401153564453,24.18,18.68
2008-08-27,27.06,16.54,8.72,7.403147220611572,5.646,12.434489250183104,10.00334358215332,20.84,6.21290922164917,4.301698684692383,3.0264105796813965,12.808,1.285,4.134056091308594,7.697373390197754,12.94683074951172,26.69,13.20081615447998,10.656,11.387920379638672,512.818603515625,19.48512077331543,24.92992401123047,13.431707382202148,2.3332924842834477,7.71095085144043,5.157157897949219,2.052,3.662639856338501,6.88,18.3,36.68,54.98,19.545324325561523,14.388046264648438,29.0,235.549072265625,10.41,14.617409706115724,6.22,28.06,32.88,28.37,23.93,3.22,18.96,21.33799743652344,21.135202407836918,21.41347885131836,25.18,18.89
