Date,ABEV3,AEDU3,ALLL3,BBAS3,BBDC3,BBDC4,BBSE3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,B3SA3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSNA3,CTIP3,CYRE3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,YDUQ3,EVEN3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,LAME4,LIGT3,LREN3,MMXM3,MRFG3,MRVE3,NATU3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,QUAL3,RENT3,RSID3,SANB11,SBSP3,EGIE3,TIMS3,UGPA3,USIM5,VALE3,VALE5,VIVT4
2014-01-16,12.275989532470703,13.92,6.85,13.731870651245115,8.103848457336426,7.901,13.031813621520996,1.06,9.784005165100098,41.26531600952149,11.334344863891602,9.834920883178713,4.604753017425537,2.4217565059661865,11.894062995910645,11.725,13.090266227722168,3.9655280113220215,11.429683685302734,1.67,21.36,6.329990863800049,9.67283535003662,20.64,10.29127025604248,7.523113250732422,9.817951202392578,4.08158540725708,6.026,8.4,19.25325584411621,5.923336982727051,14.707799911499023,6.29699182510376,21.825984954833984,194.69927978515625,13.058612823486328,15.173398971557615,10.75,20.817,13.10122776031494,3.4566280841827397,10.61368465423584,6.948747158050537,,8.239057540893555,4.022,16.37288475036621,8.064342498779297,103.49979400634766,3.3663010597229004,4.833438396453857,16.11,43.29999923706055,94.16,848.605224609375,7.483602523803711,7.363667964935303,12.834778785705566,8.28287410736084,48.0,7.734244346618652,18.42172241210937,15.877129554748535,10.626469612121582,23.456222534179688,11.755059242248535,19.4398250579834,25.77,31.544
2014-01-17,12.17356777191162,13.67,6.81,13.373648643493652,7.980943202972412,7.826,12.934682846069336,1.03,9.722881317138672,41.112979888916016,10.932172775268556,9.759711265563965,4.604753017425537,2.4003243446350098,11.94473648071289,11.97,13.021369934082031,3.9743611812591553,11.326712608337402,1.654,20.74,6.358286380767822,9.616884231567385,20.13,10.12009048461914,7.43269157409668,9.686071395874023,4.07405424118042,6.009,8.27,18.80748748779297,5.981069564819336,14.476593017578123,6.223770618438721,21.37971305847168,190.59169006347656,12.94629955291748,15.001602172851562,10.720000267028809,20.652,12.664520263671877,3.424286127090454,10.405571937561035,6.854739189147949,,8.086564064025879,3.956,16.22039031982422,7.975522041320801,101.99979400634766,3.4485883712768555,4.810878753662109,16.02,44.20000076293945,91.66,825.9152221679688,7.432726860046387,7.325881481170654,12.841026306152344,8.28287410736084,47.25,7.600582122802734,18.52367401123047,15.740057945251465,10.470197677612305,23.021848678588867,11.780410766601562,19.238500595092773,25.54,30.877
2014-01-20,12.217461585998535,13.61,6.72,13.31394386291504,7.901737689971924,7.785,12.891512870788574,1.04,9.51768398284912,40.58930587768555,10.977487564086914,9.672934532165527,4.622561454772949,2.386036872863769,12.017130851745604,11.886,13.003652572631836,3.918424367904663,11.084429740905762,1.627,20.67,6.3133463859558105,9.56792449951172,20.13,10.13378620147705,7.444746971130371,9.700723648071287,4.089116096496582,5.958,8.21,18.494508743286133,5.744367599487305,14.349801063537598,6.199363708496094,,192.23472595214844,12.79654598236084,14.795440673828123,10.5,20.506,12.402495384216309,3.408113718032837,10.322331428527832,6.854739189147949,,8.05219554901123,3.948,16.051847457885742,8.079851150512695,100.4998016357422,3.493472099304199,4.737559795379639,16.18,43.5,90.8,825.9152221679688,7.275018215179443,7.170011520385742,12.872269630432127,8.242989540100098,47.25,7.5641279220581055,18.586414337158203,15.694368362426758,10.571775436401367,23.252071380615234,11.518437385559082,18.82400703430176,24.82,30.643
2014-01-21,12.363778114318848,13.61,6.75,13.373648643493652,8.051959991455078,7.867,12.805176734924316,1.06,9.22080135345459,40.16085052490234,10.977487564086914,9.690288543701172,4.622561454772949,2.3407928943634038,11.94473648071289,11.903,12.812711715698242,3.989080429077149,11.10260009765625,1.626,20.77,6.225130558013916,8.854528427124023,20.27,9.962607383728027,7.474887371063232,9.598149299621582,4.051462650299072,5.915,8.12,18.63677215576172,5.680861949920654,14.349801063537598,6.101735591888428,21.040876388549805,184.8410797119141,12.579397201538086,14.513689994812012,10.600000381469728,20.613,12.561297416687012,3.432372093200684,10.468010902404783,6.737229824066162,,7.996354579925537,3.936,16.051847457885742,8.120735168457031,103.49979400634766,3.6131632328033447,4.698079109191895,16.38,43.09999847412109,90.21,807.7632446289062,7.3004560470581055,7.2455854415893555,13.128467559814451,8.320104598999023,46.5,7.375784873962402,18.853052139282227,15.80859661102295,10.524892807006836,23.36500740051269,10.774765968322754,18.403589248657227,24.23,31.056
2014-01-22,12.539359092712402,13.66,6.8,13.40947151184082,8.14482593536377,7.922,13.031813621520996,1.11,9.38234043121338,41.37957382202149,10.932172775268556,9.96219539642334,4.576768398284912,2.3812742233276367,12.06056308746338,12.114,12.991843223571776,4.092119693756104,11.423626899719238,1.671,20.53,6.246768474578857,8.707650184631348,20.48,10.476144790649414,7.553254127502441,9.737357139587402,4.058992862701416,5.924,8.12,18.75058937072754,5.68663501739502,14.357259750366213,6.337669849395752,21.082199096679688,188.1271514892578,12.759102821350098,14.747336387634276,11.470000267028809,21.051,12.942422866821287,3.4202418327331543,10.492289543151855,6.752897262573242,,8.017830848693848,4.042,16.31670379638672,8.515499114990234,103.49979400634766,3.665528059005737,5.064675331115723,16.82,44.0,93.29,834.9912109375,7.524301528930664,7.481751441955566,13.07222843170166,8.429121017456055,48.0,7.412237644195557,19.260854721069336,15.794888496398926,10.71241855621338,23.56916236877441,10.842371940612791,18.835845947265625,24.61,31.647
2014-01-23,12.107722282409668,13.41,6.61,12.842287063598633,7.904463768005371,7.737,12.896907806396484,1.32,9.120386123657228,41.56048202514648,10.76224422454834,9.690288543701172,4.477550029754639,2.321742534637451,11.821670532226562,11.725,12.696576118469238,4.053847312927246,11.247969627380373,1.638,20.24,6.081984519958496,8.455862998962402,19.95,10.263882637023926,7.474887371063232,9.605474472045898,3.961095094680786,5.847,8.04,18.684194564819336,5.675088405609131,14.379637718200684,6.191227912902832,20.61939811706543,184.8410797119141,12.691715240478516,14.54804515838623,10.9399995803833,20.642,12.84714412689209,3.339384794235229,10.284178733825684,6.345529556274414,8.766908645629883,7.914735317230225,3.96,16.051847457885742,8.24903392791748,103.49979400634766,3.590720891952514,4.974437236785889,16.77,43.59999847412109,93.01,825.9152221679688,7.351327896118164,7.306987762451172,13.090977668762209,8.429121017456055,48.5,7.466919422149658,18.986371994018555,15.388246536254885,10.23579216003418,23.195602416992188,10.529693603515623,18.31476783752441,23.94,31.797
2014-01-24,12.01993179321289,13.03,6.5,12.63929843902588,7.808874130249023,7.573,12.567743301391602,1.24,9.325584411621094,41.34149169921875,10.75657844543457,9.42995262145996,4.380876064300537,2.309835910797119,11.58277416229248,11.793,12.545001983642578,4.030295372009277,11.072314262390137,1.595,20.33,6.025393009185791,8.253033638000488,19.8,10.051621437072754,7.402552127838135,9.422304153442385,3.885789155960083,5.89,8.02,18.266881942749023,5.60003662109375,14.15588665008545,6.077329158782959,21.05740547180176,179.9119873046875,12.691715240478516,14.644256591796877,10.460000038146973,20.253,12.561297416687012,3.3151276111602783,10.14890193939209,6.463039398193359,8.766908645629883,7.727877616882324,3.915,15.706732749938965,8.071390151977539,101.99979400634766,3.441107749938965,4.940597534179688,16.48,42.5,92.05,807.7632446289062,7.163094997406006,7.13222599029541,13.07222843170166,8.216398239135742,47.5,7.345407009124756,18.4295654296875,15.388246536254885,10.009197235107422,22.92628669738769,10.521242141723633,18.50425148010254,24.35,31.131
2014-01-27,11.73461627960205,12.99,6.64,12.794523239135742,7.811601638793945,7.628,12.427443504333496,1.29,9.251361846923828,41.33196640014648,10.55266284942627,9.453091621398926,4.419037342071533,2.357461929321289,11.597253799438477,11.936,12.40130615234375,3.9655280113220215,11.16922664642334,1.578,20.11,6.095300674438477,7.938301086425781,19.84,10.168021202087402,7.474887371063232,9.34903621673584,3.930973768234253,5.924,8.13,17.934926986694336,5.369108200073242,14.170804023742676,6.061057567596436,21.115253448486328,179.9119873046875,12.512007713317873,14.314397811889648,10.100000381469728,20.272,12.346911430358888,3.3838555812835693,10.353548049926758,6.596217632293701,8.766908645629883,7.796605587005615,3.96,15.57029151916504,7.923360347747803,101.99979400634766,3.3663010597229004,4.867279052734375,16.53,40.400001525878906,92.23,807.7632446289062,7.132571220397949,7.136949062347412,13.028488159179688,8.203103065490723,47.25,7.248197555541992,17.802181243896484,15.443082809448242,9.899807929992676,22.522321701049805,10.326874732971191,18.42727279663086,24.28,30.586
2014-01-28,11.778510093688965,13.01,6.67,12.651237487792969,7.836185455322266,7.628,12.465217590332031,1.32,9.421632766723633,41.179630279541016,10.711265563964844,9.256396293640137,4.403772354125977,2.343174457550049,11.524859428405762,11.936,12.422958374023438,3.9949684143066406,11.16922664642334,1.59,19.91,6.123597145080566,8.05720043182373,19.76,10.13378620147705,7.414605140686035,9.261114120483398,3.953564405441284,6.043,8.26,18.285850524902344,5.553850173950195,14.14096736907959,6.028514862060547,21.20616340637207,181.55502319335935,12.497034072875977,14.314397811889648,10.15999984741211,20.263,12.466015815734863,3.3878989219665527,10.426383018493652,6.541379928588867,9.395462036132812,7.893257141113281,4.063,15.73081111907959,7.895161628723144,101.99979400634766,3.358819961547852,4.929316997528076,16.54,40.0,91.85,807.7632446289062,7.132571220397949,7.108607769012451,12.909764289855955,8.336055755615234,48.75,7.211743354797363,17.488481521606445,15.539032936096191,10.048263549804688,22.934978485107425,10.335326194763184,18.800317764282227,24.58,30.633
2014-01-29,11.741930961608888,12.9,6.64,12.090021133422852,7.729662895202637,7.457,12.303327560424805,1.3,9.801467895507812,41.56048202514648,10.677278518676758,9.001845359802246,4.375787734985352,2.264592409133911,11.40179443359375,11.979,12.466266632080078,3.93019962310791,11.02385711669922,1.547,19.78,6.050359725952148,7.959282875061035,19.7,10.010538101196287,7.414605140686035,9.158536911010742,3.893320798873901,6.043,8.12,18.02029228210449,5.623129844665527,13.96942901611328,5.947158336639404,22.478864669799805,168.4107666015625,12.826494216918944,14.603026390075684,10.050000190734863,20.029,12.180170059204102,3.3474695682525635,10.228681564331056,6.463039398193359,9.219287872314451,7.873927593231201,3.956,15.586343765258787,7.752768039703369,95.99980926513672,3.2989745140075684,4.782678604125977,16.01,40.20000076293945,89.7,789.6112670898438,6.995209217071533,6.990525245666504,13.040986061096191,8.128652572631836,47.75,7.120609283447266,17.0806827545166,15.60299015045166,9.993568420410156,23.22600746154785,10.411381721496582,19.599699020385746,25.49,29.779
2014-01-30,11.610246658325195,12.72,6.43,12.000465393066406,7.729662895202637,7.409,12.227783203125,1.3,9.639927864074709,41.179630279541016,10.47902774810791,8.909281730651855,4.3656110763549805,2.23839807510376,11.1990966796875,12.495,12.49382209777832,4.003799915313721,10.721007347106934,1.512,19.73,5.867268562316895,7.86836051940918,19.75,9.99684238433838,7.203621864318848,8.968040466308594,3.863197565078736,6.077,8.1,17.602975845336914,5.340242385864258,13.603971481323242,5.816987991333008,21.72681427001953,170.05380249023438,12.676737785339355,14.527430534362791,9.90999984741211,19.912,12.108709335327148,3.3515121936798096,10.23908519744873,6.470873832702637,9.10731315612793,7.818084239959717,3.911,15.297409057617188,7.8035173416137695,92.5,3.186765193939209,4.731919288635254,16.48,40.5,91.03,771.4592895507812,6.939247608184815,6.943291187286377,12.784786224365234,8.139289855957031,48.5,6.9322662353515625,17.323795318603516,15.443082809448242,10.040452003479004,23.156503677368164,10.276168823242188,19.24441909790039,25.32,30.314
2014-01-31,11.771194458007812,12.61,6.61,12.472119331359863,7.838911533355713,7.525,12.249366760253906,1.32,9.73597812652588,41.170108795166016,10.524341583251951,8.793575286865234,4.304554462432861,2.283642292022705,11.249771118164062,12.673,12.645394325256348,4.100950241088867,10.969345092773438,1.518,19.29,5.982117176055908,7.826395034790039,20.13,9.77773380279541,7.143341064453125,9.012001037597656,3.930973768234253,6.171,8.06,17.441743850708008,5.571170330047607,13.954511642456056,5.8251237869262695,22.35489845275879,168.4107666015625,12.841468811035156,14.7198486328125,9.600000381469728,19.659,12.108709335327148,3.404069662094116,10.495756149291992,6.6197190284729,9.25661277770996,7.92117977142334,3.907,15.305435180664062,7.814798355102539,92.5,3.1119580268859863,4.652959823608398,16.81,41.70000076293945,89.74,757.8452758789062,7.005383491516113,6.943291187286377,12.803534507751465,8.110038757324219,48.75,6.841131687164307,17.45711326599121,15.76290512084961,9.876365661621094,23.15216636657715,10.056447982788086,19.57009506225586,25.52,30.567
2014-02-03,11.33956241607666,11.9,6.47,12.012404441833496,7.464719772338867,7.273,11.77989387512207,1.26,9.343045234680176,39.199195861816406,10.195810317993164,8.533239364624023,4.167174816131592,2.19791579246521,10.880569458007812,12.292,12.489886283874512,4.047959804534912,10.648321151733398,1.489,18.67,5.747425079345703,7.427730560302734,19.78,9.421683311462402,6.926327228546143,8.762890815734863,3.7878921031951904,6.103,7.9,17.327930450439453,5.4557061195373535,13.865010261535645,5.621732234954834,21.834251403808597,156.9095458984375,12.384716033935549,14.073877334594728,9.289999961853027,18.919,11.910205841064451,3.3232147693634038,10.3760347366333,6.314193248748779,8.958013534545898,7.861039638519287,3.825,14.968345642089844,7.611777305603027,89.75,3.0446324348449707,4.55708122253418,16.74,40.0,88.88,735.1553344726562,6.664527893066406,6.54180908203125,12.659817695617676,7.97708797454834,47.25,6.683165073394775,16.547393798828125,15.53445529937744,9.727909088134766,22.43979263305664,9.81982707977295,19.02532958984375,24.75,29.807
2014-02-04,11.390771865844728,12.55,6.45,12.406450271606444,7.718587875366211,7.45,12.022727012634276,1.3,9.40853500366211,39.79903411865234,10.190145492553713,9.169615745544434,4.184983730316162,2.216966390609741,11.19185733795166,12.148,12.47019863128662,3.971416473388672,10.66649055480957,1.465,18.67,5.933846950531006,7.826395034790039,19.7,9.48330783843994,6.902215003967285,8.865464210510254,3.780361175537109,6.145,7.96,17.64091682434082,5.513439178466797,14.39455509185791,5.800717830657959,22.007797241210938,161.83865356445312,12.294867515563965,14.080750465393066,9.510000228881836,19.085,12.005485534667969,3.51727032661438,10.87922477722168,6.400367736816406,8.65941333770752,8.075822830200195,3.813,14.76769733428955,7.656896591186523,86.5,2.9847869873046875,4.511960983276367,16.66,39.70000076293945,89.66,739.6932983398438,6.75101375579834,6.6551690101623535,13.12221622467041,7.97708797454834,48.0,6.865434169769287,16.704242706298828,15.539032936096191,10.071704864501951,22.778600692749023,10.132505416870115,19.345081329345703,25.17,29.714
2014-02-05,11.295663833618164,13.01,6.2,12.322867393493652,7.601063251495361,7.409,12.28714084625244,1.27,9.54824447631836,39.29440689086914,9.912591934204102,9.129119873046877,4.167174816131592,2.25030517578125,10.873332023620604,12.14,12.302878379821776,3.81244158744812,10.436324119567873,1.442,18.7,5.895564556121826,7.609579086303711,20.29,9.57231903076172,6.781651973724365,8.572391510009766,3.757769346237183,6.094,7.96,17.593486785888672,5.467252254486084,14.484053611755373,5.727496147155762,21.404504776000977,156.9095458984375,12.122644424438477,13.91581916809082,9.699999809265137,18.9,11.973726272583008,3.4970548152923584,10.827162742614746,6.110510349273682,8.465323448181152,8.086564064025879,3.767,14.157729148864746,7.5680766105651855,83.25,2.84265398979187,4.6867995262146,16.22,38.400001525878906,88.68,735.1553344726562,6.5933027267456055,6.532362937927246,12.97225284576416,7.990381240844727,47.5,6.664939880371094,16.343496322631836,15.19178581237793,10.032635688781738,22.131385803222656,10.081799507141112,19.8365535736084,25.48,29.995
2014-02-06,11.829721450805664,13.41,6.1,12.896020889282228,7.83064603805542,7.546,12.778193473815918,1.25,9.866957664489746,39.58956909179688,9.96923828125,8.996058464050293,4.210423946380615,2.359842538833618,11.104986190795898,12.639,12.613900184631348,3.9272572994232178,10.672547340393066,1.469,18.81,5.812340259552002,8.043210983276367,20.97,9.85990047454834,7.077030658721924,8.704275131225586,3.802952766418457,6.094,8.06,17.78317642211914,5.571170330047607,14.77492618560791,6.028514862060547,21.61937522888184,165.1247100830078,12.33979034423828,14.28003978729248,10.170000076293944,18.803,12.108709335327148,3.549611091613769,11.052733421325684,6.204518795013428,8.65941333770752,8.290604591369629,3.808,14.77572536468506,7.669581413269043,78.0,2.954864263534546,4.86163854598999,16.69,39.20000076293945,90.03,744.2313232421875,6.766274929046631,6.711848735809326,12.834778785705566,8.072813987731934,48.5,6.78645133972168,17.221839904785156,15.63954734802246,10.095145225524902,22.89154052734375,10.436734199523926,20.28657913208008,26.2,29.554
