,VIVO4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,RENT3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2007-07-12,32.81,22.19,12.59,6.11,16.120698928833008,12.867547988891602,51.11,25.13,9.10081958770752,5.2057037353515625,3.507000684738159,17.706,1.479,4.805729866027832,8.058209419250488,7.937524795532227,55.45,12.235191345214844,11.005,20.26800346374512,692.614013671875,16.990665435791016,19.54415702819824,54.59112548828125,25.76,3.09573745727539,9.233942031860352,,15.716243743896484,4.304385662078857,3.341,4.405250549316406,8.57,32.8,29.98,64.45,14.410155296325684,11.004646301269531,510.3256530761719,9.985384941101074,9.41,9.105127334594728,5.84,58.09,47.53,53.27,25.43,37.81,6.14,22.98,18.795001983642575,23.858572006225582,27.19,26.67
2007-07-13,32.54,22.32,12.55,6.254,16.502559661865234,12.735026359558104,49.75,24.84,9.135881423950195,5.168983459472656,3.4952950477600098,17.342,1.501,4.894225597381592,8.150830268859863,8.055805206298828,54.13,12.147170066833496,10.963,19.72616577148437,708.713623046875,16.891687393188477,19.47085189819336,54.67627716064453,25.82,3.083502531051636,9.168278694152832,,15.721319198608398,4.3122639656066895,3.447,4.4782915115356445,8.48,33.55,29.88,66.4,14.552667617797852,11.06239891052246,525.8572998046875,9.794597625732422,9.44,9.190622329711914,5.83,59.02,48.25,52.57,25.43,37.81,6.17,22.37,18.90876197814941,23.600008010864254,26.83,26.46
2007-07-16,32.49,22.25,12.53,6.418,16.24350929260254,12.91029930114746,49.13,24.69,9.150908470153809,5.153448581695557,3.415891647338867,17.097,1.464,4.949723243713379,8.052034378051758,7.991871356964111,52.67,12.127846717834473,10.937,18.972679138183597,691.9568481445312,16.835603713989258,19.4415225982666,54.34513473510742,25.58,3.1544718742370605,9.365280151367188,,15.640175819396973,4.265005111694336,3.439,4.45075273513794,8.43,34.28,29.31,66.0,14.410155296325684,11.012612342834473,526.4119873046875,9.844366073608398,9.6,8.985433578491211,6.0,60.24,48.89,50.66,24.92,37.81,6.07,22.38,18.646625518798828,23.234115600585938,26.39,26.32
2007-07-17,32.04,22.25,12.9,6.432,16.320266723632812,13.209540367126465,49.86,24.61,8.940540313720703,5.260782718658447,3.407540798187256,17.021,1.511,5.072715759277344,8.089082717895508,8.071789741516113,52.8,12.172932624816896,10.946,19.065807342529297,675.5286865234375,16.90818214416504,19.347686767578125,53.351707458496094,25.37,3.127551317214966,9.384476661682127,,15.417032241821287,4.235466957092285,3.513,4.454342842102051,8.55,33.69,29.61,66.48,14.56624698638916,11.189846992492676,536.8403930664062,9.769710540771484,9.5,8.942687034606934,6.18,60.13,49.48,51.21,24.61,37.49,6.09,22.43,18.55923843383789,23.231678009033203,26.51,27.14
2007-07-18,31.93,22.03,12.65,6.432,16.247344970703125,13.098390579223633,50.34,24.77,9.055743217468262,5.183107376098633,3.4133834838867188,17.283,1.491,5.08321475982666,8.27432918548584,8.116544723510742,53.75,12.132140159606934,11.005,18.8033504486084,667.9716796875,16.9312801361084,19.64385223388672,51.94198989868164,25.65,3.193626642227173,9.405694961547852,,15.604670524597168,4.272881507873535,3.439,4.671072959899902,8.61,33.89,30.25,65.66,14.618274688720703,11.211752891540527,540.834228515625,9.45449161529541,9.6,8.89310359954834,6.21,54.66,49.18,51.21,24.3,37.49,6.03,22.38,18.583969116210938,23.173141479492188,26.62,27.54
2007-07-19,32.26,22.48,12.67,6.555,16.310670852661133,12.953048706054688,49.19,24.89,9.030699729919434,5.225475788116455,3.443474769592285,17.309,1.479,5.324702262878418,8.321670532226562,8.407447814941406,56.2,11.91530418395996,10.784,19.14200210571289,675.857177734375,17.182016372680664,19.91069602966309,49.84160232543945,26.4,3.2425715923309326,9.526922225952148,,15.320672988891602,4.2059326171875,3.558,4.809972763061523,8.59,33.4,30.96,65.63,14.783414840698242,11.351156234741213,555.8112182617188,9.74689769744873,9.5,8.959786415100098,6.11,51.24,48.22,51.72,24.79,38.16,6.16,22.74,19.273120880126957,23.478052139282227,26.85,28.33
2007-07-20,30.11,22.34,12.26,6.541,16.078481674194336,12.777770042419434,47.23,25.24,9.090802192687988,5.209939956665039,3.417564392089844,17.292,1.436,5.309702396392822,8.253748893737793,8.154905319213867,55.49,11.526714324951172,10.41,18.95574378967285,675.5286865234375,17.13912582397461,19.810998916625977,49.24554061889648,26.2,3.1618125438690186,9.312747955322266,,15.69595718383789,4.138983726501465,3.497,4.687839031219482,8.46,32.9,31.11,63.63,14.64542293548584,11.269505500793455,557.6971435546875,9.628689765930176,9.65,8.976886749267578,6.17,49.87,46.9,49.85,24.31,38.07,6.19,22.29,19.50558853149414,23.173141479492188,26.59,28.23
2007-07-23,29.43,22.65,12.37,6.65,16.176349639892578,12.991521835327148,47.44,25.06,9.145898818969728,5.200052738189697,3.4267618656158447,17.004,1.446,5.249705314636231,8.294913291931152,8.02383804321289,55.74,11.55033016204834,10.401,18.642505645751957,671.25732421875,17.04674530029297,19.91069602966309,48.025047302246094,26.55,3.186285734176636,9.42590045928955,,15.325742721557615,4.072036266326904,3.776,4.604022026062012,8.36,33.3,31.36,64.28,14.975699424743652,11.430814743041992,582.325927734375,9.88584327697754,9.55,9.190622329711914,6.08,49.27,46.18,49.68,24.93,38.69,6.43,22.71,19.668800354003903,23.758567810058597,27.3,28.09
2007-07-24,28.56,22.02,11.94,6.384,15.69662094116211,12.337451934814451,43.56,24.25,8.66506290435791,5.048938274383545,3.2846779823303223,16.344,1.374,4.934723377227783,7.953235626220703,7.7680983543396,53.47,10.949198722839355,9.992,18.20224952697754,646.286376953125,16.693742752075195,19.350616455078125,47.30600357055664,25.75,3.066370725631714,8.982381820678711,,14.696891784667969,3.898759603500366,3.538,4.394473552703857,8.31,31.89,30.86,61.59,14.174886703491213,10.87918472290039,561.9129028320312,9.373612403869627,8.96,8.993985176086426,5.87,48.11,44.34,46.82,25.71,40.1,6.24,22.0,18.712566375732425,23.173141479492188,26.45,27.25
2007-07-25,28.94,21.91,11.67,6.336,15.58916187286377,12.354552268981934,44.15,24.25,8.715150833129883,4.92889404296875,3.3013901710510254,16.412,1.374,4.906224250793457,7.9985198974609375,7.828836441040039,53.9,11.342079162597656,10.214,18.20224952697754,661.4004516601562,16.57827377319336,19.30956649780273,45.71651458740234,25.7,3.046794414520264,8.951066017150879,,14.707033157348633,3.83574891090393,3.484,4.238811016082764,8.44,31.75,30.65,59.87,14.435040473937988,10.956851959228516,552.4829711914062,9.61624813079834,8.94,9.33596134185791,5.88,47.24,43.92,48.14,25.45,41.41,6.28,21.64,19.616050720214844,22.831640243530277,26.09,27.21
