,ACES4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP4,GGBR4,GOAU4,PTIP4,ITSA4,ITUB4,PCAR4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,UBBR11,USIM5,VALE3,VALE5
2005-06-06,31.05,11.05,7.5,2.638,4.048884391784668,4.42455530166626,22.0,14.01,11.17462921142578,2.45,2.047821283340454,6488.109375,0.618,44.11,7.932802677154541,6.962,19.56,13.037898063659668,20.26,2.52,4.942824840545654,5.71032190322876,11.03,1.3728922605514526,4.586662292480469,43.06,60.2,6.616908073425293,4.730960369110107,3.398712158203125,4.43,3.5651066303253174,142.36,3.51,24.7,23.06,33.06,20.73,34.86,33.27,11.75692653656006,10.87,3.47,8.77,6.776093482971191,8.683829307556152,10.88
2005-06-07,29.8,10.94,7.57,2.624,3.885777711868286,4.330506324768066,21.1,13.91,10.684267044067385,2.41,2.022400140762329,6300.1806640625,0.58,43.02,7.771783828735352,6.928,19.77,12.699249267578123,19.6,2.36,4.7631940841674805,5.547916889190674,10.54,1.3863521814346311,4.495738983154297,42.24,58.14,6.447242736816406,4.609064102172852,3.3066868782043457,4.33,3.505260705947876,136.1,3.39,25.06,22.23,32.55,20.63,34.26,32.43,11.676061630249023,10.71,3.46,8.78,6.5947370529174805,8.586257934570312,10.59
2005-06-08,28.45,11.03,7.67,2.556,3.885777711868286,4.217932224273682,21.28,13.87,10.420225143432615,2.33,2.051352024078369,6359.24365234375,0.583,43.04,7.793251991271973,6.835,19.21,12.61458683013916,19.72,2.27,4.5411810874938965,5.258033275604248,10.18,1.3782764673233032,4.50078821182251,42.47,55.99,6.475520133972168,4.613664627075195,3.3642349243164062,4.19,3.437719345092773,125.62,3.31,25.38,22.01,32.69,20.53,34.39,31.84,11.643721580505373,10.39,3.42,8.77,6.347434520721436,8.535035133361816,10.5
2005-06-09,27.52,11.24,7.67,2.542,3.866587638854981,4.1181840896606445,21.22,13.74,10.231623649597168,2.28,2.0548830032348637,6174.8916015625,0.58,41.1,7.546359539031982,6.63,18.58,12.826244354248049,20.41,2.32,4.478612899780273,5.090391159057617,10.14,1.3728922605514526,4.475532531738281,41.84,55.43,6.539425849914551,4.655063629150391,3.22580885887146,4.31,3.4197652339935303,119.92,3.27,25.11,21.88,32.22,20.57,34.29,32.51,11.643721580505373,10.25,3.39,8.74,6.240270137786865,8.439898490905762,10.29
2005-06-10,28.33,11.33,7.69,2.556,3.885777711868286,4.168059349060059,21.81,14.12,10.467376708984377,2.34,2.0792453289031982,6442.4716796875,0.608,41.45,7.728846073150635,6.741,19.11,12.961702346801758,20.22,2.46,4.642095565795898,5.324394226074219,10.16,1.3675081729888916,4.465426445007324,43.06,57.28,6.537730693817139,4.678060531616211,3.2742836475372314,4.45,3.4539639949798584,124.03,3.32,25.54,21.66,32.69,21.0,35.03,33.09,11.676061630249023,10.47,3.46,8.64,6.3968939781188965,8.488683700561523,10.41
2005-06-13,27.75,11.54,7.69,2.542,3.885777711868286,4.111060619354248,22.1,13.92,10.325923919677734,2.36,2.0216944217681885,6492.58544921875,0.61,43.11,7.63653039932251,6.656,18.91,13.22415256500244,20.87,2.4,4.613840103149414,5.411706924438477,10.01,1.3594330549240112,4.45027494430542,43.35,58.47,6.544517517089844,4.653223037719727,3.226067304611206,4.47,3.4531095027923584,125.62,3.31,25.32,21.79,33.19,20.99,35.39,32.76,11.92834758758545,10.3,3.39,8.65,6.479329586029053,8.458195686340332,10.39
2005-06-14,29.2,11.94,7.65,2.611,3.885777711868286,4.380380153656006,22.51,14.38,10.60882568359375,2.46,1.9895641803741453,6622.34716796875,0.618,45.4,8.072351455688477,7.03,19.9,13.545865058898926,21.03,2.57,4.82374382019043,5.762709617614746,10.27,1.3567407131195068,4.475532531738281,43.85,57.6,6.666676044464111,4.73786211013794,3.3647537231445312,4.48,3.6249520778656006,126.97,3.51,25.73,22.78,33.71,21.62,36.59,34.52,12.12888240814209,10.79,3.57,8.77,6.743119716644287,8.53747272491455,10.56
2005-06-15,28.94,12.3,7.59,2.611,3.9097633361816406,4.339056968688965,23.42,14.22,10.231623649597168,2.42,1.9242461919784544,6532.85595703125,0.608,44.12,7.836190700531006,6.877,18.48,13.359610557556152,20.93,2.51,4.799525260925293,5.623006343841553,10.01,1.3325135707855225,4.409866809844971,43.06,56.53,6.673462867736816,4.781559944152832,3.318093061447144,4.36,3.539458751678467,125.09,3.44,24.78,22.65,34.42,21.66,36.34,33.6,12.161225318908691,10.56,3.47,8.66,6.677172660827637,8.592354774475098,10.59
2005-06-16,29.68,12.68,7.57,2.631,4.101653099060059,4.431680679321289,22.99,14.22,10.377790451049805,2.49,1.9662615060806277,6514.95751953125,0.616,44.77,7.836190700531006,6.835,19.11,13.291879653930664,20.21,2.56,4.82374382019043,5.720798015594482,10.05,1.3378974199295044,4.394711971282959,42.39,58.25,6.732844829559326,4.852859020233154,3.329498291015625,4.45,3.676248550415039,126.87,3.4,24.78,22.6,35.06,21.79,36.16,34.18,12.048023223876951,10.56,3.43,8.73,6.726632118225098,8.83018684387207,10.76
2005-06-17,30.31,12.27,7.59,2.659,4.1400322914123535,4.59982967376709,24.88,14.57,10.311779975891112,2.54,2.011807680130005,6532.85595703125,0.631,44.93,7.876981735229492,6.835,20.01,13.080224990844728,20.45,2.62,4.803561210632324,5.71032190322876,9.92,1.3459731340408323,4.4310808181762695,42.64,58.26,6.916082382202148,4.95405387878418,3.318093061447144,4.42,3.710446834564209,128.23,3.4,24.63,23.51,36.08,21.96,36.69,34.69,11.841024398803713,11.1,3.43,8.87,6.809067249298096,8.999714851379395,10.97
