,VIVO4,AMBV4,ARCZ6,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,LAME4,LREN3,MMXM3,NATU3,NETC4,OGXP3,PCAR5,PETR3,PETR4,RDCD3,RSID3,SDIA4,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2009-03-25,29.62,18.54,1.62,4.537485122680664,4.429,8.938248634338379,6.839888572692871,2.6387879848480225,3.1148221492767334,2.820810556411743,6.556,1.046,1.5826396942138672,7.114212989807129,5.543161392211914,10.691568374633787,10.112,6.510523319244385,245.4629669189453,11.644113540649414,10.370455741882324,6.586241245269775,2.0467076301574707,6.536501407623291,4.014554500579834,1.387,1.824582576751709,385.0098571777344,8.1,17.16,682.9899291992188,,17.36951446533203,12.461583137512209,26.989999771118164,79.18934631347656,3.03,9.147921562194824,7.26,13.24,27.08,2.86,10.513086318969728,11.116830825805664,15.909956932067873,18.64,9.7
2009-03-26,29.24,18.95,1.64,4.690779685974121,4.545,9.126298904418944,7.066463947296143,2.617886543273926,3.215677261352539,2.901050567626953,6.658,1.061,1.6191962957382202,7.199841499328613,5.741360664367676,11.132322311401367,10.478,7.029979705810547,250.10682678222656,11.644113540649414,11.185054779052734,6.6438469886779785,2.097241878509521,6.743607521057129,4.014554500579834,1.346,1.86055326461792,387.5262451171875,8.08,17.38,729.9999389648438,,17.30154037475586,12.437013626098633,27.75,83.6760025024414,3.08,9.310792922973633,7.2,13.37,26.42,2.84,11.418959617614746,11.888609886169434,16.349700927734375,19.03,10.1
2009-03-27,28.31,18.96,1.54,4.568142890930176,4.566,8.78857421875,7.267383098602295,2.6805901527404785,3.144054889678955,2.7840301990509038,6.522,1.053,1.587208867073059,7.162813186645508,5.626277446746826,10.970855712890623,10.35,6.432605266571045,245.4629669189453,11.644113540649414,10.934412956237791,6.65344762802124,2.0871362686157227,6.718353271484375,3.975952386856079,1.317,1.7997748851776123,416.46490478515625,8.09,17.07,774.9998779296875,,16.789470672607422,12.121685028076172,28.5,86.14366912841797,3.01,9.362371444702148,7.02,12.98,25.85,2.73,11.331694602966309,11.97658634185791,15.934659004211426,18.72,9.81
2009-03-30,27.17,18.48,1.52,4.39645528793335,4.429,8.366414070129395,7.139139175415039,2.6387879848480225,3.041738510131836,2.815793514251709,6.294,1.055,1.5384657382965088,7.058669567108154,5.702998638153076,11.149779319763184,10.248,6.397975444793701,250.7702789306641,11.644113540649414,10.245135307312012,6.519035339355469,2.018912076950073,6.5238776206970215,3.975952386856079,1.313,1.7365165948867798,442.88714599609375,8.03,16.6,721.9999389648438,,16.213956832885742,11.785880088806152,27.549999237060547,83.00300598144531,3.06,9.09634780883789,6.6,12.15,25.32,2.66,10.6419038772583,11.256791114807127,15.035402297973633,17.98,9.7
2009-03-31,26.62,18.5,1.54,4.310611724853516,4.477,8.366414070129395,7.211813449859619,2.5133798122406006,3.0475850105285645,2.815793514251709,6.277,1.072,1.4683971405029297,7.29010009765625,5.869229316711426,11.31124210357666,10.529,6.726964950561523,257.736083984375,11.644113540649414,10.589774131774902,6.384622097015381,2.0138585567474365,6.478413105010986,4.053156852722168,1.313,1.7675257921218872,418.9813232421875,8.16,17.09,711.0099487304688,,16.032703399658203,11.691690444946287,28.049999237060547,83.00300598144531,3.14,9.337940216064451,6.44,11.67,26.59,2.68,11.01172924041748,11.256791114807127,15.317036628723145,18.0,9.7
2009-04-01,26.99,18.95,1.6,4.598803997039795,4.606,8.75019359588623,7.592280864715576,2.5760838985443115,3.2010607719421387,2.981278896331787,6.708,1.104,1.5354188680648804,7.382672309875488,6.259232521057129,11.642898559570312,10.793,7.004008769989014,274.3214111328125,11.644113540649414,11.028402328491213,6.317415237426758,2.031546115875244,6.579436779022217,4.130359172821045,1.35,1.8096981048583984,465.5347900390625,8.22,16.93,729.9999389648438,,16.58555030822754,12.039780616760254,25.65999984741211,88.61131286621094,3.14,9.63653564453125,6.47,11.84,26.42,2.63,11.377402305603027,11.99258041381836,15.5640869140625,18.2,10.31
2009-04-02,26.56,19.18,1.66,4.690779685974121,4.743,9.260625839233398,7.793200969696045,2.6910412311553955,3.25952696800232,3.008861780166626,6.962,1.116,1.6755566596984863,7.498387813568115,6.84104061126709,11.983283042907717,11.159,7.2723917961120605,298.5360412597656,11.644113540649414,11.686346054077148,6.403823852539063,2.135145425796509,6.895150661468506,4.516373634338379,1.453,1.9783889055252075,568.7073974609375,8.12,17.9,766.9999389648438,,17.401226043701172,12.490248680114746,25.0,94.8926239013672,3.17,10.04371166229248,6.6,12.05,27.54,2.6,12.258343696594238,12.736369132995604,16.586870193481445,19.31,11.03
2009-04-03,26.98,19.72,1.8,4.899258136749268,4.846,9.460187911987305,8.165121078491211,2.8478004932403564,3.354536533355713,3.090773820877075,7.191,1.127,1.8796695470809937,7.78536319732666,6.943336486816406,12.170930862426758,11.363,7.419571399688721,304.1750183105469,11.644113540649414,11.968328475952148,6.576640605926514,2.1781005859375,7.071953773498535,4.439170837402344,1.432,1.9783889055252075,611.4862670898438,8.02,17.72,821.9998779296875,,17.446548461914062,12.449296951293944,26.399999618530277,95.56562042236328,3.18,10.125147819519045,6.62,12.0,28.06,2.56,12.35391330718994,12.72037410736084,16.77462387084961,19.63,11.03
2009-04-06,28.31,20.15,1.83,4.850203037261963,4.908,9.28748893737793,8.12237548828125,2.873927593231201,3.518242835998535,2.983787775039673,7.157,1.128,1.955831527709961,7.752964973449707,6.828254699707031,12.144749641418455,11.269,7.445545196533203,302.8481750488281,11.644113540649414,11.811668395996094,6.701452732086182,2.2109487056732178,7.142668724060059,4.300205230712891,1.44,2.010638236999512,666.8471069335938,7.93,17.3,821.9998779296875,,17.25168800354004,12.40424919128418,26.0,100.27660369873048,3.11,10.04371166229248,6.76,12.19,28.14,2.59,11.992398262023926,12.556419372558594,16.334875106811523,19.26,11.3
2009-04-07,28.31,19.43,1.85,4.813414573669434,4.873,9.018840789794922,8.075346946716309,2.8112235069274902,3.5167813301086426,2.887672185897827,6.911,1.15,2.132526159286499,7.7876787185668945,7.224650859832764,11.996376991271973,11.116,7.11655855178833,307.160400390625,11.644113540649414,11.548495292663574,6.931874752044678,2.2235827445983887,7.157824516296387,4.400569438934326,1.485,2.0218021869659424,654.26513671875,7.99,17.0,867.9998779296875,,17.093080520629883,12.27320384979248,25.0,102.96858978271484,3.08,9.935131072998049,6.83,12.88,27.32,2.73,11.709833145141602,12.35247802734375,15.97912311553955,19.0,11.03
