,ALLL11,AMBV4,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DXCO3,ELET3,ELET6,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,PRML3,LAME4,LREN3,MMXM3,MRVE3,NATU3,NETC4,OGXP3,PCAR5,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,VIVO4
2010-04-12,15.84,29.62,7.561519145965576,7.238,15.33297634124756,14.05733585357666,6.672736167907715,21.51167678833008,6.005770683288574,3.031846046447754,11.488,4.813807964324951,1.68,3.429182767868042,8.922024726867676,13.509456634521484,6.961751461029053,12.68354606628418,13.891,9.06772804260254,30.301647186279297,547.3849487304688,17.74666976928711,24.195077896118164,23.59075355529785,3.5985655784606934,10.988042831420898,6.540345668792725,42.49346923828125,2.655,5.200699806213379,1990.1849365234373,5.822030067443848,13.08,21.92,1730.0,61.67,3184.30029296875,17.944435119628906,14.552440643310549,29.0,292.8789367675781,10.23157787322998,19.85917091369629,10.1,29.47,28.84,4.76,25.86167335510254,24.70621681213379,29.84471702575684,35.2,43.47
2010-04-13,15.76,29.91,7.468700885772705,7.17,15.33297634124756,13.944336891174316,6.578681468963623,21.376665115356445,6.036570072174072,3.0882647037506104,11.632,4.967602252960205,1.707,3.5221519470214844,8.971796989440918,13.74601936340332,6.953263282775879,12.638428688049316,13.857,9.21681308746338,30.45703887939453,552.7778930664062,17.74666976928711,24.106260299682617,22.877084732055664,3.5870487689971924,10.954707145690918,6.617654800415039,43.86265182495117,2.635,5.356470584869385,2083.10009765625,5.914521217346191,13.19,22.25,1761.0,58.59,3250.550537109375,17.86528205871582,14.467806816101074,29.940000534057617,294.70947265625,10.18376636505127,19.85917091369629,10.14,29.07,28.93,4.64,26.259483337402344,25.228498458862305,30.08294677734375,35.35,42.64
2010-04-14,15.5,30.31,7.425384998321533,7.197,15.33297634124756,13.80873203277588,6.573455333709717,21.25965881347656,6.036570072174072,3.1081132888793945,11.742,4.967602252960205,1.738,3.619693279266357,8.9493989944458,13.73962688446045,7.046652793884277,12.728667259216309,13.985,9.35712432861328,31.397571563720703,550.7555541992188,17.74666976928711,24.455162048339844,23.05550193786621,3.621594429016113,11.015820503234863,6.62538480758667,43.61815643310547,2.618,5.338882446289063,2080.10302734375,5.987539768218994,13.01,22.5,1762.0,59.64,3318.9384765625,17.99565315246582,14.493197441101074,29.920000076293945,292.1925354003906,10.135956764221191,19.85917091369629,10.19,29.81,28.79,4.64,26.238319396972656,25.093843460083008,30.336387634277344,35.6,42.65
2010-04-15,15.31,30.63,7.320194721221924,7.095,15.33297634124756,13.96693229675293,6.709312915802002,21.25065422058105,6.028871059417725,3.132141590118408,11.564,4.9491472244262695,1.686,3.520627021789551,8.864782333374023,13.535032272338867,6.98297643661499,12.533148765563965,13.738,9.23435115814209,32.460792541503906,544.0143432617188,17.74666976928711,24.030139923095703,23.570932388305664,3.5985655784606934,10.999151229858398,6.594460964202881,42.15117645263672,2.598,5.272305011749268,2072.60986328125,5.948597431182861,13.22,21.58,1794.0,60.17,3252.68798828125,17.679040908813477,14.218144416809082,29.34000015258789,293.1077575683594,10.08814525604248,19.85917091369629,10.03,30.64,28.74,4.64,25.476560592651367,24.51444625854492,30.2963924407959,35.81,41.71
2010-04-16,15.49,30.3,7.19025182723999,6.958,15.33297634124756,13.78612995147705,6.6048078536987305,21.24165725708008,5.996530532836914,3.1112489700317383,11.522,4.967602252960205,1.66,3.4444234371185303,8.834917068481445,13.20256805419922,6.834404945373535,12.673518180847168,13.857,9.085268020629885,31.831037521362305,529.1837158203125,17.74666976928711,23.47189140319824,22.99603080749512,3.5035605430603027,10.654647827148438,6.509422302246094,40.733097076416016,2.548,5.175575256347656,2036.642578125,5.860972881317139,12.98,20.92,1811.0,58.64,3175.751708984375,17.259998321533203,13.943090438842772,28.899999618530277,284.6417236328125,9.89689826965332,19.85917091369629,9.87,29.35,28.52,4.55,25.3242130279541,24.518526077270508,29.877805709838867,35.38,41.36
2010-04-19,15.19,30.12,7.159310340881348,6.89,15.33297634124756,13.627923011779783,6.505526065826416,21.48467254638672,6.07506799697876,3.0924463272094727,11.488,4.992212295532227,1.656,3.5053868293762207,8.897135734558105,13.20256805419922,6.961751461029053,12.648454666137695,13.78,8.988802909851074,31.970081329345703,526.4873046875,17.74666976928711,22.774072647094727,22.490514755249023,3.477651834487915,10.5324125289917,6.571269512176514,41.711082458496094,2.516,5.11276388168335,2005.1712646484373,5.690598011016846,12.97,21.39,1845.0,57.68,3233.453857421875,17.55332374572754,14.196988105773926,29.40999984741211,285.3281555175781,9.638717651367188,19.85917091369629,9.95,28.5,27.84,4.44,24.630163192749023,23.89831924438477,29.352022171020508,35.15,40.83
2010-04-20,15.31,30.3,7.314004898071289,6.937,15.33297634124756,13.533003807067873,6.505526065826416,21.232654571533203,6.1058669090271,3.120645761489868,11.522,5.035274505615234,1.646,3.5053868293762207,8.737857818603516,13.413558959960938,7.016937732696533,12.728667259216309,13.738,9.023880958557127,31.577510833740234,538.6213989257812,17.74666976928711,22.659881591796875,22.579723358154297,3.5064408779144287,10.626864433288574,6.6949639320373535,42.10227584838867,2.561,5.193164825439453,1996.179443359375,5.841501712799072,13.12,21.09,1880.0,58.41,3340.309814453125,17.9490909576416,14.514355659484863,29.5,291.0484313964844,9.705655097961426,19.85917091369629,10.14,28.9,27.7,4.48,24.79944229125977,23.808549880981445,28.94365119934082,34.58,41.83
2010-04-22,15.92,30.43,7.258316993713379,6.937,15.33297634124756,13.410972595214844,6.688412666320801,21.15164566040039,6.144367218017578,3.1739296913146973,11.378,5.278270721435547,1.669,3.513007402420044,8.777677536010742,13.777987480163574,7.021181106567383,12.788826942443848,14.002,9.076496124267578,31.23400115966797,544.0143432617188,17.74666976928711,22.90095329284668,22.847347259521484,3.477651834487915,10.529633522033691,6.439844131469727,42.00447845458984,2.61,5.303708076477051,1981.193115234375,5.890182018280029,13.43,21.28,1836.0,57.59,3395.874267578125,17.739566802978516,14.328166961669922,30.280000686645508,295.1671142578125,9.67218780517578,19.85917091369629,10.34,28.55,27.42,4.44,24.545522689819336,23.91056060791016,29.045747756958008,34.73,41.24
2010-04-23,15.86,31.0,7.239752292633057,6.89,15.33297634124756,13.492329597473145,6.610032558441162,21.15164566040039,6.182863235473633,3.248108148574829,11.48,5.167537212371826,1.686,3.523674964904785,8.8050537109375,13.528639793395996,6.98297643661499,12.914156913757324,14.044,8.988802909851074,31.700183868408203,544.0143432617188,17.74666976928711,23.3957576751709,22.847347259521484,3.483412027359009,10.543516159057615,6.571269512176514,41.41768646240234,2.594,5.240739345550537,1970.7027587890625,5.875576972961426,13.72,20.87,1809.0,58.38,3342.446533203125,17.871265411376953,14.444231986999512,29.18000030517578,293.5653991699219,9.719995498657228,19.85917091369629,10.53,29.13,27.08,4.41,24.6090087890625,23.841196060180664,28.790515899658203,34.45,40.73
2010-04-26,15.92,31.0,7.233564853668213,6.787,15.33297634124756,13.478768348693848,6.688412666320801,21.016637802124023,6.175165176391602,3.237664699554444,11.725,5.124474048614502,1.688,3.4870972633361816,8.787633895874023,13.586180686950684,6.796199798583984,12.65848159790039,13.763,8.944950103759766,30.996828079223636,539.9696044921875,17.74666976928711,23.078575134277344,22.59954643249512,3.420074701309204,10.407384872436523,6.50169038772583,40.78199768066406,2.581,5.176825046539307,1960.2122802734373,5.68572998046875,13.22,20.76,1796.0,57.97,3291.15576171875,17.511781692504883,14.151095390319824,29.149999618530277,291.2773132324219,9.471381187438965,19.85917091369629,10.58,28.3,26.11,4.34,24.46088409423828,23.76774787902832,28.673105239868164,34.28,40.03
