,VIVO4,AMBV4,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DXCO3,ELET3,ELET6,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,PRML3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,NETC4,OGXP3,PCAR5,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2010-09-06,39.36,34.09,8.236591339111328,7.293,14.797831535339355,13.03675365447998,7.890236854553223,20.82253074645996,6.36046028137207,3.278688430786133,11.996,4.653858661651611,1.838,3.5535638332366943,10.660893440246582,14.551443099975586,7.477809429168701,10.769914627075195,11.857,9.970681190490724,,561.3517456054688,17.184295654296875,18.94284439086914,23.40242576599121,17.465919494628906,3.5336623191833496,10.49311637878418,5.646385192871094,,2.938,7.068604469299316,12.638420104980469,1924.2451171875,7.563337326049805,16.12,22.37,,62.19,4037.1123046875,15.733094215393066,12.511330604553224,,351.05206298828125,10.578585624694824,15.900508880615234,13.84,35.28,23.45,5.01,20.144256591796875,18.198137283325195,24.5025634765625,29.74,16.39
2010-09-08,39.85,34.65,8.51738452911377,7.396,14.510693550109863,13.050607681274414,7.759603500366211,20.984851837158203,6.434817314147949,3.1374142169952397,11.97,4.653858661651611,1.79,3.5535638332366943,10.12617015838623,14.571063995361328,7.46498966217041,10.815682411193848,11.797,10.245671272277832,24.29039001464844,566.1437377929688,17.55172348022461,19.29613876342773,23.640316009521484,17.465919494628906,3.5307610034942627,10.479122161865234,5.63087272644043,47.1389045715332,2.848,6.902437210083008,12.616143226623535,1934.7354736328125,7.64911413192749,15.96,22.25,2024.0,61.11,4024.1171875,15.034679412841797,11.969415664672852,24.5,357.32501220703125,10.540118217468262,16.054718017578125,13.67,35.66,23.28,5.09,20.228900909423828,18.4266357421875,24.089075088500977,29.17,16.21
2010-09-09,40.31,34.56,8.66089916229248,7.457,14.51462745666504,13.055231094360352,8.046996116638184,21.18324851989746,6.498329162597656,3.1799917221069336,12.258,4.666163921356201,1.816,3.693835496902466,10.255330085754396,15.172739028930664,7.4265336990356445,10.678387641906738,11.729,10.02390480041504,24.12681770324707,577.0969848632812,17.466936111450195,19.45672416687012,24.03679847717285,17.895729064941406,3.510432720184326,10.428756713867188,5.63087272644043,48.89927673339844,2.856,6.927998065948486,12.586441040039062,1988.686279296875,7.800481796264648,15.98,22.1,1988.0,61.9,4115.08203125,14.746825218200684,11.788782119750977,24.68000030517578,368.9415588378906,10.482418060302734,15.99189567565918,13.35,36.49,23.42,5.13,20.029993057250977,18.467437744140625,24.145227432250977,29.21,15.99
2010-09-10,41.42,34.87,8.70457935333252,7.43,14.502824783325195,12.9305419921875,7.905912399291992,21.715307235717773,6.577330112457275,3.2115912437438965,12.292,4.736910343170166,1.834,3.771764039993286,10.255330085754396,15.323159217834473,7.516266822814941,10.95805835723877,12.103,10.192448616027832,24.053211212158203,575.7278442382812,17.43866539001465,19.270442962646484,24.23504066467285,18.36461639404297,3.527855157852173,10.406378746032717,5.59984827041626,52.81121826171875,2.873,7.05326509475708,12.549311637878418,1937.7327880859373,7.835799694061279,16.47,22.1,2008.0,59.41,4141.07177734375,14.638283729553224,11.836090087890623,25.290000915527344,375.2145080566406,10.405479431152344,15.87766456604004,13.63,36.81,23.73,5.27,19.75491523742676,18.206296920776367,23.92062187194824,28.99,16.5
2010-09-13,41.09,34.88,8.941694259643555,7.717,14.947310447692873,13.39235019683838,8.005194664001465,22.048973083496094,6.684217929840088,3.219823837280273,12.317,4.730757236480713,1.868,3.834107160568237,10.255330085754396,15.663237571716309,7.45217227935791,11.100435256958008,12.291,10.201319694519045,24.813817977905277,592.8422241210938,17.594114303588867,19.411762237548828,24.4630184173584,18.76317024230957,3.6004443168640137,10.772934913635254,5.59984827041626,49.38827133178711,2.959,6.972738265991211,12.824061393737791,1969.2041015625,8.269720077514648,16.75,22.25,2026.0,58.47,4288.3486328125,14.940299987792969,12.17155933380127,25.40999984741211,389.15435791015625,10.636285781860352,16.1689453125,13.73,36.49,23.74,5.24,20.059619903564453,18.365428924560547,24.60465812683105,29.75,16.75
2010-09-14,40.74,35.52,8.8980131149292,7.758,14.947310447692873,13.553984642028809,8.146276473999023,21.84156036376953,6.716746330261231,3.233957052230835,12.478,4.761516571044922,1.886,3.834107160568237,10.325078010559082,15.94445514678955,7.644454479217529,10.907209396362305,12.189,10.290026664733888,24.437604904174805,600.37255859375,17.2832088470459,19.199783325195312,25.20642471313477,18.638132095336918,3.64980411529541,10.926831245422363,5.646385192871094,45.47632598876953,2.967,6.889653205871582,12.764657020568848,1993.1822509765625,8.360540390014648,16.82,22.37,2048.0,58.9,4299.177734375,14.223013877868652,11.547927856445312,25.700000762939453,384.5077209472656,10.443950653076172,16.31744384765625,14.18,37.49,23.48,5.33,19.890342712402344,18.0349235534668,24.400463104248047,29.56,16.7
2010-09-15,41.72,36.22,8.997852325439453,7.819,14.825376510620115,13.67405128479004,8.177627563476562,22.274423599243164,6.705901622772217,3.314011335372925,12.766,4.607658386230469,1.902,3.891774654388428,10.46973705291748,16.212596893310547,7.734191417694092,11.054673194885254,12.291,10.39647388458252,24.94467544555664,600.37255859375,17.452796936035156,19.30898666381836,25.523611068725582,19.146089553833008,3.664323329925537,10.991192817687988,5.677408695220947,46.94330596923828,3.057,6.912660598754883,12.74237823486328,2000.6754150390625,8.40090560913086,17.2,22.5,2095.0,60.3,4361.9873046875,14.14751148223877,11.375894546508787,25.700000762939453,392.6393432617188,10.338162422180176,16.220348358154297,14.02,38.02,23.6,5.37,19.759143829345703,17.89211654663086,24.54339599609375,29.74,16.89
2010-09-16,41.72,36.3,8.854338645935059,7.744,14.565762519836426,13.623246192932127,8.235108375549316,22.319509506225582,6.506073951721191,3.304588556289673,12.554,4.509164333343506,1.876,3.888658046722412,10.268245697021484,15.826735496520996,7.712828636169434,10.973312377929688,12.231,10.272282600402832,25.02646255493164,591.4730834960938,17.368005752563477,19.122705459594727,25.02800750732422,18.849130630493164,3.658515453338623,10.884862899780272,5.801505565643311,46.94330596923828,3.078,7.087774753570557,12.549311637878418,1988.686279296875,8.249537467956543,17.23,22.5,2047.0,59.26,4301.34423828125,14.14279079437256,11.337185859680176,25.600000381469727,379.1640930175781,10.51126766204834,16.180368423461914,13.99,36.66,23.53,5.44,19.890342712402344,18.09612846374512,24.38515281677246,29.56,16.87
2010-09-17,41.62,35.76,8.642181396484375,7.662,14.384822845458984,13.466236114501951,8.235108375549316,22.319509506225582,6.456502914428711,3.232779026031494,12.233,4.51531982421875,1.853,3.8465747833251953,10.213997840881348,15.368939399719238,7.81965160369873,10.846190452575684,12.044,10.378735542297363,24.511211395263672,588.7347412109375,17.064178466796875,18.69232940673828,24.97844696044922,18.591249465942383,3.638191938400269,10.828899383544922,5.840285301208496,44.93843460083008,3.119,6.9983015060424805,12.786931991577148,1936.234130859375,8.133489608764648,17.16,22.44,2020.0,58.24,4310.00732421875,14.246607780456545,11.371593475341797,26.100000381469727,368.0122375488281,10.530499458312988,15.923357009887695,13.86,35.93,23.23,5.34,19.890342712402344,17.830913543701172,24.05845069885254,29.25,16.7
2010-09-20,41.99,36.66,8.80441665649414,7.792,14.825376510620115,13.757174491882324,8.21943187713623,22.319509506225582,6.622253894805908,3.1799917221069336,12.148,4.284475326538086,1.878,3.865278482437134,10.384490966796877,14.38794231414795,7.879473209381103,11.075011253356934,12.163,9.757782936096191,22.9000301361084,479.2027282714844,17.134836196899414,19.129127502441406,25.29563331604004,18.90383529663086,3.481397151947021,10.91283893585205,5.972137928009033,47.1389045715332,3.139,7.195149421691895,13.0097017288208,1951.220458984375,8.49172592163086,17.48,22.4,2017.0,59.12,3681.915771484375,14.534469604492188,11.6554536819458,26.36000061035156,380.5581359863281,10.790157318115234,16.00902557373047,13.9,37.11,23.62,5.52,19.340177536010746,18.198137283325195,24.553607940673828,29.8,17.14
