,ACES4,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2004-04-06,18.5,7.75,9.21,1.442,3.4199442863464355,15.61,8.205105781555176,1.48,4452.18798828125,0.494,56.0,8.196870803833008,6.758,17.01,15.298367500305176,23.14,5.24,4.09,4.372990608215332,3.969539165496826,0.937603771686554,2.869189500808716,5.492033004760742,3.905884265899658,3.48633074760437,4.04,5.7858171463012695,107.52,3.35,32.32,31.08,24.34,21.67,32.17,48.01,13.390283584594728,23.05,4.08,6.677172660827637,6.655162811279297,8.19
2004-04-07,19.13,7.49,8.9,1.421,3.2660486698150635,15.27,8.010408401489258,1.46,4358.220703125,0.475,54.42,8.050882339477539,6.511,16.48,15.03591251373291,22.57,5.83,3.89,4.251623630523682,3.897801637649536,0.9187979102134703,2.8338301181793213,5.485812187194824,3.887676239013672,3.2488789558410645,4.0,5.612691879272461,104.16,3.32,32.19,29.71,23.33,20.77,30.67,46.42,13.34177017211914,21.85,4.03,6.3968939781188965,6.464493274688721,7.98
2004-04-08,20.08,7.49,8.78,1.428,3.2916979789733887,15.25,8.09964370727539,1.44,4743.033203125,0.488,54.25,8.587606430053711,6.724,17.47,14.798856735229492,22.26,5.92,3.9,4.202826023101807,3.864323616027832,0.9134249091148376,2.802511215209961,5.573471546173096,3.9600579738616943,3.343496561050415,4.02,5.548570156097412,106.33,3.31,32.32,30.68,23.71,21.06,31.23,47.51,13.180044174194336,22.3,4.05,6.3309478759765625,6.464493274688721,7.86
2004-04-12,19.63,7.39,8.82,1.428,3.237549304962158,15.59,8.112391471862793,1.41,4841.47314453125,0.494,52.92,8.694952964782715,6.937,17.5,14.798856735229492,22.63,5.76,3.88,4.222846031188965,3.921712875366211,0.9322304129600524,2.8277692794799805,5.72899866104126,4.028799057006836,3.387305498123169,4.02,5.52933406829834,108.46,3.32,32.3,30.13,23.9,21.16,30.82,46.58,12.94070053100586,22.01,3.92,6.3968939781188965,6.427903652191162,7.82
2004-04-13,19.91,7.28,8.63,1.428,3.2346980571746826,15.5,8.111233711242676,1.36,4805.67626953125,0.494,52.06,8.802298545837402,7.005,17.54,14.409416198730469,21.98,5.46,3.87,4.204077243804932,3.9073660373687744,0.9241708517074584,2.803522109985352,5.627198219299316,3.982819795608521,3.375640869140625,3.97,5.437427997589111,105.26,3.27,32.4,29.71,23.66,21.24,31.14,46.17,13.260910987854004,21.7,3.79,6.428220272064209,6.26121997833252,7.6
2004-04-14,20.02,7.24,8.56,1.421,3.1620264053344727,15.36,8.129776000976562,1.33,4751.9814453125,0.494,51.53,8.53608226776123,6.877,17.03,14.231622695922852,21.18,5.48,3.83,4.204077243804932,3.831322193145752,0.921484112739563,2.778264284133911,5.516918659210205,3.9131693840026855,3.433188915252685,3.95,5.328423500061035,104.92,3.21,32.07,28.57,23.67,21.23,30.75,45.08,13.422627449035645,20.7,3.67,6.279839038848877,6.138848304748535,7.46
2004-04-15,19.38,7.26,8.56,1.38,3.092200994491577,14.81,7.939713478088379,1.33,4689.33740234375,0.486,51.18,8.381505966186523,6.596,16.59,14.045368194580078,21.09,5.48,3.72,4.003884315490723,3.7552785873413086,0.8973053693771362,2.707547664642334,5.429258346557617,3.869466781616211,3.342200756072998,3.9,5.114688396453857,99.7,3.13,31.86,27.86,22.95,20.33,29.7,44.07,12.95364475250244,20.23,3.57,5.918776988983154,6.138848304748535,7.49
2004-04-16,19.63,7.28,8.63,1.374,3.06512713432312,14.65,8.110074043273926,1.31,4711.71142578125,0.487,50.75,8.254838943481445,6.52,16.37,14.011504173278809,20.78,5.74,3.75,4.129629611968994,3.864323616027832,0.8999923467636108,2.712597131729126,5.384013652801514,3.8535349369049072,3.283615827560425,4.0,5.086903095245361,97.75,3.17,31.7,27.69,22.83,20.26,29.83,45.58,13.099193572998049,20.35,3.79,5.9352641105651855,6.179502010345459,7.59
2004-04-19,19.3,7.33,8.45,1.374,3.0622758865356445,14.75,7.777467250823975,1.31,4720.6591796875,0.487,48.83,7.997208595275879,6.494,15.36,14.172361373901367,20.88,5.75,3.72,4.129003524780273,3.864323616027832,0.8999923467636108,2.7216899394989014,5.351212978363037,3.819391250610352,3.2719502449035645,4.0,4.930875778198242,94.64,3.13,31.17,26.93,22.62,20.54,29.87,44.5,13.260910987854004,19.75,3.79,5.753908634185791,6.199830532073975,7.51
2004-04-20,18.67,7.24,8.37,1.367,2.9981532096862797,14.53,7.590881824493408,1.28,4608.7958984375,0.462,46.37,7.30161190032959,6.213,15.12,13.799850463867188,20.44,5.52,3.72,3.9400713443756095,3.7543227672576895,0.8892459273338318,2.6528899669647217,5.192292213439941,3.696478843688965,3.227104425430298,3.96,4.77271032333374,90.36,3.04,30.95,26.11,21.79,19.92,29.52,41.48,12.7757568359375,19.4,3.85,5.5890398025512695,6.000623226165772,7.45
2004-04-22,19.38,7.36,8.61,1.353,2.9924533367156982,14.56,7.474989891052246,1.26,4617.7451171875,0.466,47.07,7.256526947021484,6.128,14.78,13.901444435119627,20.69,5.81,3.88,3.784921169281006,3.658671140670776,0.8731263279914856,2.6033849716186523,5.221136569976807,3.6828224658966064,3.329758405685425,3.86,4.674394130706787,88.65,3.02,31.87,25.72,23.27,19.92,29.5,40.05,12.7757568359375,19.91,3.89,5.394495487213135,5.781088829040527,7.13
2004-04-23,19.91,7.32,8.61,1.374,,14.42,7.474989891052246,1.28,4617.7451171875,0.472,48.03,7.256526947021484,6.435,15.83,13.901444435119627,20.38,6.04,4.09,3.784921169281006,3.658671140670776,0.8731263279914856,2.6033849716186523,,3.6828224658966064,3.329758405685425,3.9,,91.04,3.14,31.86,27.33,21.99,20.17,29.91,40.55,12.7757568359375,21.38,4.0,5.394495487213135,5.781088829040527,7.3
2004-04-26,19.56,7.24,8.4,1.353,2.993877410888672,14.27,7.764719009399414,1.26,4474.5595703125,0.468,48.03,7.47336483001709,6.443,15.23,13.969172477722168,20.71,5.85,3.99,3.9225547313690186,3.713192939758301,0.8489478826522827,2.556004047393799,5.1351728439331055,3.650953769683838,3.294761896133423,3.92,4.871029853820801,91.22,3.03,31.39,27.09,21.89,20.04,29.8,42.65,12.7757568359375,21.26,4.05,5.770394802093506,5.732302188873291,7.16
2004-04-27,20.52,7.68,8.35,1.353,2.963953018188477,14.48,7.996501922607422,1.27,4519.3046875,0.475,47.07,7.514156818389893,6.443,15.38,13.918380737304688,20.2,5.7,4.05,3.9256842136383057,3.648627996444702,0.8382008075714111,2.525595188140869,5.186071872711182,3.696478843688965,3.370197534561157,4.02,4.879578590393066,91.2,3.0,31.29,25.37,21.81,20.04,29.81,41.73,12.937472343444824,20.04,3.87,5.770394802093506,5.7729573249816895,7.26
2004-04-28,20.02,7.64,8.05,1.278,2.8243050575256348,13.89,7.532934665679932,1.2,4286.6279296875,0.466,44.01,7.041836738586426,5.975,14.28,13.63052463531494,20.19,5.5,4.08,3.866250514984131,3.615628242492676,0.8113364577293396,2.4398224353790283,5.061652660369873,3.598149299621582,3.2029964923858643,3.91,4.644468784332275,85.72,2.93,30.01,23.59,20.84,19.21,28.68,39.97,12.193572998046877,18.33,3.78,5.391198635101318,5.407473087310791,6.89
2004-04-29,19.3,7.51,7.77,1.223,2.7074573040008545,13.89,6.965066909790039,1.22,4206.08447265625,0.449,42.88,6.6553955078125,5.796,13.29,13.207220077514648,19.21,5.52,3.95,3.807443141937256,3.539107084274292,0.7764105796813965,2.343846321105957,4.807156085968018,3.414235830307007,3.0876407623291016,3.87,4.445695877075195,79.44,2.87,29.71,22.94,20.53,19.06,27.41,38.38,11.595211029052734,17.89,3.85,4.937808990478516,5.407878398895264,6.88
2004-04-30,20.27,7.46,7.84,1.209,2.721707344055176,13.52,6.721695899963379,1.13,4107.64599609375,0.431,41.13,6.526580810546875,5.634,13.29,12.275938987731934,18.24,5.52,4.07,3.87876033782959,3.563019037246704,0.7656646966934204,2.353949546813965,4.77887773513794,3.4005777835845947,3.0876407623291016,3.93,3.975478887557984,78.48,2.81,29.53,22.43,20.39,18.4,28.12,37.96,11.352630615234377,17.72,3.76,4.781185150146484,5.297703742980957,6.65
2004-05-03,20.02,7.65,8.14,1.216,2.6860830783843994,13.27,6.537429332733154,1.12,4027.103271484375,0.447,41.13,6.395620822906494,5.805,13.42,12.267475128173828,19.57,5.54,4.0,3.94132399559021,4.069255828857422,0.7710380554199219,2.3893074989318848,4.891986846923828,3.432445287704468,3.094640254974365,3.99,3.875022649765015,77.06,2.87,30.34,22.0,20.09,18.53,27.29,37.54,11.32028865814209,17.74,3.79,4.805915355682373,5.3257551193237305,6.68
2004-05-04,19.73,7.78,8.14,1.244,2.7074573040008545,13.42,6.675340175628662,1.16,4086.16796875,0.461,41.72,6.419235706329346,5.847,13.63,12.496063232421877,19.4,5.54,3.93,3.99762773513794,4.122103214263916,0.7844706177711487,2.4297196865081787,5.022063732147217,3.5553576946258545,3.235398769378662,3.9,4.146466255187988,80.96,2.93,29.92,22.75,20.39,18.69,27.71,36.45,11.643721580505373,17.89,3.64,4.997162342071533,5.52089786529541,6.84
2004-05-05,19.82,7.62,8.11,1.244,2.8357062339782715,13.32,6.677657604217529,1.14,4009.2041015625,0.449,42.44,6.464320182800293,5.779,13.42,12.36060619354248,19.13,5.52,3.9,3.966346740722656,4.122103214263916,0.7952171564102173,2.427698373794556,5.186071872711182,3.600880622863769,3.3411636352539062,3.97,4.127229690551758,83.43,2.93,29.58,22.8,20.39,18.66,27.56,36.7,11.51435089111328,18.19,3.74,5.092785358428955,5.56968355178833,6.96
2004-05-06,20.08,7.71,7.8,1.216,2.7174320220947266,12.68,6.130651950836182,1.09,3705.829833984375,0.426,40.51,6.290421009063721,5.507,12.48,11.852632522583008,18.52,5.58,3.76,3.7536392211914062,3.8895750045776367,0.7683517932891846,2.3590002059936523,4.852400779724121,3.378272533416748,3.22580885887146,3.77,3.84723687171936,79.91,2.8,28.75,22.25,19.54,17.83,26.45,34.69,10.996849060058594,17.28,3.57,4.814156532287598,5.387552261352539,6.88
2004-05-07,19.22,7.77,7.84,1.189,2.664708614349365,12.76,5.678674697875977,1.06,3696.880859375,0.415,39.38,5.700023651123047,5.115,10.78,11.861101150512695,18.52,5.62,3.52,3.548441171646118,3.782822370529175,0.760291576385498,2.324651002883911,4.679905891418457,3.2594566345214844,3.120044231414795,3.74,3.69334888458252,77.19,2.9,28.08,21.6,18.89,17.49,25.45,33.68,10.835134506225586,16.56,3.38,4.476177215576172,5.285507678985596,6.71
2004-05-10,17.36,7.22,7.71,1.114,2.550710201263428,12.57,4.867434978485107,0.99,3490.155029296875,0.401,36.74,5.281378269195557,4.86,9.63,11.260002136230469,18.03,5.66,3.09,3.1593146324157715,3.4985034465789795,0.7414860129356384,2.252922296524048,4.4994964599609375,3.136545181274414,3.0311295986175537,3.47,3.404804944992065,76.41,2.76,26.97,19.31,17.65,16.69,23.41,31.34,10.673415184020996,15.71,3.06,3.9057328701019287,5.285102367401123,6.58
2004-05-11,18.92,7.62,7.96,1.168,2.678959369659424,12.68,5.089946269989014,1.1,3860.649169921875,0.444,38.43,5.796633720397949,5.234,10.07,11.852632522583008,18.77,5.64,3.23,3.3169665336608887,3.71940541267395,0.7656646966934204,2.3711228370666504,4.841086864471436,3.382824182510376,3.1337833404541016,3.78,3.618540048599243,78.0,2.92,27.68,21.1,18.51,17.44,24.6,33.52,11.32028865814209,16.15,3.14,4.28657865524292,5.500977993011475,6.72
2004-05-12,19.46,7.71,7.92,1.196,2.7003307342529297,12.49,5.180342197418213,1.13,3758.630615234375,0.424,38.85,5.710758686065674,5.056,9.4,12.064287185668944,19.0,5.54,3.01,3.4033002853393555,3.8039610385894775,0.7629783749580383,2.3140430450439453,4.835431098937988,3.373720169067383,3.041757583618164,3.74,3.533046245574951,77.52,2.99,27.71,20.97,18.23,17.05,24.42,34.69,10.996849060058594,15.47,3.09,4.434961318969727,5.468047618865967,6.71
2004-05-13,20.18,7.69,8.05,1.237,2.714582681655884,12.24,5.435303688049316,1.23,3803.37646484375,0.426,39.11,5.474599361419678,4.902,9.67,12.52146053314209,19.53,5.46,2.9,3.442087411880493,3.805019855499268,0.7764105796813965,2.353949546813965,4.886897563934326,3.423340082168579,2.9264028072357178,3.81,3.5693812370300293,77.15,2.95,28.08,20.94,17.92,16.8,23.99,35.95,10.676648139953612,15.44,3.04,4.294822692871094,5.813610553741455,7.15
2004-05-14,20.97,7.56,8.04,1.209,2.828580856323242,12.21,5.562782764434815,1.21,3691.510986328125,0.433,42.34,5.586238861083984,5.132,9.95,12.690784454345703,19.85,5.52,2.94,3.465861558914185,3.8039610385894775,0.7979034781455994,2.374152898788452,4.644843101501465,3.332293748855591,2.9956157207489014,3.77,3.4988484382629395,78.29,3.03,28.26,22.25,18.23,17.08,24.75,36.04,10.996849060058594,16.88,3.36,4.270092487335205,5.667255401611328,6.94
2004-05-17,20.52,7.32,7.84,1.196,2.878457307815552,12.01,5.13398551940918,1.15,3565.3291015625,0.417,42.18,5.388722896575928,4.911,9.46,11.937292098999023,18.52,5.54,2.79,3.440837860107422,3.614767789840698,0.7979034781455994,2.343846321105957,4.513071060180664,3.2162110805511475,2.837228298187256,3.84,3.4774744510650635,78.28,2.99,27.93,21.57,18.16,16.73,24.42,36.04,10.835134506225586,16.24,3.15,4.296471118927002,5.56968355178833,6.72
2004-05-18,21.15,7.3,8.14,1.209,2.8642053604125977,12.08,5.044748783111572,1.22,3525.9521484375,0.411,42.88,5.603413105010986,4.928,9.67,11.683308601379396,18.62,5.54,2.9,3.629770278930664,3.783880472183228,0.8059626221656799,2.414565324783325,4.530035972595215,3.241246700286865,2.822711706161499,3.96,3.789528846740722,81.9,3.04,28.72,22.4,18.8,17.31,24.88,35.78,10.996849060058594,16.98,3.24,4.583341121673584,5.939641952514648,7.24
2004-05-19,21.35,7.26,8.26,1.244,2.821455955505371,12.32,4.926539897918701,1.24,3624.3935546875,0.405,42.96,5.560475826263428,4.8,9.63,11.386991500854492,18.3,5.56,2.9,3.703591346740722,3.910714626312256,0.8382008075714111,2.520644426345825,4.524380683898926,3.244434595108032,2.835413932800293,4.01,3.975478887557984,81.9,3.07,28.9,22.83,18.99,17.48,25.39,35.11,10.679883003234863,17.32,3.18,4.5437750816345215,6.098194122314453,7.38
2004-05-20,20.63,7.2,8.31,1.244,2.750205993652344,12.1,4.763133525848389,1.26,3346.970703125,0.381,41.29,5.152564525604248,4.536,9.23,11.640979766845703,18.56,5.59,2.76,3.7223594188690186,3.9096567630767822,0.8355149626731873,2.4852852821350098,4.484792232513428,3.1456499099731445,2.696987628936768,3.9,3.924181461334229,80.37,2.94,29.33,22.16,18.51,17.16,24.19,34.69,10.996849060058594,16.68,3.09,4.469583511352539,6.0977864265441895,7.39
2004-05-21,20.34,7.12,8.72,1.264,2.7359559535980225,12.47,4.671579360961914,1.32,3302.224853515625,0.386,40.51,5.330756664276123,4.681,8.71,11.666377067565918,18.28,5.64,2.79,3.642282485961914,3.857866764068604,0.8355149626731873,2.4754843711853027,4.329267501831055,3.059610605239868,2.7433886528015137,3.74,3.990439176559448,79.5,2.94,30.34,21.88,18.42,17.42,24.79,35.11,10.867477416992188,16.43,3.15,4.449799537658691,6.142914772033691,7.45
2004-05-24,20.27,7.25,8.65,1.278,2.765880823135376,12.32,4.637969493865967,1.3,3427.51171875,0.377,39.81,5.667819976806641,5.013,8.98,11.725641250610352,18.41,5.75,2.87,3.7536392211914062,3.910714626312256,0.8435744643211365,2.4903359413146973,4.655588626861572,3.250352144241333,2.7420926094055176,3.81,4.046010971069336,81.34,2.9,30.66,22.02,18.8,17.55,24.95,35.95,10.867477416992188,16.84,3.25,4.583341121673584,6.240484714508057,7.57
2004-05-25,20.18,7.62,8.58,1.298,2.7844059467315674,12.56,4.936970233917236,1.28,3517.0029296875,0.386,39.63,5.796633720397949,5.158,9.41,12.123553276062012,18.97,5.81,2.86,3.7661521434783936,3.963561534881592,0.859693706035614,2.566107988357544,4.580935955047607,3.209381580352783,2.697246789932251,3.76,4.046010971069336,81.81,3.0,30.35,22.29,18.8,17.87,24.93,36.11,11.1553316116333,17.1,3.29,4.6146674156188965,6.199830532073975,7.64
2004-05-26,20.34,7.87,8.78,1.319,2.778706312179565,12.77,5.099218845367432,1.33,3713.883544921875,0.397,41.13,5.79878044128418,5.217,9.7,12.157413482666016,19.21,5.85,2.9,3.847482681274414,3.9952704906463614,0.865066409111023,2.5913636684417725,4.558880805969238,3.202097177505493,2.7651636600494385,3.79,4.069521427154541,82.76,3.01,30.66,22.4,18.8,17.9,25.88,37.03,11.384979248046877,17.08,3.32,4.647641658782959,6.423432350158691,7.77
2004-05-27,20.72,7.98,8.69,1.346,2.9069535732269287,13.07,5.562782764434815,1.35,3928.6630859375,0.433,43.13,6.268953800201416,5.507,10.51,12.589192390441896,19.78,5.83,3.12,4.103978633880615,4.174952507019043,0.8973053693771362,2.6469297409057617,4.631834983825684,3.2863166332244877,2.834376573562622,3.82,4.169976234436035,83.71,3.05,30.66,23.99,19.27,18.24,27.5,37.96,11.5790376663208,18.14,3.54,4.857025146484375,6.545395374298096,7.97
2004-05-28,20.87,8.15,8.53,1.325,2.971077442169189,13.15,5.620728969573975,1.39,3834.697265625,0.418,43.05,6.140139579772949,5.515,10.77,12.546857833862305,19.78,5.75,3.2,4.066444396972656,4.206658840179443,0.8946188688278198,2.6469297409057617,4.530035972595215,3.2321431636810303,2.7602384090423584,3.78,4.103719711303711,82.8,3.02,30.91,23.35,19.41,18.45,27.71,36.54,11.656667709350586,18.08,3.47,4.8801045417785645,6.382774829864502,7.78
2004-05-31,20.34,8.14,8.63,1.319,2.963953018188477,12.94,5.377357006072998,1.35,3892.866455078125,0.417,41.72,6.140139579772949,5.49,10.8,12.047357559204102,19.35,5.83,3.07,4.103978633880615,4.211944580078125,0.8811858892440796,2.6469297409057617,4.552093029022217,3.267651081085205,2.7327606678009038,3.81,3.12053656578064,81.81,3.01,31.23,22.68,19.29,18.29,27.14,36.28,11.676061630249023,17.79,3.43,4.888349533081055,6.387248992919922,7.85
2004-06-01,20.34,8.26,8.9,1.353,2.949702262878418,12.79,5.610298156738281,1.36,3876.7578125,0.424,40.08,6.226014614105225,5.405,10.86,13.029431343078612,20.38,5.83,3.09,4.129003524780273,4.253164291381836,0.8919323682785034,2.677237033843994,4.6940460205078125,3.359607458114624,2.77656888961792,3.81,3.1290862560272217,82.27,2.99,31.99,22.86,18.69,17.84,25.92,36.61,11.676061630249023,17.77,3.24,4.914727210998535,6.382774829864502,7.83
2004-06-02,20.87,8.34,8.98,1.353,3.0209531784057617,12.79,5.806153774261475,1.32,3865.12353515625,0.434,41.82,6.247483253479004,5.439,11.5,13.00403118133545,20.74,5.83,3.16,4.179052352905273,4.312355041503906,0.8999923467636108,2.6923916339874268,4.666334629058838,3.355054378509521,2.86885404586792,3.97,3.148748874664306,84.65,3.04,32.63,23.13,18.51,17.94,26.04,36.95,11.870134353637695,18.01,3.33,4.977378845214844,6.256748199462891,7.64
2004-06-03,20.34,8.32,8.79,1.325,2.938303709030152,12.68,5.806153774261475,1.3,3758.630615234375,0.427,41.38,6.268953800201416,5.345,11.19,12.487593650817873,20.19,5.85,3.06,4.066444396972656,4.143242359161377,0.8919323682785034,2.6570332050323486,4.637489795684815,3.30953311920166,2.81130599975586,3.96,3.154734373092652,82.94,3.04,32.27,22.49,18.09,17.63,25.32,35.35,11.74075698852539,17.63,3.35,4.89659309387207,6.077866077423096,7.5
2004-06-04,20.79,8.34,8.86,1.346,3.0166773796081543,13.33,6.10978889465332,1.32,3946.56103515625,0.444,42.61,6.526580810546875,5.592,11.92,12.868575096130373,20.11,5.83,3.2,4.160284519195557,4.204545497894287,0.9026790857315063,2.681279182434082,4.6092143058776855,3.3136301040649414,2.882594108581543,4.07,3.223129749298096,85.13,3.1,32.35,23.13,18.59,18.02,25.82,36.36,11.902472496032717,18.12,3.39,4.937808990478516,6.240890979766846,7.64
2004-06-07,20.87,8.28,9.09,1.374,3.1135756969451904,13.79,6.356638431549072,1.35,4054.845703125,0.466,43.83,6.827147006988525,5.881,12.96,12.995566368103027,20.78,5.83,3.25,4.251623630523682,4.275357723236084,0.9349167346954346,2.7984697818756104,4.728542804718018,3.389653444290161,3.007021188735962,4.09,3.248778343200684,86.94,3.15,33.11,23.78,19.44,19.02,26.79,36.79,12.290594100952148,18.84,3.4,5.053217887878418,6.525475025177002,7.97
2004-06-08,20.79,8.31,9.06,1.394,3.1207022666931152,13.44,6.211772918701172,1.32,3964.4599609375,0.449,44.08,6.771327495574951,5.72,12.92,13.461204528808594,21.37,5.82,3.17,4.229100227355957,4.227798461914063,0.9268571138381958,2.764122009277344,4.637489795684815,3.3368475437164307,2.983950614929199,4.08,3.197481870651245,88.49,3.15,32.59,24.78,19.1,18.88,26.87,36.19,12.290594100952148,19.35,3.4,4.946052074432373,6.456360816955566,7.91
2004-06-09,20.97,8.32,8.82,1.353,3.092200994491577,13.08,6.02634859085083,1.28,3879.44287109375,0.433,43.66,6.8808183670043945,5.754,12.64,13.36807918548584,20.49,5.82,3.07,4.116493225097656,4.217228889465332,0.9107385277748108,2.7136070728302,4.547003269195557,3.2958755493164062,2.891925096511841,4.08,3.116262197494507,86.76,3.05,31.94,24.16,18.51,18.29,26.43,35.27,12.225915908813477,19.18,3.28,4.8801045417785645,6.159175872802734,7.54
2004-06-11,20.87,8.31,8.96,1.346,3.0352020263671875,13.37,5.99737548828125,1.32,3821.27490234375,0.433,43.65,6.68974494934082,5.668,12.82,13.088693618774414,20.78,5.83,3.07,4.159033298492432,4.221456527709961,0.8946188688278198,2.677237033843994,4.547003269195557,3.2958755493164062,2.8965907096862797,4.09,3.163283586502075,86.68,3.09,32.27,24.08,18.73,18.03,26.16,35.11,12.13211154937744,18.96,3.22,4.947701930999756,6.18356990814209,7.62
2004-06-14,20.27,8.3,8.72,1.305,2.971077442169189,12.81,5.66708517074585,1.28,3767.579345703125,0.426,43.22,6.440705299377441,5.439,12.25,13.198753356933594,20.15,5.83,3.04,4.04892635345459,4.1210455894470215,0.883872926235199,2.626722812652588,4.581501483917236,3.3049798011779785,2.87792706489563,4.09,3.030768632888794,83.72,3.1,31.46,23.96,18.16,17.77,25.35,33.93,12.255016326904297,18.76,3.17,4.946052074432373,6.016884326934815,7.35
2004-06-15,20.72,8.31,8.76,1.374,3.127825975418091,13.31,5.990422248840332,1.27,3938.508056640625,0.449,46.82,6.633925914764404,5.583,12.68,13.461204528808594,20.29,5.87,3.2,4.170292854309082,4.122103214263916,0.9107385277748108,2.6960291862487797,4.767567157745361,3.3983025550842285,2.9608798027038574,4.21,3.0760793685913086,87.41,3.27,32.1,25.08,18.67,18.29,25.92,36.11,12.193572998046877,19.54,3.35,5.09443473815918,5.789625644683838,7.05
2004-06-16,21.78,8.31,8.69,1.374,3.1620264053344727,13.72,6.291739463806152,1.28,4098.69580078125,0.476,49.34,6.526580810546875,5.66,13.06,13.698256492614746,20.88,5.85,3.32,4.366734504699707,4.27007532119751,0.9187979102134703,2.737854480743408,4.789058208465576,3.4119606018066406,2.983950614929199,4.21,3.137635469436645,87.54,3.27,32.1,25.74,19.05,18.53,26.88,37.96,12.581693649291992,20.34,3.56,5.117516040802002,5.612372398376465,6.83
2004-06-17,21.41,8.31,8.79,1.353,3.063702344894409,13.7,6.1538286209106445,1.25,3995.78125,0.465,48.83,6.505113124847412,5.6,13.14,13.537400245666504,20.39,5.83,3.27,4.379247665405273,4.301785945892334,0.905364990234375,2.6873390674591064,4.790189266204834,3.4274373054504395,2.9953556060791016,4.12,3.094888210296631,86.2,3.26,31.86,25.32,19.64,18.88,27.01,36.54,12.581693649291992,20.04,3.47,4.946052074432373,5.757102012634277,7.01
2004-06-18,21.35,8.41,8.72,1.353,3.0850775241851807,13.74,6.049526214599609,1.25,3972.513671875,0.461,48.11,6.483643531799316,5.575,12.65,13.825250625610352,21.1,5.85,3.31,4.566928863525391,4.439188480377197,0.9026790857315063,2.667236328125,4.767567157745361,3.409684181213379,3.064570188522339,4.06,3.0222177505493164,87.99,3.19,31.71,25.37,19.88,18.92,27.51,36.19,12.297069549560549,19.75,3.5,4.92791748046875,5.797348976135254,7.03
2004-06-21,21.67,8.34,8.63,1.374,3.069401264190674,13.56,6.004329204559326,1.21,4045.896728515625,0.461,47.07,6.593135356903076,5.668,12.9,13.232616424560549,20.74,5.91,3.3,4.659517288208008,4.534311771392822,0.921484112739563,2.697946786880493,4.721192836761475,3.361884117126465,2.998467206954956,3.98,2.962372303009033,86.15,3.17,31.23,25.18,19.81,18.91,27.89,37.29,12.61403465270996,19.81,3.5,4.962539196014404,5.72010612487793,6.89
2004-06-22,21.67,8.29,8.63,1.353,3.0352020263671875,13.37,6.25813102722168,1.21,3991.30810546875,0.46,45.49,6.7369771003723145,5.702,12.74,13.164888381958008,20.33,5.99,3.35,4.504368782043457,4.460327625274658,0.905364990234375,2.660061836242676,4.7110114097595215,3.4046761989593506,2.97487735748291,4.02,2.8760225772857666,85.13,3.16,30.82,24.71,19.76,18.98,27.56,36.79,12.290594100952148,19.54,3.46,4.797671318054199,5.732302188873291,6.92
2004-06-23,21.94,8.47,8.4,1.374,3.0793752670288086,13.49,6.350843906402588,1.24,4133.59765625,0.475,48.55,6.97743034362793,5.941,13.23,14.20623016357422,21.27,5.95,3.51,4.698305606842041,4.629439830780029,0.921484112739563,2.6873390674591064,4.942885875701904,3.537148952484131,3.007021188735962,4.05,3.035041570663452,87.27,3.26,30.66,25.63,20.84,19.57,29.22,37.96,12.61403465270996,20.11,3.61,4.962539196014404,5.915247917175293,7.16
2004-06-24,21.15,8.38,8.35,1.374,3.0523035526275635,13.36,6.256972789764404,1.24,4018.15478515625,0.47,46.2,6.6553955078125,5.737,13.19,13.87604522705078,21.09,5.93,3.41,4.692050933837891,4.574477672576904,0.921484112739563,2.712496280670166,4.92026424407959,3.532594680786133,2.9494731426239014,3.99,3.060690402984619,89.4,3.19,30.34,25.13,20.77,19.56,29.2,37.96,12.17092990875244,19.72,3.54,5.06475830078125,6.0575385093688965,7.3
2004-06-25,20.97,8.5,8.35,1.408,3.013829231262207,13.7,6.230316162109375,1.25,4079.90283203125,0.449,44.97,6.749858856201172,5.728,12.75,13.884512901306152,21.37,5.92,3.38,4.605716228485107,4.576591968536377,0.9295442700386048,2.7579596042633057,4.835998058319092,3.464309930801392,2.944807529449463,4.0,3.12053656578064,90.56,3.15,30.53,24.93,21.02,19.76,29.03,37.03,12.3552827835083,19.77,3.46,5.251059055328369,6.187634944915772,7.38
2004-06-28,20.52,8.46,8.37,1.421,3.0209531784057617,13.44,6.23379373550415,1.22,3883.9189453125,0.444,43.66,6.651101112365723,5.6,12.64,13.969172477722168,21.61,5.92,3.53,4.505620002746582,4.512117385864258,0.9295442700386048,2.768061399459839,4.769262790679932,3.414235830307007,2.972804307937622,3.89,3.0179429054260254,87.61,3.17,30.26,24.02,20.35,19.4,28.39,36.45,12.064196586608888,19.4,3.33,5.105975151062012,5.874594211578369,6.92
