,ACES4,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2004-08-17,26.29,9.11,8.76,1.428,3.432769298553467,13.03,7.8574299812316895,1.53,4743.033203125,0.437,51.61,8.686362266540527,7.192,13.22,13.24954891204834,20.92,6.09,3.22,6.241358757019043,6.603576183319092,0.9590960144996644,2.9671878814697266,5.061652660369873,3.637298822402954,3.106304883956909,4.38,3.778841972351074,120.71,3.33,33.84,22.46,22.69,20.4,30.2,32.93,12.969815254211426,16.05,3.14,7.435564994812012,6.8299760818481445,8.33
2004-08-18,27.6,9.15,9.02,1.469,3.3843202590942383,13.82,8.343016624450684,1.6,4976.60595703125,0.446,52.76,9.01698875427246,7.422,13.58,13.36807918548584,20.92,6.09,3.39,6.439031600952148,6.706760406494141,0.9940205812454224,3.0712478160858154,5.08992862701416,3.6759934425354,3.237473726272583,4.41,3.901098489761353,124.33,3.36,34.79,24.66,23.33,21.16,30.99,34.11,13.092727661132812,16.68,3.28,7.691112041473389,6.956413745880127,8.48
2004-08-19,27.98,9.29,8.96,1.51,3.320196390151977,13.62,8.194674491882324,1.59,5186.013671875,0.444,53.46,9.270320892333984,7.609,14.24,13.190287590026855,20.47,6.09,3.34,6.382916450500488,6.603576183319092,1.0047671794891355,3.139945268630981,5.129517555236816,3.732898235321045,3.3152413368225098,4.45,3.902808666229248,125.85,3.4,34.84,24.66,23.71,21.02,30.59,34.18,12.937472343444824,16.91,3.24,7.625165462493896,7.08610200881958,8.57
2004-08-20,29.39,9.23,8.94,1.524,3.352973937988281,13.82,8.479768753051758,1.6,5100.99853515625,0.452,54.19,9.293937683105469,7.575,14.22,13.283413887023926,20.22,6.08,3.43,6.376542568206787,6.6024932861328125,1.023572564125061,3.1543917655944824,5.29352617263794,3.8535349369049072,3.38834285736084,4.59,3.9199063777923584,129.77,3.4,34.91,24.47,23.95,21.42,30.8,34.86,13.228570938110352,17.1,3.39,7.691112041473389,6.988528728485107,8.45
2004-08-23,29.73,9.16,8.63,1.503,3.3771955966949463,13.53,8.556257247924805,1.61,5002.5576171875,0.455,53.89,9.12862777709961,7.354,13.93,13.037898063659668,20.15,6.14,3.34,6.249009609222412,6.513428211212158,1.0074537992477417,3.091553211212158,5.231317520141602,3.82030200958252,3.276616334915161,4.75,3.8130388259887695,128.28,3.37,33.58,23.89,23.97,21.24,30.74,34.27,13.487312316894531,16.84,3.36,7.486678123474121,6.756799697875977,8.13
2004-08-24,30.8,8.85,8.63,1.496,3.408547163009644,13.74,8.575957298278809,1.64,5024.92919921875,0.454,54.07,9.09212875366211,7.303,14.44,13.114092826843262,20.39,6.14,3.31,6.198000431060791,6.560135364532471,1.0074537992477417,3.1197400093078613,5.191728115081787,3.808011293411255,3.340904474258423,4.94,3.761742830276489,129.87,3.37,32.9,24.16,24.48,21.3,30.74,34.44,13.519659042358398,16.54,3.46,7.452054500579834,6.647030830383301,8.09
2004-08-25,31.95,8.94,8.69,1.51,3.474095344543457,14.21,8.807740211486816,1.66,5051.77734375,0.458,53.95,8.802298545837402,7.269,14.59,13.274946212768556,20.68,6.16,3.33,6.130407810211182,6.484105110168457,1.0101399421691897,3.1268115043640137,5.225095272064209,3.8353235721588135,3.2973551750183105,4.94,3.783116817474365,127.34,3.32,32.43,25.16,24.55,21.45,31.02,34.77,13.79457950592041,16.88,3.54,7.4850263595581055,6.786070346832275,8.19
2004-08-26,30.97,8.77,8.63,1.469,3.421372175216675,13.96,8.935219764709473,1.64,4832.5234375,0.447,52.67,8.503877639770508,7.09,14.0,12.893973350524902,20.22,6.15,3.23,6.120204448699951,6.473245620727539,0.9725284576416016,3.0409374237060547,5.08992862701416,3.761122226715088,3.1910712718963623,5.04,3.697622776031494,124.23,3.32,32.27,24.38,24.42,21.17,30.69,33.93,13.260910987854004,15.91,3.53,7.435564994812012,6.739724636077881,8.13
2004-08-27,30.18,8.75,8.65,1.476,3.44274640083313,13.94,9.433552742004396,1.65,4832.5234375,0.455,51.71,8.469527244567871,7.218,14.0,12.851641654968262,20.07,6.14,3.18,6.043684959411621,6.4406609535217285,0.9617825150489808,3.0510411262512207,5.129517555236816,3.766130208969116,3.157113075256348,5.16,3.767728090286255,122.41,3.32,32.09,24.44,24.22,21.12,30.32,35.2,13.57787799835205,15.55,3.4,7.567461967468262,6.839734554290772,8.29
2004-08-30,31.04,8.81,8.76,1.469,3.533944845199585,14.04,9.763842582702637,1.67,4965.86669921875,0.458,52.48,8.6198091506958,7.362,14.73,12.61458683013916,19.67,6.15,3.32,6.108728885650635,6.4406609535217285,0.9805885553359984,3.0459907054901123,5.118206977844238,3.732898235321045,3.2698769569396973,5.11,3.84723687171936,128.24,3.35,32.46,24.38,24.55,21.36,31.41,34.95,13.176817893981934,15.51,3.5,7.526245594024658,6.80680513381958,8.32
