,ACES4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PCAR4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,UBBR11,USIM5,VALE3,VALE5
2004-11-24,29.89,9.63,8.98,1.716,3.8852968215942383,4.468732833862305,14.93,13.860599517822266,1.92,1.7565362453460691,5655.84375,0.529,46.89,8.954728126525879,7.83,15.28,11.513986587524414,19.07,6.41,2.75,5.780491352081299,6.52138090133667,1.0773035287857056,3.399687528610229,51.09,50.34,5.570644378662109,4.078873634338379,3.5482847690582275,5.22,4.146466255187988,125.35,3.77,33.25,24.02,26.21,21.86,35.42,30.58,12.452315330505373,16.15,3.75,7.3,8.18571949005127,8.061813354492188,9.92
2004-11-25,30.3,9.67,9.02,1.736,3.8905749320983887,4.56135368347168,14.94,13.779478073120115,1.96,1.7247599363327026,5727.43408203125,0.549,47.59,9.40342903137207,8.069,15.83,11.49705410003662,18.97,6.43,2.79,5.904387474060059,6.707865715026856,1.085363268852234,3.395545721054077,52.16,51.13,5.822312355041504,4.297384262084961,3.4562599658966064,5.32,4.270432949066162,126.83,3.84,33.1,24.32,27.14,22.46,36.71,31.17,12.559052467346191,16.63,3.74,7.32,8.325858116149902,8.08620548248291,10.01
2004-11-26,31.08,9.88,8.96,1.77,3.852197408676148,4.56135368347168,14.88,13.802651405334473,2.04,1.744532585144043,5727.43408203125,0.557,47.78,9.530096054077148,8.179,16.14,11.844165802001951,19.37,6.44,2.76,5.885027885437012,6.703450202941895,1.1122289896011353,3.46525502204895,52.74,51.03,5.7516188621521,4.270982265472412,3.387305498123169,5.34,4.385850429534912,131.38,3.86,32.57,24.47,27.09,22.42,36.43,31.59,12.61403465270996,16.41,3.75,7.32,8.449506759643555,8.183778762817383,10.03
2004-11-29,30.81,9.81,8.98,1.79,3.837804079055786,4.545680522918701,15.02,13.657792091369627,2.05,1.7473570108413696,5637.94482421875,0.543,46.37,9.231675148010254,8.06,15.66,11.886497497558594,19.46,6.44,2.75,6.00117826461792,6.807172775268555,1.1229753494262695,3.5145559310913086,52.64,51.03,5.697892665863037,4.1995110511779785,3.317833185195923,5.31,4.394400119781494,138.93,3.85,33.09,23.98,26.64,22.15,37.11,32.51,12.69489288330078,16.15,3.65,7.4,8.523696899414062,8.208169937133789,10.03
2004-11-30,31.59,9.82,8.84,1.804,3.876183271408081,4.538554668426514,15.07,13.721531867980955,2.11,1.7410011291503906,5651.3681640625,0.561,46.37,9.446366310119627,8.205,15.78,11.725641250610352,19.27,6.45,2.86,6.318662166595459,7.063173294067383,1.1417813301086426,3.5762829780578613,53.29,51.65,5.777070999145508,4.229099273681641,3.363716125488281,5.46,4.428597450256348,142.95,3.96,33.28,24.35,27.09,22.07,37.03,32.43,12.652847290039062,16.13,3.69,7.42,9.059517860412598,8.122793197631836,10.03
2004-12-01,31.7,9.88,8.78,1.858,3.952938318252564,4.502929210662842,15.02,14.010102272033691,2.08,1.7724246978759766,5691.638671875,0.564,46.29,9.510774612426758,8.128,15.94,11.59864902496338,19.11,6.45,2.87,6.304464817047119,7.0598649978637695,1.1552143096923828,3.647105216979981,53.66,53.57,5.949560642242432,4.356565475463867,3.405710935592652,5.49,4.360202312469482,141.95,4.01,34.22,23.92,27.16,22.21,36.88,32.25,12.934240341186523,15.91,3.63,7.73,8.853434562683105,8.136211395263672,10.04
2004-12-02,31.48,9.94,8.74,1.941,4.053680896759033,4.574178695678711,14.93,14.253475189208984,2.07,1.7989051342010498,5758.7587890625,0.561,45.15,9.81134033203125,8.418,15.41,11.82723617553711,19.15,6.45,2.87,6.16766357421875,6.962760925292969,1.1793928146362305,3.727926731109619,53.13,54.72,5.802518367767334,4.274622917175293,3.481665134429932,5.64,4.2747087478637695,138.94,3.91,34.24,24.02,27.09,22.19,36.88,32.43,13.205931663513184,15.71,3.61,7.79,8.586349487304688,8.049617767333984,9.83
2004-12-03,32.07,10.0,8.78,1.975,4.1400322914123535,4.60267972946167,15.03,14.718195915222168,2.08,1.8444515466690063,5951.1630859375,0.577,44.62,10.391002655029297,8.937,15.93,11.742573738098145,18.95,6.46,2.87,6.338019847869873,7.041104793548584,1.203571319580078,3.783391714096069,51.51,55.49,5.784987449645996,4.2477641105651855,3.4793312549591064,5.57,4.37730073928833,141.95,4.09,34.18,23.86,27.66,22.29,37.46,32.01,13.25444507598877,15.19,3.57,7.87,8.769350051879883,8.061813354492188,9.8
2004-12-06,32.27,10.49,8.78,2.009,4.144829273223877,4.745176315307617,15.16,14.718195915222168,2.08,1.8889394998550413,6084.5068359375,0.585,43.84,10.068967819213867,8.741,15.75,11.852632522583008,19.27,6.47,2.86,6.252840042114258,6.993656158447266,1.2062573432922363,3.859161615371704,51.03,55.61,5.8647284507751465,4.286003589630127,3.4679250717163086,5.46,4.334553241729736,138.17,4.22,34.57,23.89,28.36,22.53,39.01,32.68,13.357938766479492,15.12,3.72,7.97,8.721539497375488,7.952042102813721,9.8
2004-12-07,31.74,10.42,8.63,1.995,4.00954532623291,4.716677188873291,15.02,14.463236808776855,2.01,1.864223957061768,5754.283203125,0.538,44.52,9.08139419555664,7.941,15.16,11.852632522583008,19.23,6.47,2.5,5.968912601470947,6.775172233581543,1.1901386976242063,3.793595314025879,51.89,54.65,5.740307807922363,4.229099273681641,3.3709754943847656,5.29,4.048148155212402,136.03,4.13,34.15,23.96,28.17,22.15,38.86,32.51,13.390283584594728,15.15,3.79,7.97,8.31761360168457,7.952042102813721,9.67
