,ACES4,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2004-05-03,20.02,7.65,8.14,1.216,2.6860830783843994,13.27,6.537429332733154,1.12,4027.103271484375,0.447,41.13,6.395620822906494,5.805,13.42,12.267475128173828,19.57,5.54,4.0,3.94132399559021,0.7710380554199219,2.3893074989318848,4.891986846923828,3.432445287704468,3.094640254974365,3.875022649765015,77.06,2.87,30.34,22.0,20.09,18.53,27.29,37.54,11.32028865814209,17.74,3.79,4.805915355682373,5.3257551193237305,6.68
2004-05-04,19.73,7.78,8.14,1.244,2.7074573040008545,13.42,6.675340175628662,1.16,4086.16796875,0.461,41.72,6.419235706329346,5.847,13.63,12.496063232421877,19.4,5.54,3.93,3.99762773513794,0.7844706177711487,2.4297196865081787,5.022063732147217,3.5553576946258545,3.235398769378662,4.146466255187988,80.96,2.93,29.92,22.75,20.39,18.69,27.71,36.45,11.643721580505373,17.89,3.64,4.997162342071533,5.52089786529541,6.84
2004-05-05,19.82,7.62,8.11,1.244,2.8357062339782715,13.32,6.677657604217529,1.14,4009.2041015625,0.449,42.44,6.464320182800293,5.779,13.42,12.36060619354248,19.13,5.52,3.9,3.966346740722656,0.7952171564102173,2.427698373794556,5.186071872711182,3.600880622863769,3.3411636352539062,4.127229690551758,83.43,2.93,29.58,22.8,20.39,18.66,27.56,36.7,11.51435089111328,18.19,3.74,5.092785358428955,5.56968355178833,6.96
2004-05-06,20.08,7.71,7.8,1.216,2.7174320220947266,12.68,6.130651950836182,1.09,3705.829833984375,0.426,40.51,6.290421009063721,5.507,12.48,11.852632522583008,18.52,5.58,3.76,3.7536392211914062,0.7683517932891846,2.3590002059936523,4.852400779724121,3.378272533416748,3.22580885887146,3.84723687171936,79.91,2.8,28.75,22.25,19.54,17.83,26.45,34.69,10.996849060058594,17.28,3.57,4.814156532287598,5.387552261352539,6.88
2004-05-07,19.22,7.77,7.84,1.189,2.664708614349365,12.76,5.678674697875977,1.06,3696.880859375,0.415,39.38,5.700023651123047,5.115,10.78,11.861101150512695,18.52,5.62,3.52,3.548441171646118,0.760291576385498,2.324651002883911,4.679905891418457,3.2594566345214844,3.120044231414795,3.69334888458252,77.19,2.9,28.08,21.6,18.89,17.49,25.45,33.68,10.835134506225586,16.56,3.38,4.476177215576172,5.285507678985596,6.71
2004-05-10,17.36,7.22,7.71,1.114,2.550710201263428,12.57,4.867434978485107,0.99,3490.155029296875,0.401,36.74,5.281378269195557,4.86,9.63,11.260002136230469,18.03,5.66,3.09,3.1593146324157715,0.7414860129356384,2.252922296524048,4.4994964599609375,3.136545181274414,3.0311295986175537,3.404804944992065,76.41,2.76,26.97,19.31,17.65,16.69,23.41,31.34,10.673415184020996,15.71,3.06,3.9057328701019287,5.285102367401123,6.58
2004-05-11,18.92,7.62,7.96,1.168,2.678959369659424,12.68,5.089946269989014,1.1,3860.649169921875,0.444,38.43,5.796633720397949,5.234,10.07,11.852632522583008,18.77,5.64,3.23,3.3169665336608887,0.7656646966934204,2.3711228370666504,4.841086864471436,3.382824182510376,3.1337833404541016,3.618540048599243,78.0,2.92,27.68,21.1,18.51,17.44,24.6,33.52,11.32028865814209,16.15,3.14,4.28657865524292,5.500977993011475,6.72
2004-05-12,19.46,7.71,7.92,1.196,2.7003307342529297,12.49,5.180342197418213,1.13,3758.630615234375,0.424,38.85,5.710758686065674,5.056,9.4,12.064287185668944,19.0,5.54,3.01,3.4033002853393555,0.7629783749580383,2.3140430450439453,4.835431098937988,3.373720169067383,3.041757583618164,3.533046245574951,77.52,2.99,27.71,20.97,18.23,17.05,24.42,34.69,10.996849060058594,15.47,3.09,4.434961318969727,5.468047618865967,6.71
2004-05-13,20.18,7.69,8.05,1.237,2.714582681655884,12.24,5.435303688049316,1.23,3803.37646484375,0.426,39.11,5.474599361419678,4.902,9.67,12.52146053314209,19.53,5.46,2.9,3.442087411880493,0.7764105796813965,2.353949546813965,4.886897563934326,3.423340082168579,2.9264028072357178,3.5693812370300293,77.15,2.95,28.08,20.94,17.92,16.8,23.99,35.95,10.676648139953612,15.44,3.04,4.294822692871094,5.813610553741455,7.15
2004-05-14,20.97,7.56,8.04,1.209,2.828580856323242,12.21,5.562782764434815,1.21,3691.510986328125,0.433,42.34,5.586238861083984,5.132,9.95,12.690784454345703,19.85,5.52,2.94,3.465861558914185,0.7979034781455994,2.374152898788452,4.644843101501465,3.332293748855591,2.9956157207489014,3.4988484382629395,78.29,3.03,28.26,22.25,18.23,17.08,24.75,36.04,10.996849060058594,16.88,3.36,4.270092487335205,5.667255401611328,6.94
