,VIVO4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,ENBR3,GFSA3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,RENT3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,POSI3,RDCD3,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2008-02-14,34.54,21.3,12.21,6.015,16.02283477783203,12.07668685913086,49.36,22.89,6.411145210266113,4.081519603729248,2.614363670349121,22.182,1.155,4.065509796142578,6.915857315063477,15.983742713928224,35.35,10.04750156402588,9.405,16.703746795654297,3.412285089492798,657.1290283203125,17.386669158935547,19.97599220275879,32.2103271484375,,2.449291229248047,8.09839153289795,3.4016895294189453,0.7568354606628418,12.40462589263916,3.512578010559082,2.758,3.559883117675781,5.35,20.71,23.36,54.4,22.83229255676269,17.02715492248535,19.171998977661133,25.559999465942383,474.8247375488281,7.933860778808594,9.8,15.465897560119627,6.22,36.26,53.8,45.61,27.11,58.43,6.17,21.6,24.939022064208984,22.9746036529541,27.47114372253418,31.01,20.08
2008-02-15,34.48,21.16,12.08,6.049,15.658243179321287,12.204930305480955,48.58,22.61,6.361056327819824,4.07445764541626,2.607685089111328,22.182,1.142,4.141672134399414,6.843817234039307,16.04767608642578,35.43,10.04750156402588,9.26,16.255043029785156,3.336456775665283,631.8295288085938,17.386669158935547,19.856557846069336,30.60839080810547,,2.498277187347412,8.223670959472656,3.512614488601685,0.7308232188224792,12.399553298950195,3.453376293182373,2.754,3.5562915802001958,5.24,19.81,23.62,53.01,22.59475517272949,16.87834358215332,19.95497703552246,25.0,419.35455322265625,7.848779201507568,9.86,15.773670196533203,6.22,34.92,51.94,44.23,26.45,58.33,5.99,21.32,25.141191482543945,23.223241806030277,26.93939018249512,30.41,20.07
2008-02-18,34.9,21.75,12.53,6.178,16.425804138183594,12.653803825378418,49.75,23.35,6.446205139160156,4.081519603729248,2.6494719982147217,22.165,1.171,4.280285835266113,6.899391174316406,16.495222091674805,36.57,10.296539306640623,9.558,16.17037582397461,3.490975141525269,659.4290161132812,17.386669158935547,20.27459144592285,30.62746238708496,,2.559509754180908,8.476240158081055,3.697488307952881,0.7370166182518005,12.729193687438965,3.394176959991455,2.856,3.7071645259857178,5.27,20.75,23.58,54.32,23.042675018310547,17.31661033630371,20.96479797363281,,428.0079040527344,7.8913187980651855,10.06,16.337934494018555,6.41,35.0,54.21,43.14,26.16,57.0,5.96,22.08,25.205984115600582,23.136219024658203,28.095598220825195,31.95,20.62
2008-02-19,33.31,21.43,12.2,6.083,16.233915328979492,12.846173286437988,48.45,22.16,6.491283893585205,4.075870990753174,2.582611083984375,22.088,1.142,4.067033767700195,6.89527702331543,16.757354736328125,35.16,10.309422492980955,9.575,16.001056671142578,3.390823602676392,657.1290283203125,17.386669158935547,20.095434188842773,29.101810455322266,,2.498277187347412,8.245892524719238,3.793622732162476,0.7258684039115906,12.34376621246338,3.453376293182373,2.877,3.783796787261963,5.19,20.15,22.47,53.03,23.05172348022461,17.38795280456543,21.00139045715332,25.0,440.5441589355469,7.8083648681640625,9.68,16.932971954345703,6.21,32.42,55.5,43.89,25.79,57.39,5.85,21.84,25.08935546875,23.198381423950195,28.251724243164062,31.78,20.35
2008-02-20,33.88,21.65,12.5,6.213,16.65607261657715,13.205269813537598,48.89,22.42,6.866936206817627,4.2919511795043945,2.6327595710754395,23.053,1.181,4.188890933990479,7.101102828979492,16.69342041015625,34.37,10.562756538391112,9.686,16.42436408996582,3.5181586742401123,661.4004516601562,17.386669158935547,20.498538970947266,29.83603286743164,,2.559509754180908,8.445929527282715,4.045051574707031,0.7456875443458557,12.55169677734375,3.650712966918945,3.004,3.708359956741333,5.3,20.25,22.56,55.15,23.31187629699707,17.428726196289062,21.769731521606445,24.899999618530277,437.2159423828125,7.997671127319336,9.92,17.54340171813965,6.23,32.64,56.2,44.48,27.78,58.33,5.96,22.18,26.437129974365234,24.37943649291992,29.271339416503903,32.86,21.05
2008-02-21,35.65,21.57,12.51,6.185,16.771209716796875,13.551538467407228,47.44,22.38,7.002171039581299,4.07445764541626,2.5917983055114746,22.562,1.184,4.303134441375732,7.226658344268799,16.2075138092041,36.0,10.755976676940918,9.856,16.42436408996582,3.446622371673584,657.7861328125,17.386669158935547,20.752351760864254,28.89203453063965,,2.55216121673584,8.38531494140625,4.052446842193604,0.7320617437362671,12.495909690856934,3.621111869812012,3.041,3.693992137908936,5.27,20.0,22.76,56.11,22.952186584472656,17.12499237060547,20.48916244506836,26.290000915527344,419.0216979980469,8.063611030578613,9.85,17.953773498535156,6.22,32.02,57.31,45.92,27.7,58.53,6.05,22.28,27.86265754699707,25.72955894470215,29.17375946044922,32.75,21.76
2008-02-22,35.9,21.98,12.31,6.336,16.96309471130371,13.316413879394531,48.87,22.19,7.347772121429443,4.109766006469727,2.641110181808472,23.053,1.19,4.2955169677734375,7.317224502563477,16.942766189575195,35.52,11.33563995361328,10.41,16.50055503845215,3.626894950866699,656.800537109375,17.386669158935547,20.961360931396484,28.88249969482422,,2.5986993312835693,8.583329200744629,4.207742214202881,0.7345392107963562,13.261689186096191,3.7691149711608887,3.156,4.02327823638916,5.34,19.92,22.99,56.45,22.88432502746582,17.184112548828125,20.328174591064453,26.600000381469727,412.6981201171875,8.252917289733887,10.2,17.256139755249023,6.25,33.36,55.9,46.69,27.95,60.05,6.14,22.52,28.640226364135746,26.035388946533203,29.61283493041992,33.46,22.09
2008-02-25,37.66,22.34,12.64,6.472,17.116609573364258,12.824803352355955,47.66,22.01,7.277650833129883,4.101291656494141,2.666184425354004,23.154,1.199,4.230018615722656,7.409847259521484,16.87883186340332,34.15,11.722082138061523,10.682,16.76300811767578,3.762814283370972,666.0003051757812,17.484251022338867,21.400371551513672,29.17809295654297,,2.6563971042633057,8.647984504699707,4.363035678863525,0.7506421804428101,12.932049751281738,3.707939863204956,3.189,4.16696834564209,5.5,19.2,22.74,57.11,23.072078704833984,17.173919677734375,20.174501419067383,27.450000762939453,410.368408203125,8.399683952331543,10.2,16.658536911010742,6.33,33.81,56.8,47.93,29.08,62.43,6.41,22.57,28.640226364135746,26.231821060180664,29.61283493041992,33.49,21.33
2008-02-26,38.0,22.76,12.26,6.739,17.30466079711914,12.187832832336426,48.21,21.72,7.337754726409912,4.145072937011719,2.7288753986358643,22.951,1.223,4.339692115783691,7.615677833557129,17.10260581970215,33.41,11.567505836486816,10.801,16.873071670532227,3.862964391708374,681.4428100585938,17.484251022338867,22.41672134399414,28.79668235778809,,2.727463722229004,8.892471313476562,4.584885120391846,0.7382550239562988,13.185619354248049,3.751353263854981,3.074,4.190914154052734,5.62,19.4,23.56,57.6,23.12185287475586,17.20449447631836,19.391525268554688,29.0,412.6981201171875,8.212503433227539,9.99,16.132749557495117,6.48,33.1,55.84,48.08,28.67,64.02,6.42,22.62,28.19700813293457,26.070207595825195,29.61283493041992,33.46,20.72
2008-02-27,37.54,23.11,12.39,6.808,17.18568992614746,12.07668685913086,48.79,22.81,7.513059616088867,4.07445764541626,2.7021291255950928,22.951,1.236,4.394528388977051,7.757698535919189,17.47981834411621,31.8,11.249763488769531,10.631,16.76300811767578,3.8486578464508057,714.9564208984375,17.484251022338867,22.642236709594727,28.79668235778809,,2.800980806350708,9.017744064331056,4.725390434265137,0.7432100176811218,13.058833122253418,3.828315496444702,3.111,4.160979747772217,5.68,19.0,24.11,58.72,23.501895904541016,17.469491958618164,20.06473922729492,27.299999237060547,421.5733947753906,8.57197380065918,9.65,15.942953109741213,6.8,33.54,56.3,47.03,28.64,64.5,6.63,23.09,27.37019920349121,25.286977767944336,29.520132064819336,33.57,20.11
