,VIVO4,AMBV4,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,GVTT3,ITSA4,ITUB4,JBSS3,PRML3,LAME4,LREN3,MMXM3,MRVE3,NATU3,NETC4,OGXP3,PCAR5,PDGR3,PETR3,PETR4,RDCD3,RSID3,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2009-08-31,37.67,24.11,7.165976524353027,5.967,11.225578308105469,11.368134498596191,5.465686798095703,18.808895111083984,4.781517505645752,2.899168968200684,9.737,5.054360866546631,1.358,3.2173352241516118,7.97458028793335,15.146191596984863,12.688929557800291,11.039,8.761503219604492,24.053211212158203,613.78564453125,15.289831161499023,17.307071685791016,16.657623291015625,33.6,2.7255451679229736,8.884895324707031,6.045567989349365,25.18312644958496,2.265,3.721941947937012,1056.8897705078125,5.539691925048828,10.99,19.83,1025.0,46.5,2959.903076171875,17.304492950439453,13.130670547485352,25.799999237060547,273.65875244140625,13.424498558044434,9.18,22.12,26.47,3.83,18.53426742553711,17.789522171020508,18.3923454284668,22.54,13.4
2009-09-01,36.39,23.48,6.937797546386719,5.905,11.052878379821776,11.18996238708496,5.31937837600708,18.4730224609375,4.735320091247559,2.852156162261963,9.678,4.949831485748291,1.343,3.1716127395629883,7.912221431732178,14.129626274108888,12.541544914245604,11.014,8.657613754272461,23.472532272338867,592.2138061523438,15.04031467437744,16.949899673461914,17.320087432861328,33.4,2.690016031265259,8.62651252746582,5.875487327575684,24.596336364746094,2.245,3.6522328853607178,1044.3077392578125,5.143767833709717,10.96,19.66,1022.0,45.85,2723.751953125,17.2122802734375,13.22272491455078,25.549999237060547,262.67584228515625,13.309478759765623,9.07,22.24,25.73,3.87,18.559289932250977,17.52850341796875,18.33216667175293,22.33,12.85
2009-09-02,36.07,23.37,6.795957088470459,5.851,10.96461009979248,11.08566665649414,5.193970680236816,18.45063018798828,4.612124443054199,2.797826766967773,9.838,4.916011333465576,1.331,3.1472272872924805,7.806694507598877,13.432737350463867,12.44021701812744,10.912,8.571036338806152,23.227174758911133,560.5301513671875,14.728419303894045,16.599002838134766,16.87844467163086,33.4,2.656179904937744,8.601507186889648,5.9759907722473145,25.18312644958496,2.175,3.6036856174468994,1045.56591796875,4.932824611663818,10.91,19.49,1023.0,45.64,2607.27978515625,17.45665740966797,13.452865600585938,24.700000762939453,248.48948669433597,13.254708290100098,9.07,21.91,25.2,3.82,17.937864303588867,17.267480850219727,18.056385040283203,22.07,12.36
2009-09-03,37.02,23.43,6.968633651733398,5.871,11.01449966430664,11.20300006866455,5.220096111297607,18.71932983398437,4.619823932647705,2.785285234451294,9.745,4.91908597946167,1.355,3.135035276412964,7.698768615722656,13.33044147491455,12.656688690185549,10.971,8.709558486938477,22.998170852661133,567.2714233398438,14.984865188598633,16.880979537963867,17.368091583251953,34.32,2.62798285484314,8.559839248657227,6.084222316741943,26.89460182189941,2.2,3.591238021850586,1099.668701171875,5.072371959686279,10.91,19.2,1022.010009765625,46.01,2660.707275390625,17.4151611328125,13.469602584838867,24.729999542236328,253.98098754882807,13.391637802124023,9.17,21.76,25.15,3.85,17.871135711669922,17.375904083251953,18.29205894470215,22.31,12.54
2009-09-04,37.48,23.39,7.110474109649658,6.055,11.18336296081543,11.537607192993164,5.387308120727539,18.89398193359375,4.575165748596191,2.7737979888916016,9.923,4.949831485748291,1.353,3.051210880279541,7.722750186920166,14.449301719665527,12.827101707458496,11.014,8.744189262390137,22.695566177368164,596.2586059570312,15.269037246704102,17.35719871520996,17.406494140625,34.6,2.678737163543701,8.77653980255127,6.130607128143311,27.432493209838867,2.228,3.709493637084961,1141.1893310546875,5.434220314025879,10.92,19.6,1048.0,46.28,2831.676513671875,17.728700637817383,13.603504180908203,25.700000762939453,273.8876037597656,13.706572532653809,9.21,21.88,25.5,3.97,17.929529190063477,17.669052124023438,18.60293960571289,22.63,12.96
2009-09-08,38.23,23.57,7.357147693634033,6.117,11.85881519317627,11.728815078735352,5.523165702819824,19.30150985717773,4.673723220825195,2.830206871032715,10.439,5.042062759399414,1.369,3.002440452575684,7.756329536437988,14.877670288085938,13.03436279296875,11.065,9.00391674041748,22.88367080688477,626.9310302734375,15.733420372009276,17.902362823486328,17.78093147277832,36.26,2.704115152359009,8.890453338623047,6.223378658294678,28.752775192260746,2.265,3.769245147705078,1230.521728515625,5.580257892608643,11.15,20.01,1110.0,46.69,2900.06396484375,18.11138916015625,13.758326530456545,25.940000534057617,284.4129333496094,13.980428695678713,9.44,22.81,25.84,4.15,18.767820358276367,18.40392303466797,19.20466041564941,23.17,12.93
2009-09-09,38.31,23.81,7.301646709442139,6.165,11.85881519317627,11.924371719360352,5.596320629119873,19.36868667602539,4.619823932647705,2.901259183883667,10.634,4.91908597946167,1.406,3.019204616546631,7.674783706665039,15.152588844299316,12.942246437072754,11.125,9.0731782913208,22.58106803894043,620.5269165039062,15.636388778686523,17.607847213745117,17.598512649536133,43.0,2.737952947616577,9.00157642364502,6.1460700035095215,27.970386505126957,2.249,3.721941947937012,1199.066650390625,5.338484764099121,11.13,20.1,1098.0,47.06,2905.406982421875,18.35115623474121,13.808539390563965,25.34000015258789,277.3197631835937,13.775035858154297,9.27,22.45,27.12,4.18,18.784502029418945,18.17101287841797,19.129440307617188,23.13,12.75
2009-09-10,38.71,23.77,7.338649272918701,6.213,11.966278076171877,12.037355422973633,5.847135543823242,20.15239143371582,4.647543430328369,2.9096102714538574,10.6,4.971351146697998,1.409,3.046638011932373,7.674783706665039,14.94160270690918,13.172533988952637,11.261,9.315590858459473,22.736459732055664,609.0668334960938,15.906697273254396,18.096609115600582,17.406494140625,41.98,2.7464098930358887,9.054365158081056,6.084222316741943,28.997270584106445,2.294,3.746838808059693,1226.7470703125,5.249238967895508,11.32,20.19,1100.010009765625,47.54,2838.087646484375,18.52175521850586,13.950811386108398,25.6299991607666,281.4383544921875,13.813376426696776,9.3,22.29,28.35,4.12,18.767820358276367,18.15093421936035,19.48044204711914,23.55,12.91
2009-09-11,38.01,23.7,7.338649272918701,6.302,11.785895347595217,11.980860710144045,5.800107955932617,20.237476348876957,4.6059651374816895,2.8845362663269043,10.6,4.912938117980957,1.375,3.055783033370972,7.710759162902832,15.12061882019043,13.117267608642578,11.244,9.306929588317873,22.401138305664062,612.4374389648438,16.02452278137207,17.99634552001953,17.464101791381836,42.0,2.774608850479126,9.151609420776367,6.030105113983154,29.681861877441406,2.265,3.784182786941528,1214.1650390625,5.224899291992188,11.09,19.8,1099.0,47.73,2810.305419921875,18.328102111816406,13.867120742797852,25.700000762939453,280.2943115234375,13.884580612182615,9.21,22.76,27.9,4.15,18.42165946960449,17.99030303955078,19.254793167114254,23.4,12.91
2009-09-14,38.04,23.94,7.357147693634033,6.329,12.05070686340332,12.254638671875,5.826233863830566,20.6002197265625,4.750718593597412,2.855281114578247,10.515,4.916011333465576,1.372,3.002440452575684,7.710759162902832,15.344389915466309,13.213988304138184,11.329,9.203041076660156,23.48070907592773,636.0315551757812,15.955212593078612,17.977550506591797,17.85774040222168,41.89,2.7971653938293457,9.168278694152832,6.1615309715271,29.681861877441406,2.282,3.8339743614196777,1245.6201171875,5.403390407562256,11.25,19.7,1101.0,47.73,2949.217529296875,18.37882423400879,13.90896701812744,25.799999237060547,284.4129333496094,14.048894882202148,9.19,23.46,28.72,4.26,18.613510131835938,18.046525955200195,19.505512237548828,23.62,13.03
