,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP3,BRTP4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNEP4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2003-04-01,7.6,5.15,1.107,1.5233008861541748,12.6,14.15,2375.99072265625,0.373,28.33,4.057643890380859,3.345,5.04,7.33170223236084,10.07,1.77,1.53,1.801134705543518,0.5561140179634094,1.8336539268493648,2.9578139781951904,2.166900873184204,1.946008920669556,1.8146132230758667,35.37,2.07,18.99,14.53,2.44,12.53,14.63,19.86,24.38,7.920967102050781,9.45,2.09,1.5085458755493164,3.723964929580689,4.77
2003-04-02,7.74,5.15,1.114,1.5674749612808228,12.85,14.36,2486.0654296875,0.395,29.09,4.295949935913086,3.515,5.43,7.611084461212158,10.25,1.86,1.62,1.753422498703003,0.5588008165359497,1.8477989435195925,3.0143685340881348,2.198312282562256,2.018592357635498,1.8573604822158811,34.96,2.12,18.91,15.15,2.46,12.85,15.16,20.22,23.79,8.021234512329102,9.8,2.13,1.5481141805648804,3.68330979347229,4.7
2003-04-03,7.73,5.15,1.107,1.5817254781723022,12.85,14.62,2577.345947265625,0.417,29.34,4.8090596199035645,3.762,6.05,7.83120584487915,10.79,1.89,1.63,1.813063383102417,0.5561140179634094,1.838706374168396,3.0369908809661865,2.226080894470215,2.1129512786865234,1.8530861139297483,34.76,2.1,18.55,14.99,2.44,12.96,15.12,20.91,24.47,8.085920333862305,9.71,2.14,1.561304211616516,3.5979349613189697,4.61
2003-04-04,7.65,5.13,1.141,1.5674749612808228,12.77,14.72,2639.989501953125,0.424,28.65,4.916404724121094,3.838,5.86,7.704209804534912,10.54,1.89,1.64,1.8727039098739624,0.5695470571517944,1.9239733219146729,3.039818525314331,2.232454299926758,2.1246166229248047,1.8039268255233765,34.64,2.1,18.42,14.62,2.4,12.99,15.16,21.32,24.21,8.085920333862305,9.61,2.13,1.6157102584838867,3.5528078079223637,4.55
2003-04-07,7.54,5.0,1.196,1.6657986640930176,12.77,14.67,2604.19287109375,0.427,28.67,5.068835258483887,3.915,5.93,7.450226306915283,10.17,1.96,1.72,1.89655876159668,0.5910390019416809,1.990249514579773,2.9408481121063232,2.181469202041626,2.191755771636963,1.7675917148590088,34.64,2.03,18.15,15.02,2.39,12.97,15.21,21.62,23.46,7.756014347076416,9.6,2.13,1.602521300315857,3.54305100440979,4.56
2003-04-08,7.36,4.98,1.155,1.7028486728668213,12.38,14.47,2421.631591796875,0.386,27.39,4.658776760101318,3.643,5.44,7.221639156341553,9.99,1.89,1.64,1.8846313953399656,0.5937262773513794,1.9296314716339111,2.8384835720062256,2.101803541183472,2.177498817443848,1.810338377952576,34.8,1.97,18.06,14.48,2.3,12.48,14.67,21.11,22.55,7.568419933319092,9.41,2.06,1.574493169784546,3.589803457260132,4.62
2003-04-09,7.38,5.06,1.141,1.695723295211792,12.64,14.23,2478.010498046875,0.371,27.35,4.4226179122924805,3.549,5.14,7.738077640533447,10.53,1.87,1.63,1.8488469123840328,0.5910390019416809,1.9023531675338743,2.8480985164642334,2.0986168384552,2.188904285430908,1.8530861139297483,36.34,1.96,18.15,14.5,2.25,12.5,14.78,21.46,22.29,7.600767135620117,9.48,1.96,1.50030255317688,3.658917427062988,4.7
2003-04-10,7.38,5.15,1.093,1.637298822402954,12.72,14.23,2438.634765625,0.373,27.57,4.304537296295166,3.515,5.19,7.602616786956787,10.44,1.84,1.56,1.8249913454055784,0.5883526802062988,1.8488106727600095,2.8560149669647217,2.1090874671936035,2.101804733276367,1.8958327770233157,37.38,1.95,18.28,13.97,2.23,12.23,14.48,20.63,21.62,7.63311243057251,8.99,2.02,1.4986542463302612,3.7398195266723633,4.78
2003-04-11,7.37,5.11,1.093,1.6971489191055298,13.08,14.32,2514.7021484375,0.381,28.16,4.358210563659668,3.592,5.28,7.5856852531433105,10.52,1.87,1.62,1.813063383102417,0.5776070952415466,1.838706374168396,2.872981548309326,2.1099979877471924,2.1422436237335205,1.921481132507324,37.38,1.96,18.67,13.83,2.22,12.53,14.67,21.02,21.62,7.694562435150146,8.95,1.96,1.6321979761123655,3.618261575698853,4.67
2003-04-14,7.36,5.23,1.093,1.7669724225997925,12.85,14.42,2559.447998046875,0.396,29.18,4.336741924285889,3.566,5.59,7.721145153045654,10.59,1.96,1.71,1.908487558364868,0.5749204158782959,1.85386061668396,2.865629196166992,2.1077215671539307,2.1142470836639404,1.9321677684783936,36.83,1.95,18.52,13.73,2.34,12.95,15.07,21.19,22.29,7.940370082855225,8.99,2.09,1.6981444358825684,3.601999282836914,4.65
2003-04-15,7.27,5.25,1.148,1.823971152305603,13.21,14.67,2604.19287109375,0.402,29.61,4.44408655166626,3.617,5.9,7.594151973724365,10.15,2.13,1.88,1.944271206855774,0.5883526802062988,1.9094258546829224,2.8905138969421387,2.130482912063598,2.1865711212158203,1.9043822288513184,38.8,2.01,18.63,13.61,2.46,13.12,15.34,21.69,22.55,7.924202919006348,8.87,2.16,1.64868426322937,3.5776073932647705,4.58
2003-04-16,7.18,5.21,1.107,1.8524703979492188,13.09,14.6,2567.501953125,0.394,28.67,4.379679203033447,3.549,5.95,7.594151973724365,10.49,2.13,1.91,1.9919837713241575,0.5964126586914062,1.897303819656372,2.872981548309326,2.1077215671539307,2.188645124435425,1.8958327770233157,39.66,1.96,18.73,13.34,2.43,12.97,15.25,21.62,22.37,7.794827938079834,8.73,2.13,1.7146315574645996,3.536953449249268,4.58
2003-04-17,7.26,5.06,1.148,1.8695706129074097,13.21,14.92,2644.46533203125,0.413,29.14,4.639454364776611,3.711,6.58,7.619549751281738,10.63,2.27,2.04,1.9919837713241575,0.6071587800979614,1.919325947761536,2.929537057876587,2.162349939346313,2.237379550933838,1.8958327770233157,39.58,1.97,18.45,14.23,2.48,13.36,15.52,21.79,22.79,7.924202919006348,9.41,2.16,1.8152010440826416,3.471498727798462,4.56
2003-04-22,7.37,5.13,1.155,1.8524703979492188,13.33,14.82,2603.299072265625,0.401,29.1,4.532108306884766,3.702,6.31,7.49255895614624,10.42,2.3,2.12,1.9800552129745483,0.6098452210426331,1.919528841972351,2.969124555587769,2.194216251373291,2.223640203475952,1.865910291671753,39.66,1.93,18.45,14.48,2.43,13.32,15.64,21.79,22.7,7.988888263702393,9.55,2.13,1.8613642454147337,3.439381599426269,4.54
2003-04-23,7.5,5.06,1.168,1.812572360038757,13.21,14.6,2595.243896484375,0.402,28.75,4.487024307250977,3.685,6.05,7.280902862548828,9.92,2.21,1.99,1.9561994075775144,0.6098452210426331,1.9764078855514529,2.9974024295806885,2.215156316757202,2.228306531906128,1.8808711767196653,39.23,1.92,18.21,14.77,2.39,13.24,15.5,21.62,22.55,8.085920333862305,9.84,2.1,1.823444128036499,3.394661903381348,4.45
2003-04-24,7.45,5.06,1.168,1.7512978315353394,12.62,14.07,2586.294921875,0.415,28.42,4.487024307250977,3.643,5.87,6.959190368652344,9.76,2.07,1.88,1.9800552129745483,0.5990989804267883,1.9700433015823364,2.9578139781951904,2.1887519359588623,2.2397124767303467,1.8958327770233157,38.44,1.92,17.83,14.38,2.35,12.84,14.99,21.14,21.95,7.95654821395874,9.41,2.09,1.7723345756530762,3.2889597415924072,4.3
2003-04-25,7.56,4.98,1.141,1.7498725652694702,12.84,14.23,2603.299072265625,0.412,29.1,4.529962062835693,3.677,5.93,6.925323009490967,9.77,2.09,1.92,1.9800552129745483,0.5910390019416809,1.9508475065231323,2.9267098903656006,2.1577963829040527,2.299593925476074,1.9086570739746092,37.64,1.92,17.49,14.5,2.36,12.58,14.92,21.11,21.95,7.95654821395874,9.43,2.09,1.7558485269546509,3.309286117553711,4.35
2003-04-28,7.65,4.9,1.182,1.8097212314605715,13.38,14.6,2697.2646484375,0.419,29.7,4.723183155059815,3.855,6.22,7.077714443206787,9.89,2.24,2.03,1.9561994075775144,0.6259642839431763,2.002877950668335,2.949331045150757,2.176006555557251,2.299593925476074,1.938579797744751,37.79,1.93,17.37,14.5,2.36,12.99,15.63,21.79,22.37,8.085920333862305,9.6,2.1,1.8053090572357176,3.329613447189331,4.34
2003-04-29,7.71,4.84,1.168,1.9237191677093504,13.88,15.1,2747.37890625,0.426,30.71,4.723183155059815,3.873,6.34,6.984586238861084,9.84,2.21,2.04,2.0874085426330566,0.6071587800979614,2.0180294513702397,3.008713722229004,2.231999397277832,2.30426025390625,1.9663652181625368,37.79,1.95,17.19,14.59,2.39,13.67,16.19,22.78,22.79,8.409356117248535,9.8,2.14,1.821796178817749,3.2926180362701416,4.35
2003-04-30,7.73,4.77,1.141,1.8097212314605715,13.38,15.1,2756.32861328125,0.421,30.29,4.806912422180176,3.889,6.45,7.153912544250488,10.03,2.13,1.96,2.123191595077514,0.5910390019416809,1.9498354196548464,3.065268516540528,2.271149158477783,2.3734734058380127,1.643624782562256,38.85,1.94,17.23,14.13,2.39,13.55,15.73,23.01,22.79,8.474045753479004,9.31,2.17,1.7673895359039309,3.33327317237854,4.28
2003-05-02,7.95,4.93,1.155,1.8253962993621824,13.71,15.66,2774.226806640625,0.427,30.84,4.716742038726807,4.06,6.17,7.365562915802002,10.74,2.21,2.01,1.7230072021484375,0.582979679107666,1.9296314716339111,3.110512018203736,2.30802321434021,2.4146902561187744,1.6820968389511108,39.25,1.93,17.08,14.32,2.4,14.24,16.41,23.16,23.3,8.729559898376465,9.43,2.21,1.821796178817749,3.3255481719970703,4.32
2003-05-05,8.02,4.98,1.189,1.823971152305603,13.67,15.57,2747.37890625,0.421,30.36,4.658776760101318,4.034,5.87,7.2978363037109375,10.54,2.13,1.96,1.6937830448150637,0.6017856597900391,1.9786298274993896,3.184032678604126,2.34444260597229,2.3527348041534424,1.7013332843780518,38.99,1.92,17.45,14.48,2.45,14.21,16.27,22.87,22.79,8.668107032775879,9.66,2.21,1.7640916109085083,3.475970983505249,4.5
2003-05-06,8.0,4.95,1.141,1.8168457746505735,13.54,15.22,2708.00341796875,0.402,29.7,4.508493423461914,3.932,5.93,7.433296680450439,10.44,2.11,1.94,1.6711194515228271,0.615218460559845,1.944785714149475,3.178377151489258,2.3353371620178223,2.30426025390625,1.692784309387207,39.49,1.92,17.19,14.34,2.38,13.67,15.89,22.47,22.55,8.509620666503906,9.58,2.2,1.7393617630004885,3.5084943771362305,4.5
2003-05-07,8.05,4.93,1.155,1.88239586353302,13.79,15.22,2827.921875,0.426,30.12,4.832676410675049,4.102,6.19,7.255505561828613,10.42,2.26,2.06,1.7283741235733032,0.636710524559021,1.9952988624572756,3.183468103408813,2.3826818466186523,2.3504021167755127,1.763317346572876,40.23,1.98,17.04,14.69,2.41,14.16,16.34,22.91,22.79,8.444937705993652,9.8,2.2,1.7970659732818604,3.430030345916748,4.45
2003-05-08,8.03,4.77,1.141,1.942244529724121,13.51,15.34,2858.348388671875,0.443,30.12,5.066688060760498,4.324,6.38,7.162374973297119,10.1,2.3,2.07,1.7742977142333984,0.6232776045799255,1.9599405527114868,3.121256828308105,2.3216805458068848,2.370880603790283,1.7590420246124268,40.47,2.06,16.85,14.38,2.36,14.27,16.36,22.84,22.62,8.474045753479004,9.52,2.14,1.7805792093276978,3.3572583198547363,4.39
2003-05-09,8.12,4.77,1.141,1.9735935926437376,13.97,15.74,2899.514404296875,0.473,30.76,5.431661128997803,4.613,6.49,7.196241855621338,10.14,2.29,2.01,1.8410953283309937,0.6447700262069702,1.99166202545166,3.223621368408203,2.3763082027435303,2.4909024238586426,1.7248449325561523,40.91,2.13,16.47,14.15,2.47,14.75,17.25,23.27,23.21,8.894511222839355,9.48,2.27,1.813552975654602,3.354412794113159,4.4
