,ACES4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,ELET3,ELET6,ELPL4,EMBR4,EBTP4,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LAME4,NATU3,NETC4,PCAR4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CRUZ3,VCPA4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TCSL4,UBBR11,USIM5,VALE3,VALE5,VIVO4
2006-06-07,33.22,14.87,10.42,30.62,4.005,6.9080491065979,7.908625602722168,26.04,11.94,6.895124435424805,,2.4432625770568848,2.518916606903076,0.825,9.682527542114258,8.069,16.44,,3.46,10.096101760864258,10.974746704101562,64.2779312133789,16.69,2.0679047107696533,5.853556156158447,,1.518,6.8,17.89,53.65,10.227361679077148,8.139519691467285,4.66840124130249,5.77,5.514373779296875,3.92,28.17,42.43,18.4,28.53,33.68,12.452315330505373,5.06,12.56,12.157401084899902,11.720730781555176,13.33,20.31
2006-06-08,34.29,14.62,10.71,31.27,3.937,6.525228023529053,7.669228553771973,26.26,12.51,6.791028022766113,,2.542123317718506,2.4927871227264404,0.828,9.98309326171875,8.452,16.55,,3.57,9.59113597869873,10.517234802246094,67.440673828125,17.11,1.974908709526062,5.738379001617432,,1.485,6.46,17.89,53.17,10.157238006591797,7.756931304931641,4.584930419921875,5.96,5.59986686706543,3.93,28.81,42.43,18.22,28.75,34.77,12.419976234436035,5.33,12.53,12.150803565979004,11.79390811920166,13.22,20.2
2006-06-09,33.91,14.32,10.46,30.5,3.937,6.572240829467773,7.979872703552246,26.99,12.12,6.6373610496521,,2.5138776302337646,2.50846529006958,0.828,9.897217750549316,8.29,16.2,,3.55,9.845206260681152,10.684617042541504,67.440673828125,16.88,1.9822508096694944,5.768693447113037,,1.51,6.59,17.42,53.31,10.069010734558104,7.707198143005371,4.470093250274658,5.91,5.561395168304443,3.85,28.91,41.41,17.75,27.84,33.35,12.711068153381348,5.2,12.59,12.233238220214844,11.925630569458008,13.22,19.87
2006-06-12,32.95,13.8,10.37,29.07,3.725,6.6058220863342285,7.552380561828613,25.53,11.58,6.369687557220459,,2.396656990051269,2.4875614643096924,0.773,9.300378799438477,7.788,15.38,,3.55,9.686415672302246,10.600930213928224,63.859336853027344,16.4,1.977357268333435,5.516122341156006,,1.473,6.22,16.62,52.15,9.627885818481444,7.533120155334473,4.564711093902588,5.69,5.298072814941406,3.69,28.16,38.73,16.83,26.4,32.34,12.290594100952148,4.95,12.38,11.575413703918455,11.513389587402344,12.73,18.39
2006-06-13,33.55,13.1,10.03,29.07,3.54,6.332377433776856,7.424134731292725,25.48,11.43,6.468825817108154,,2.4008939266204834,2.377815961837769,0.752,8.92037582397461,7.584,15.19,,3.56,9.25449562072754,10.042981147766112,62.88261032104492,16.73,1.869678497314453,5.318105220794678,,1.399,5.76,16.78,50.38,9.19580364227295,7.269134521484375,4.285783290863037,5.81,5.104001998901367,3.69,27.22,36.36,16.49,26.26,32.34,11.821615219116213,4.62,12.06,11.540790557861328,11.098712921142578,12.3,18.5
2006-06-14,33.67,13.05,9.95,29.35,3.629,6.392823219299316,6.996642112731934,25.39,11.47,6.349859714508057,,2.4997546672821045,2.2628443241119385,0.744,8.74003791809082,7.362,15.38,,3.55,9.082995414733888,10.001139640808104,61.85938262939453,16.47,1.810944676399231,5.319116115570068,,1.35,6.58,16.62,49.82,9.444645881652832,6.9821953773498535,4.170687198638916,5.45,5.052706241607666,3.71,27.27,35.7,16.6,25.65,33.76,11.808679580688477,4.69,12.37,11.244028091430664,11.467041015625,12.53,18.53
2006-06-16,33.85,13.48,10.37,31.28,3.821,6.246026515960693,7.2973127365112305,26.99,12.24,6.429169654846191,,2.460211038589477,2.2262625694274902,0.795,9.098569869995115,7.507,15.78,,3.55,9.01947784423828,9.708215713500977,65.85930633544922,16.69,1.90883469581604,5.758588790893555,,1.379,6.94,17.1,50.88,10.019242286682127,7.288265228271484,4.009449005126953,5.42,5.330562114715576,3.94,28.81,36.36,17.44,26.9,33.93,11.821615219116213,4.73,12.75,12.200262069702148,11.901236534118652,13.12,19.26
2006-06-19,33.93,13.56,10.17,31.28,3.786,6.50028133392334,7.194714069366455,26.88,11.83,6.463867664337158,,2.5138776302337646,2.367363929748535,0.802,9.01698875427246,7.405,15.58,,3.55,9.368828773498535,10.015084266662598,67.90577697753906,16.01,2.006723165512085,5.738379001617432,,1.346,7.01,17.26,49.42,9.777185440063477,7.709110260009766,4.251306533813477,5.37,5.253615379333496,3.93,28.7,37.05,16.63,25.9,34.6,11.925116539001465,4.8,12.27,11.969449043273926,11.586570739746094,12.83,18.74
2006-06-20,33.85,13.74,10.17,31.76,3.821,6.4283223152160645,6.953889846801758,26.7,11.79,6.344902515411377,,2.485631465911865,2.3098785877227783,0.814,8.950434684753418,7.379,15.32,,3.54,9.21003246307373,10.015084266662598,69.62667846679688,15.83,2.031195640563965,5.859615325927734,,1.358,7.0,17.42,49.19,9.750041007995604,7.521644115447998,4.251306533813477,5.23,5.176671981811523,3.81,28.45,37.44,16.38,25.45,34.27,11.967164993286133,4.55,12.39,11.623225212097168,11.464604377746582,12.73,17.84
2006-06-21,33.85,13.93,10.67,33.0,3.937,6.4283223152160645,6.841318607330322,26.2,11.85,6.369687557220459,,2.427727460861206,2.2994260787963867,0.799,9.188740730285645,7.507,15.29,,3.53,9.086174964904783,9.847701072692873,72.99535369873047,15.97,2.031195640563965,6.091981410980225,,1.407,6.92,17.89,49.65,10.12104034423828,7.517816066741943,4.239900588989258,5.1,5.463076591491699,3.73,29.72,39.07,16.69,26.02,33.35,11.970401763916016,4.77,12.73,11.898553848266602,12.125650405883787,13.43,18.39
