,VIVO4,AMBV4,ARCZ6,B3SA3,BBDC4,BRAP4,BBAS3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,ENBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,RDCD3,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2008-09-23,27.06,16.68,8.47,5.100351810455322,5.543,10.956929206848145,9.52882480621338,17.43,5.32982873916626,3.624945163726807,2.863433361053467,7.715,1.113,2.123386859893799,7.451004505157471,12.659123420715332,23.1,11.237054824829102,9.286,11.670458793640137,3.703449487686157,507.1795654296875,19.48512077331543,19.89109230041504,12.865252494812012,2.227796792984009,7.57708740234375,3.728904247283936,0.5413045883178711,1.608,2.684145450592041,6.42,16.3,37.62,57.59,18.54543685913086,13.59097671508789,24.75,157.03271484375,6.302120685577393,9.94,12.131133079528809,6.06,32.2,35.99,26.89,23.12,3.57,18.46,16.28654670715332,16.812959671020508,19.079519271850582,21.92,15.73
2008-09-24,26.55,17.2,8.12,5.191976070404053,5.591,10.949256896972656,9.490352630615234,16.96,5.204420566558838,3.554784774780273,2.908564805984497,7.275,1.166,1.9421221017837524,7.579738616943359,12.53125286102295,21.64,10.866122245788574,9.397,12.094684600830078,3.6932318210601807,508.5063781738281,19.48512077331543,19.424081802368164,12.759642601013184,2.2253239154815674,7.526575565338135,3.8138270378112793,0.5090986490249634,1.498,2.6109418869018555,6.41,15.69,39.01,53.81,19.05669403076172,14.097825050354004,24.450000762939453,144.69442749023438,6.286814689636231,9.49,12.394514083862305,5.95,32.51,35.2,26.89,22.72,3.67,18.06,16.187583923339844,16.512113571166992,19.40872573852539,22.34,15.55
2008-09-25,27.72,17.67,8.41,5.491276741027832,5.741,11.394441604614258,9.746843338012695,18.41,5.382082462310791,3.738954544067383,3.008861780166626,7.969,1.203,2.0030517578125,7.879373550415039,13.106671333312988,22.27,11.507616996765137,9.78,12.241862297058104,3.891761541366577,535.04296875,19.48512077331543,20.382680892944336,12.625228881835938,2.299501895904541,7.829659461975098,3.860149145126343,0.5078601837158203,1.654,2.8061535358428955,6.44,16.0,40.72,57.6,19.92989730834961,14.735480308532717,25.0,150.30274963378906,6.665117740631104,9.3,12.15483570098877,6.17,33.36,34.9,27.59,23.01,3.82,18.9,17.02288818359375,17.555545806884766,20.086803436279297,23.43,16.33
2008-09-26,27.24,17.2,6.98,5.558469772338867,5.727,10.745853424072266,9.72547435760498,18.47,5.230547428131104,3.696567535400391,3.0506486892700195,8.502,1.216,2.1629908084869385,7.957059383392334,12.786993980407717,23.09,12.000741004943848,9.933,11.298181533813477,3.8698651790618896,535.04296875,19.48512077331543,19.608423233032227,12.38520622253418,2.311863660812378,7.801873207092285,3.9373507499694815,0.4719384312629699,1.67,2.840315103530884,6.59,16.3,40.88,56.94,19.459367752075195,14.482054710388184,23.649999618530277,148.05941772460938,6.45081901550293,6.0,11.588576316833496,6.1,32.2,31.18,27.85,23.09,3.82,19.16,16.62700653076172,17.391794204711914,18.91736602783203,22.56,15.37
2008-09-29,26.08,16.49,6.42,4.4345574378967285,5.4,9.402620315551758,8.750789642333984,17.29,4.964056491851807,3.508012056350708,2.909401655197144,7.478,1.087,2.0106678009033203,7.293416023254394,11.636163711547852,21.05,11.651626586914062,9.346,10.822011947631836,3.4450695514678955,486.6137390136719,19.48512077331543,17.021419525146484,11.050677299499512,2.193180084228516,7.339670658111572,3.3737692832946777,0.453357994556427,1.494,2.5255374908447266,6.23,15.36,37.91,53.03,17.871305465698242,13.386605262756348,21.88999938964844,116.87720489501952,5.4886627197265625,5.23,10.005681991577148,5.9,31.16,27.9,26.28,21.85,3.5,17.33,14.722820281982422,14.82510757446289,16.607973098754883,19.81,13.07
2008-09-30,26.2,17.77,6.74,5.191976070404053,5.851,10.246939659118652,9.72547435760498,18.47,5.314152717590332,3.654179096221924,3.1425938606262207,7.969,1.175,1.9345064163208008,7.879373550415039,12.467317581176758,21.84,12.349851608276367,10.095,11.341473579406738,3.4771852493286133,533.0526733398438,19.48512077331543,18.250396728515625,11.47311782836914,2.353898048400879,8.056970596313477,3.659420967102051,0.4905185997486114,1.678,2.867156744003296,6.44,16.23,39.38,53.82,19.101938247680664,14.34716796875,24.8799991607666,121.1395034790039,5.762001991271973,5.7,10.7326021194458,6.41,33.11,28.8,30.42,23.83,3.67,19.04,15.182040214538574,15.42679214477539,17.959213256835938,21.38,12.79
2008-10-01,27.51,17.86,6.85,5.552359580993652,5.851,10.158666610717772,9.61859893798828,19.78,5.33505392074585,3.639561891555786,3.1994214057922363,8.341,1.223,1.98020339012146,8.21230697631836,12.595189094543455,22.71,11.957101821899414,10.035,11.306841850280762,3.627541065216065,526.0867919921875,19.48512077331543,18.06605529785156,12.529220581054688,2.373678684234619,8.056970596313477,3.821547031402588,0.4905185997486114,1.781,2.942800521850586,6.9,16.06,39.48,56.26,18.82142639160156,14.265416145324709,26.0,111.94188690185548,5.932567119598389,6.19,10.377045631408691,6.47,34.61,28.8,30.03,24.95,3.82,18.85,14.758448600769045,15.04978847503662,17.88059425354004,21.38,11.11
2008-10-02,26.02,17.55,6.44,5.130893230438232,5.454,9.09559726715088,8.67811393737793,18.55,5.120815753936768,3.3983852863311768,3.159306764602661,6.751,1.222,1.9649702310562132,8.025864601135254,11.476325988769531,20.86,11.590531349182127,9.695,11.202950477600098,3.430471658706665,454.7698059082031,19.48512077331543,16.499099731445312,12.039572715759276,2.227796792984009,7.57708740234375,3.589937925338745,0.4620290696620941,1.588,2.4584343433380127,6.55,15.45,37.03,54.25,17.59984016418457,13.10047435760498,23.549999237060547,101.39826965332033,5.954432964324951,6.0,9.74230670928955,6.33,33.93,25.75,28.15,24.18,3.6,17.78,13.337233543395996,13.671239852905272,15.993772506713867,19.21,10.15
2008-10-03,25.19,17.39,4.84,4.4284491539001465,5.174,9.17235279083252,8.12237548828125,18.98,4.833423137664795,3.186444044113159,3.0924463272094727,7.038,1.181,1.9954348802566528,8.187889099121094,10.868945121765137,19.24,11.782544136047363,9.507,11.090404510498049,3.3326661586761475,409.9894714355469,19.48512077331543,15.915331840515137,11.377108573913574,2.08438777923584,7.039115905761719,3.1730427742004395,0.4248684048652649,1.518,2.5731201171875,6.82,15.0,36.73,51.96,17.28313636779785,12.67128562927246,23.5,104.31459045410156,5.530210971832275,5.91,9.402548789978027,6.57,33.11,22.99,28.06,24.69,3.57,15.98,12.66819667816162,13.06193733215332,16.087135314941406,18.94,10.45
2008-10-06,24.38,16.85,4.1,4.336826324462891,4.839,8.324200630187988,7.536709308624268,18.08,4.666213035583496,3.1689040660858154,2.960385799407959,6.065,1.113,1.7821828126907349,7.990351676940918,11.124685287475586,18.4,11.237054824829102,9.439,10.259270668029783,3.280115842819214,401.3650817871094,19.48512077331543,15.251684188842772,10.8490571975708,1.9953738451004028,6.705728530883789,2.90283203125,0.421152263879776,1.338,2.312026023864746,6.4,13.8,31.5,48.29,16.808073043823242,12.262537002563477,23.0,83.00300598144531,5.357459545135498,5.6,8.609785079956055,6.57,31.16,22.75,26.52,23.47,3.31,15.56,11.084672927856444,11.614840507507324,14.8636474609375,17.65,9.84
