,ACES4,ALLL11,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CPLE6,CYRE3,ELET3,ELET6,EMBR3,EBTP4,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,NATU3,NETC4,PCAR4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,VIVO4
2006-06-27,33.89,13.93,13.65,10.56,32.71,3.814,6.648037910461426,6.547773838043213,26.04,11.81,6.146623134613037,2.4587976932525635,2.4091720581054688,0.838,4.978935241699219,8.92037582397461,7.584,16.085712432861328,3.53,9.530797004699709,10.296847343444824,68.98665618896484,15.95,2.0409839153289795,5.884871482849121,,6.668879985809326,1.448,6.64,17.74,51.18,10.23867416381836,7.850669384002685,4.403471946716309,5.31,5.4203290939331055,3.85,51.39,29.18,37.37,15.95,25.64,4.87,12.09,11.68917179107666,11.857330322265623,13.66,18.12
2006-06-28,34.3,13.93,13.86,10.37,32.25,3.786,6.658590316772461,6.754391193389893,26.99,11.74,6.290374279022217,2.4023070335388184,2.4091720581054688,0.844,5.018894195556641,9.31325912475586,7.899,16.37356185913086,3.53,9.543496131896973,10.33590316772461,67.92390441894531,16.15,2.006723165512085,5.869715690612793,,6.69423770904541,1.428,6.51,17.89,53.15,10.440011978149414,7.768410682678223,4.504829406738281,5.22,5.565670490264893,3.93,51.39,28.45,37.37,15.94,25.64,4.87,12.15,12.116181373596191,12.037836074829102,13.97,18.87
2006-06-29,34.72,14.43,14.45,10.79,,4.108,6.668186187744141,7.110637664794922,27.58,12.18,6.587792873382568,2.519526720046997,2.4718825817108154,0.875,5.434472560882568,10.195634841918944,8.486,16.619083404541016,3.52,9.781689643859863,10.44748878479004,70.38504028320312,17.56,1.9944870471954343,6.243522644042969,,7.252089023590088,1.494,6.59,18.69,53.57,10.768027305603027,7.919531345367432,4.378067493438721,5.42,5.933295249938965,3.91,54.58,30.32,39.48,17.02,26.87,5.26,12.87,12.546490669250488,12.537888526916504,14.48,19.09
2006-06-30,33.09,14.63,14.62,10.89,,4.148,6.975210666656494,7.122040748596191,27.52,12.21,6.587792873382568,2.4997546672821045,2.5920801162719727,0.857,5.730172157287598,10.09043788909912,8.418,16.76300811767578,3.54,10.270774841308594,11.01938247680664,71.78343200683594,17.6,2.1290855407714844,6.374855995178223,,7.353516578674316,1.551,6.88,18.53,53.55,10.949004173278809,8.225601196289062,4.654661178588867,5.66,5.941842079162598,3.96,54.26,30.81,39.67,16.9,27.15,5.19,12.92,12.802035331726074,12.752544403076172,14.62,18.28
2006-07-03,34.88,15.19,15.25,11.24,,4.333,7.099937915802002,7.140562057495117,28.04,12.51,6.592748165130615,2.6197986602783203,2.5554983615875244,0.894,5.977919101715088,10.4876127243042,8.622,16.76300811767578,3.54,10.33746337890625,11.158869743347168,71.6808853149414,17.22,2.1339778900146484,6.637532711029053,,7.399159908294678,1.613,7.28,18.69,54.93,11.077946662902832,8.260032653808594,4.6660685539245605,5.62,6.113687992095947,3.93,54.66,30.91,41.22,17.2,27.48,5.45,13.93,13.021310806274414,13.074529647827148,14.95,17.88
2006-07-04,34.97,15.19,15.3,11.24,,4.34,7.283194065093994,7.110637664794922,28.33,12.43,6.518394947052002,2.5915536880493164,2.6704702377319336,0.891,5.750950336456299,10.391002655029297,8.486,17.000059127807617,3.51,10.57565689086914,11.42668342590332,71.87665557861328,17.02,2.202500343322754,6.587013244628906,,7.439731597900391,1.641,7.34,18.53,54.39,10.903759002685549,8.340376853942871,4.7697577476501465,5.52,6.1213812828063965,3.96,55.95,30.74,40.72,17.58,28.34,5.52,13.95,13.10704231262207,13.02574348449707,14.97,18.04
2006-07-05,33.88,14.54,14.93,11.04,31.76,4.244,7.32061243057251,6.741570472717285,26.2,11.58,6.126795768737793,2.457385778427124,2.67569637298584,0.857,5.242667675018311,9.961623191833496,8.103,16.68681526184082,3.52,10.65505599975586,11.493635177612305,73.0419692993164,16.43,2.202500343322754,6.425370216369629,,7.2571611404418945,1.576,7.17,17.89,52.53,10.924115180969238,8.304031372070312,4.746687412261963,5.38,6.0085296630859375,3.99,55.51,30.91,38.31,16.83,26.87,5.34,13.29,13.024606704711914,12.589113235473633,14.64,17.18
2006-07-06,33.93,14.84,14.74,11.1,32.96,4.258,7.157506465911865,6.835620403289795,26.4,11.58,5.958259582519531,2.461622714996338,2.5920801162719727,0.887,5.466439723968506,9.98309326171875,8.256,16.830732345581055,3.51,10.33746337890625,11.07796859741211,71.32662200927734,16.25,2.138873338699341,6.425370216369629,,7.419446468353271,1.641,7.29,18.05,51.98,10.903759002685549,8.187344551086426,4.677473068237305,5.29,6.014514923095703,4.08,55.95,30.93,37.89,16.95,26.54,5.38,13.39,13.370832443237305,12.525690078735352,14.56,18.25
2006-07-07,33.48,14.54,14.79,10.85,33.35,4.21,7.070196151733398,6.697397708892822,26.4,11.43,5.82442045211792,2.5760176181793213,2.6338882446289062,0.859,5.450456142425537,9.761961936950684,8.043,16.66988182067871,3.51,10.353347778320312,10.935694694519045,67.86797332763672,16.04,2.163346767425537,6.361718654632568,,7.607088088989258,1.596,7.26,17.89,51.74,10.903759002685549,8.254295349121094,4.838972091674805,5.19,5.899097442626953,4.3,54.58,30.35,37.02,16.69,26.22,5.3,13.08,13.032848358154297,12.501296997070312,14.5,17.88
2006-07-10,33.48,14.59,14.53,10.87,33.49,4.162,7.003992080688477,6.670320987701416,25.74,11.69,5.636057376861572,2.487044095993042,2.565950870513916,0.862,5.882016658782959,9.957330703735352,8.128,16.58521842956543,3.51,10.226309776306152,10.879897117614746,67.1221694946289,15.95,2.1290855407714844,6.325353622436523,,7.784585475921631,1.588,7.15,17.89,51.98,10.7906494140625,8.187344551086426,4.723616600036621,5.3,5.941842079162598,4.3,55.06,30.54,37.73,16.68,26.54,5.38,12.86,13.10704231262207,12.46958827972412,14.58,18.15
2006-07-11,33.97,14.34,14.62,10.99,34.5,4.21,7.042372703552246,6.640393257141113,26.33,11.67,5.536917686462402,2.464447021484375,2.576402425765991,0.872,5.650251865386963,10.09043788909912,8.35,16.847675323486328,3.51,10.28030014038086,10.879897117614746,65.8170166015625,16.2,2.121742486953736,6.465784072875977,,7.809943199157715,1.588,6.97,18.05,51.41,11.080212593078612,8.152909278869629,4.744354248046875,5.29,6.078634738922119,4.32,54.42,30.91,37.44,16.72,26.82,5.16,12.98,13.16474723815918,12.476906776428224,14.64,18.87
2006-07-12,33.69,14.18,14.36,11.01,33.19,4.114,7.090344905853272,6.74014139175415,25.95,11.23,5.279156684875488,2.5068159103393555,2.5868539810180664,0.865,5.57832670211792,10.176315307617188,8.29,16.75454330444336,3.52,10.588363647460938,11.158869743347168,65.2576675415039,15.89,2.131532907485962,6.283933162689209,,7.860659599304199,1.551,6.81,18.21,50.64,11.084733963012695,8.376723289489746,4.721283912658691,5.48,6.031612396240234,4.25,53.65,31.54,37.76,16.65,26.33,5.23,12.68,12.793787956237791,12.286640167236328,14.48,18.74
2006-07-13,33.17,13.93,14.42,10.46,32.72,3.985,6.993438720703125,6.604770183563232,24.82,10.95,5.090792179107666,2.450324058532715,2.5868539810180664,0.838,5.431275367736816,9.789871215820312,7.933,15.882532119750977,3.52,10.59153652191162,11.08633518218994,61.07185363769531,15.7,2.0874814987182617,6.122287273406982,,7.531015872955322,1.506,6.61,17.74,48.54,10.971624374389648,8.380550384521484,4.631591320037842,5.54,5.728109836578369,4.22,50.1,30.08,37.05,16.32,26.02,5.09,12.37,12.282700538635254,12.064664840698242,14.18,17.84
2006-07-14,33.4,13.87,14.1,10.37,33.01,3.937,6.826493740081787,6.661770343780518,25.05,11.12,4.942083835601807,2.5068159103393555,2.539820432662964,0.853,5.210700035095215,9.865013122558594,8.094,15.594674110412598,3.51,10.09927463531494,10.67903995513916,59.048858642578125,16.25,2.03853702545166,6.016210079193115,,7.302803993225098,1.481,6.66,17.74,49.53,11.197842597961426,8.340376853942871,4.6085205078125,5.61,5.779405117034912,4.56,49.92,29.98,37.05,16.17,25.74,4.91,12.15,12.218398094177246,12.074426651000977,14.17,17.52
2006-07-17,33.52,13.77,14.0,10.11,33.49,3.882,6.62117338180542,6.583395957946777,24.27,11.05,5.031309127807617,2.5039916038513184,2.539820432662964,0.851,4.954960823059082,9.736197471618652,7.924,15.450757026672363,3.51,9.842029571533203,10.59534740447998,58.35898971557617,15.85,2.193935871124268,5.87476921081543,,7.24194860458374,1.535,6.66,18.21,48.4,10.67754077911377,8.091695785522461,4.6085205078125,6.1,5.6520185470581055,4.42,48.53,29.63,37.65,16.18,25.79,5.02,11.92,11.952961921691896,11.671942710876465,13.69,18.08
2006-07-18,33.4,13.54,14.01,10.32,34.16,3.848,6.691212177276611,6.569144248962402,24.96,11.26,5.403079509735107,2.58166766166687,2.4666571617126465,0.88,4.907008647918701,9.875747680664062,7.873,15.408419609069824,3.56,9.835678100585938,10.542341232299805,59.58956909179688,16.2,1.9969345331192017,5.87982177734375,,7.2571611404418945,1.559,6.75,18.05,47.98,10.654916763305664,8.1012601852417,4.486423492431641,5.87,5.779405117034912,4.49,48.63,29.72,37.19,16.4,26.22,4.98,11.83,12.02385425567627,11.623157501220703,13.72,18.39
2006-07-19,33.52,13.9,14.33,10.56,34.89,4.155,6.62980842590332,6.86839485168457,26.24,11.76,5.670755863189697,2.6974754333496094,2.5711772441864014,0.91,4.827090263366699,10.277217864990234,8.205,15.916400909423828,3.58,9.772160530090332,10.461442947387695,63.76605987548828,17.01,2.006723165512085,6.363745212554932,,7.809943199157715,1.621,6.9,18.69,50.81,10.969362258911133,8.1012601852417,4.585448265075684,6.01,6.1384806632995605,4.41,52.04,31.1,38.73,17.2,27.47,5.2,12.93,12.653654098510742,12.415924072265623,14.5,19.22
2006-07-20,33.12,13.85,14.17,10.11,34.16,4.087,6.840888500213623,6.668896675109863,26.05,11.43,5.5517897605896,2.64663314819336,2.5711772441864014,0.891,4.715204238891602,10.15484619140625,8.145,15.755538940429688,3.57,10.162795066833496,10.81015682220459,60.96929931640625,16.36,2.3446850776672363,6.330402374267578,,7.75922966003418,1.608,6.97,18.21,48.31,10.659441947937012,8.1012601852417,4.585448265075684,6.02,5.857204914093018,4.38,51.19,29.98,38.39,16.77,26.54,5.09,12.75,12.167291641235352,11.86952304840088,13.92,17.8
2006-07-21,33.52,13.85,14.14,10.25,33.2,4.114,6.840888500213623,6.74014139175415,26.06,11.39,5.6013593673706055,2.653693914413452,2.597306728363037,0.918,4.6352858543396,10.101174354553224,8.162,15.747068405151367,3.56,10.162795066833496,10.81015682220459,59.47769165039063,16.45,2.131532907485962,6.313231945037842,,7.804872035980225,1.596,6.9,18.36,49.14,10.575743675231934,8.1012601852417,4.781164646148682,5.91,5.702461242675781,4.41,50.18,29.91,38.26,16.63,26.04,4.91,12.74,11.944719314575195,11.59876537322998,13.66,17.7
2006-07-24,34.19,14.44,14.38,10.56,33.4,4.279,6.740145683288574,6.84274435043335,26.73,11.93,5.695540428161621,2.76809024810791,2.5502727031707764,0.925,4.7136054039001465,10.24071979522705,8.179,16.212709426879883,3.57,9.91189956665039,10.545129776000977,61.985450744628906,17.12,2.14132022857666,6.566812515258789,,7.860659599304199,1.608,7.13,18.84,50.99,10.971624374389648,8.034308433532715,4.792829990386963,6.01,5.740932941436768,4.41,51.39,30.3,38.73,16.9,26.8,4.91,13.34,11.854043006896973,11.742682456970217,13.97,17.18
2006-07-25,34.07,14.44,14.58,10.56,33.98,4.347,7.003992080688477,6.911141872406006,26.52,11.93,5.82442045211792,2.866950035095215,2.5502727031707764,0.932,4.723195552825928,10.54343318939209,8.486,16.602155685424805,3.53,10.308887481689451,10.824100494384766,63.84062957763672,17.37,2.4523632526397705,6.672885894775391,,7.708516120910644,1.588,7.28,19.16,50.67,11.064373016357422,8.41689395904541,4.792829990386963,6.02,5.8982415199279785,4.4,53.65,30.76,39.06,16.88,26.65,4.87,13.58,11.98263931274414,12.171996116638184,14.29,17.38
2006-07-26,33.9,14.65,14.37,10.5,33.2,4.354,7.003992080688477,6.909718036651611,26.37,12.04,5.779809951782227,2.866950035095215,2.5502727031707764,0.917,4.7136054039001465,10.453265190124512,8.418,16.52596092224121,3.53,10.226309776306152,10.701359748840332,64.27879333496094,17.59,2.4389028549194336,6.66783618927002,,7.531015872955322,1.588,7.29,19.32,51.99,11.186529159545898,8.457067489624023,4.792829990386963,5.84,5.899097442626953,4.32,53.55,30.81,40.21,17.38,27.09,4.77,13.63,11.969449043273926,12.074426651000977,14.09,17.21
