Date,ABEV3,BBSE3,B3SA3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,YDUQ3,FIBR3,GGBR4,GOAU4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LAME4,LREN3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SMLE3,TAEE11,VIVT4,TIMS3,UGPA3,USIM5,VALE3,WEGE3
2017-08-23,17.211320877075195,18.805727005004883,6.257707595825195,12.391603469848633,15.16677474975586,16.138,12.97559928894043,24.087928771972656,25.580162048339844,41.70000076293945,14.815699577331545,3.7781264781951904,16.563671112060547,1.995,8.166034698486328,18.61724090576172,9.119967460632324,9.42625617980957,14.998805046081545,17.5,16.877878189086914,10.846715927124023,19.304901123046875,11.085427284240724,21.88061141967773,36.89288330078125,9.22014617919922,4.120588779449463,24.009042739868164,6.686038494110107,22.408174514770508,6.881021976470947,14.63210105895996,16.989330291748047,17.061203002929688,6.944,25.63916778564453,5.311275005340576,8.898704528808594,21.335983276367188,14.08,72.64,7.554019451141357,6.93006706237793,28.459884643554688,13.546805381774902,10.408614158630373,27.547630310058597,20.751087188720703,6.422234058380127,64.5,13.617883682250977,38.601,9.744558334350586,32.644229888916016,5.506451606750488,22.51813316345215,7.439882278442383
2017-08-24,17.176618576049805,18.55032730102539,6.186471939086914,12.27227783203125,15.134598731994627,16.186,13.563490867614746,24.17070960998535,25.800500869750977,42.66999816894531,14.93348217010498,3.817300796508789,16.600730895996094,2.017,8.267892837524414,18.637895584106445,9.34741497039795,9.471792221069336,15.595255851745604,17.721,17.095022201538086,11.00687026977539,19.365760803222656,11.063916206359863,22.42543029785156,37.27236175537109,9.164697647094728,4.020954608917236,24.256980895996094,6.738275051116943,22.594636917114254,7.082664966583252,14.8157320022583,17.302541732788086,17.49521255493164,7.117,25.49030303955078,5.35615873336792,8.891916275024414,21.31808090209961,14.64,73.32,7.596221923828125,6.9502129554748535,29.21881866455078,13.426346778869627,10.4585599899292,27.52094841003418,20.85483741760254,6.671036720275879,66.16,13.434419631958008,38.902,9.795268058776855,33.435325622558594,5.735886573791504,23.4454345703125,7.372021198272705
2017-08-25,17.219993591308594,18.429344177246094,6.117977619171143,12.327351570129396,15.217326164245604,16.206,13.631728172302246,24.08041000366211,25.600818634033203,42.22999954223633,14.883005142211914,3.7389516830444336,16.556262969970703,1.977,8.332910537719727,18.65166664123535,9.259371757507324,9.417147636413574,15.71454906463623,17.9,16.828527450561523,10.926793098449709,19.43769073486328,11.232420921325684,22.03878402709961,38.09611129760742,9.08548641204834,3.999603748321533,24.356157302856445,6.725215911865234,22.528823852539062,7.460742473602295,14.8157320022583,16.989330291748047,17.635892868041992,7.182,25.68879127502441,5.288833618164063,8.891916275024414,22.0372371673584,14.2,71.24,7.638422966003418,6.990503787994385,29.021181106567383,13.46458625793457,10.308723449707031,27.574317932128903,20.81778717041016,6.655486583709717,65.63,13.49360179901123,39.033,9.676946640014648,33.29438400268555,5.625417709350586,23.410831451416016,7.329159736633301
2017-08-28,17.219993591308594,18.530162811279297,6.12071704864502,12.4375,15.074851989746094,15.947,13.794447898864746,23.85465240478516,26.06215476989746,42.18999862670898,14.97554874420166,3.66495680809021,16.74894905090332,1.975,8.389256477355957,18.658552169799805,9.200675010681152,9.672157287597656,15.46801471710205,17.968,16.828527450561523,10.919513702392578,19.55942153930664,10.997591018676758,22.153018951416016,38.086856842041016,9.125091552734377,3.978254556655884,24.52971839904785,6.712158679962158,22.33139419555664,7.645580291748047,14.89920139312744,16.60968589782715,17.839426040649414,7.137,25.49030303955078,5.386081218719482,8.891916275024414,21.93279457092285,14.4,71.36,7.596221923828125,6.985467910766602,28.8393497467041,13.594606399536133,10.478537559509276,27.53873634338379,20.81778717041016,6.616610527038574,66.34,13.552783966064451,39.324,9.592432022094728,33.635379791259766,5.523446559906006,23.77760124206543,7.343447685241699
2017-08-29,17.263370513916016,18.597375869750977,6.17551326751709,12.428319931030272,15.281670570373535,16.227,13.88368320465088,23.696622848510746,26.54414749145508,42.59999847412109,14.89141845703125,3.747657775878906,16.845294952392578,1.933,8.382755279541016,18.665435791015625,9.428123474121094,9.745017051696776,15.05447483062744,17.764,17.51943588256836,10.955910682678224,19.769678115844727,10.994003295898438,22.232105255126957,38.29973602294922,9.0696439743042,3.992486953735352,24.496658325195312,6.764389991760254,22.534311294555664,7.494348526000977,14.607061386108398,16.524263381958008,17.938209533691406,7.223,25.63916778564453,5.475849628448486,9.020882606506348,22.04022026062012,14.63,72.12,7.543469905853271,6.9753947257995605,28.69705390930176,13.47796630859375,10.488527297973633,28.10801315307617,20.936359405517575,6.647712230682373,66.7,13.434419631958008,39.427,9.660043716430664,33.649017333984375,5.557436466217041,23.83296203613281,7.250582695007324
2017-08-30,17.24601936340332,18.456228256225582,6.126197338104248,12.48339557647705,14.996721267700195,16.063,13.888930320739746,23.45582771301269,26.44775390625,41.84999847412109,14.588541984558104,3.725894689559937,16.593318939208984,1.942,8.311237335205078,18.665435791015625,9.61155128479004,9.663049697875977,14.720459938049316,17.84,17.618141174316406,10.926793098449709,19.67008399963379,11.121280670166016,23.09326934814453,38.57740020751953,9.36272430419922,4.077888488769531,24.39748764038086,6.770919799804688,22.413652420043945,7.469144344329834,14.5068998336792,16.84696388244629,17.743648529052734,7.244,25.55646133422852,5.416004657745361,9.09554958343506,21.93279457092285,14.63,70.48,7.321914196014404,6.77393913269043,27.43217086791992,13.237053871154783,10.35866928100586,28.463809967041016,20.943775177001957,6.647712230682373,68.26,13.197689056396484,39.418,9.617786407470703,33.38985824584961,5.574431896209717,23.76375770568848,7.3648786544799805
2017-08-31,17.228670120239258,18.630977630615234,6.060440540313721,12.48339557647705,14.822072982788086,16.029,14.109389305114746,23.10213661193848,26.24118423461914,42.52000045776367,14.689496994018556,3.6475462913513184,16.62296485900879,1.92,8.363251686096191,18.65166664123535,9.670247077941896,9.745017051696776,14.01266860961914,16.785,17.697101593017578,11.09422492980957,19.97439956665039,10.95635986328125,22.680265426635746,38.67921447753906,9.386488914489746,4.02807092666626,24.389217376708984,6.659921646118164,22.12847900390625,7.284305095672607,14.289881706237791,17.055770874023438,17.824464797973633,7.174,25.308332443237305,5.333716869354248,9.156639099121094,21.810447692871094,14.37,70.09,7.369391441345215,6.874666213989258,27.550752639770508,13.259997367858888,10.31871223449707,28.59723663330078,20.78072929382324,6.756562232971191,69.47,13.31605339050293,39.108,9.533268928527832,33.394405364990234,5.85485315322876,24.27585220336914,7.307730197906494
2017-09-01,17.14192008972168,18.81245231628418,6.172773838043213,12.354888916015623,15.116218566894531,16.37,14.44007682800293,23.997631072998047,26.372013092041016,43.61000061035156,14.765215873718262,3.734599351882935,16.54884910583496,1.957,8.441269874572754,18.65166664123535,9.68492031097412,9.754125595092772,14.036527633666992,16.93,17.66748809814453,11.188861846923828,20.018665313720703,11.069294929504396,23.189929962158203,39.56775665283203,9.972649574279783,4.2486891746521,24.47186851501465,6.787431240081787,22.59206199645996,7.259099960327148,14.65714168548584,17.055770874023438,18.007049560546875,7.211,25.68052291870117,5.371119976043701,9.102338790893556,21.56873893737793,14.48,70.17,7.701723098754883,7.061013698577881,26.87087821960449,13.476058959960938,10.338690757751465,29.166513442993164,20.936359405517575,7.207519054412842,71.0,13.819108963012695,39.108,9.533268928527832,33.626277923583984,6.458183765411377,24.68413543701172,7.422025203704834
2017-09-04,17.115896224975586,18.772123336791992,6.178253173828125,12.217205047607422,14.944812774658203,16.35,14.566057205200195,23.960006713867188,26.84712219238281,44.38999938964844,14.723153114318848,3.7215416431427,16.422866821289062,1.951,8.504119873046875,18.692975997924805,9.787638664245604,9.708587646484377,14.322826385498049,17.134,17.440473556518555,11.123343467712402,19.84714126586914,11.209115982055664,23.30416679382324,,10.22612476348877,4.462191581726074,24.298309326171875,6.761276245117188,22.47684860229492,7.208688735961914,14.92424201965332,16.970352172851562,18.315353393554688,7.314,25.96172523498535,5.430966377258301,9.231303215026855,21.57769012451172,14.38,68.75,7.765025615692139,7.13655948638916,27.376832962036133,13.42251968383789,10.088964462280272,28.979717254638672,21.084585189819336,7.355246543884277,75.1,13.582377433776855,39.315,9.47411060333252,33.876346588134766,6.968039989471436,24.981704711914062,7.543463706970215
2017-09-05,17.193973541259766,19.03424644470215,6.191951751708984,12.40996265411377,14.954001426696776,16.118,14.455825805664062,24.08041000366211,26.75072288513184,44.5,14.82411289215088,3.712836503982544,16.38581085205078,1.929,8.484615325927734,18.70674705505371,10.029763221740724,9.936273574829102,14.951087951660156,17.577,17.460214614868164,11.108784675598145,20.029733657836918,11.192983627319336,23.30416679382324,39.77137756347656,9.99641227722168,4.376790523529053,24.67021751403809,6.800511360168457,22.48782730102539,6.6121673583984375,14.8157320022583,16.894418716430664,18.51289939880371,7.322,26.466232299804688,5.401042461395264,9.373846054077148,21.64632606506348,14.44,69.88,7.833604335784912,7.257432460784912,27.98555564880371,13.843169212341309,10.128920555114746,28.84629440307617,20.97341728210449,7.510746479034424,76.61,13.653395652770996,39.249,9.57552719116211,33.189815521240234,6.857570648193359,24.63569450378418,7.732764720916748
